,Beam In,Draft In,Daylight In,Total In
"(-1, 0]",89.42895086321381,95.51128818061089,77.96506282562059,53.9405684754522
"(0, 1]",5.49800796812749,1.0092961487383798,0.061293288384921846,20.316537467700257
"(1, 2]",2.549800796812749,1.9654714475431607,0.21452650934722645,6.2338501291989665
"(2, 3]",1.3545816733067728,1.2217795484727756,0.3371130861170702,1.5826873385012918
"(3, 4]",0.5843293492695883,0.2390438247011952,0.5822862396567575,0.5813953488372093
"(4, 5]",0.3187250996015936,0.0,1.0419859025436715,0.6459948320413437
"(5, 6]",0.2390438247011952,0.05312084993359894,2.63561140055164,1.3242894056847545
"(6, 7]",0.0,0.0,3.555010726325467,2.2286821705426356
"(7, 8]",0.02656042496679947,0.0,4.811523138216366,3.7467700258397936
"(8, 9]",0.0,0.0,4.014710389212381,4.457364341085271
"(9, 10]",0.0,0.0,4.780876494023905,4.941860465116279
