,all_100,all_101
0,2.0,0.0
1,5.0,1.0
2,6.0,1.0
3,8.0,2.0
4,13.0,4.0
5,16.0,4.0
6,21.0,5.0
7,18.0,5.0
8,16.0,4.0
9,14.0,1.0
10,9.0,1.0
11,7.0,2.0
12,5.0,2.0
13,5.0,3.0
14,1.0,5.0
15,3.0,5.0
16,3.0,5.0
17,6.0,5.0
18,5.0,2.0
19,7.0,3.0
20,8.0,4.0
21,8.0,4.0
22,8.0,6.0
23,10.0,7.0
24,10.0,10.0
25,10.0,11.0
26,11.0,11.0
27,12.0,11.0
28,14.0,12.0
29,15.0,15.0
30,16.0,16.0
31,12.0,14.0
32,10.0,12.0
33,10.0,9.0
34,10.0,8.0
35,8.0,6.0
36,6.0,4.0
37,3.0,1.0
38,3.0,2.0
39,3.0,2.0
40,1.0,0.0
41,1.0,1.0
42,0.0,2.0
43,0.0,3.0
44,1.0,4.0
45,2.0,6.0
46,2.0,6.0
47,4.0,8.0
48,6.0,9.0
49,7.0,11.0
50,8.0,13.0
51,9.0,15.0
52,10.0,18.0
53,11.0,18.0
54,13.0,21.0
55,11.0,17.0
56,9.0,16.0
57,9.0,16.0
58,8.0,16.0
59,8.0,15.0
60,7.0,13.0
61,3.0,12.0
62,1.0,9.0
63,1.0,4.0
64,1.0,2.0
65,1.0,3.0
66,1.0,2.0
67,2.0,2.0
68,4.0,5.0
69,5.0,7.0
70,7.0,9.0
71,7.0,11.0
72,7.0,11.0
73,9.0,12.0
74,9.0,13.0
75,11.0,14.0
76,11.0,15.0
77,11.0,16.0
78,13.0,18.0
79,11.0,14.0
80,8.0,11.0
81,8.0,12.0
82,11.0,9.0
83,10.0,8.0
84,3.0,9.0
85,1.0,9.0
86,2.0,9.0
87,5.0,9.0
88,5.0,8.0
89,4.0,6.0
90,2.0,5.0
91,3.0,6.0
92,4.0,6.0
93,5.0,6.0
94,6.0,6.0
95,8.0,6.0
96,8.0,7.0
97,8.0,8.0
98,10.0,10.0
99,11.0,11.0
100,11.0,13.0
101,12.0,17.0
102,13.0,17.0
103,8.0,11.0
104,9.0,11.0
105,8.0,12.0
106,6.0,11.0
107,6.0,9.0
108,9.0,6.0
109,7.0,8.0
110,6.0,5.0
111,2.0,3.0
112,4.0,1.0
113,4.0,5.0
114,4.0,5.0
115,4.0,7.0
116,6.0,7.0
117,8.0,9.0
118,11.0,10.0
119,11.0,12.0
120,13.0,13.0
121,15.0,16.0
122,15.0,17.0
123,16.0,17.0
124,17.0,18.0
125,20.0,20.0
126,21.0,21.0
127,15.0,19.0
128,14.0,17.0
129,13.0,16.0
130,12.0,13.0
131,12.0,13.0
132,9.0,13.0
133,5.0,9.0
134,2.0,7.0
135,4.0,3.0
136,4.0,3.0
137,4.0,1.0
138,8.0,1.0
139,8.0,3.0
140,8.0,5.0
141,9.0,6.0
142,10.0,8.0
143,10.0,9.0
144,12.0,10.0
145,12.0,10.0
146,13.0,10.0
147,14.0,11.0
148,17.0,13.0
149,18.0,16.0
150,20.0,17.0
151,16.0,14.0
152,17.0,13.0
153,14.0,13.0
154,12.0,12.0
155,11.0,10.0
156,9.0,8.0
157,7.0,5.0
158,5.0,4.0
159,3.0,4.0
160,4.0,3.0
161,3.0,3.0
162,5.0,4.0
163,5.0,4.0
164,7.0,6.0
165,8.0,10.0
166,10.0,14.0
167,10.0,15.0
168,10.0,16.0
169,13.0,19.0
170,13.0,20.0
171,13.0,20.0
172,13.0,20.0
173,16.0,22.0
174,17.0,24.0
175,10.0,21.0
176,7.0,20.0
177,7.0,19.0
178,7.0,14.0
179,8.0,12.0
180,7.0,14.0
181,5.0,12.0
182,3.0,8.0
183,2.0,6.0
184,3.0,7.0
185,4.0,7.0
186,4.0,7.0
187,5.0,7.0
188,5.0,7.0
189,6.0,8.0
190,7.0,10.0
191,9.0,11.0
192,10.0,10.0
193,12.0,11.0
194,13.0,12.0
195,15.0,13.0
196,18.0,13.0
197,18.0,13.0
198,19.0,13.0
199,16.0,12.0
200,13.0,10.0
201,12.0,8.0
202,10.0,5.0
203,12.0,4.0
204,11.0,3.0
205,10.0,5.0
206,5.0,4.0
207,3.0,4.0
208,3.0,4.0
209,2.0,7.0
210,0.0,7.0
211,1.0,10.0
212,1.0,12.0
213,1.0,15.0
214,3.0,18.0
215,4.0,20.0
216,5.0,21.0
217,7.0,21.0
218,8.0,21.0
219,11.0,21.0
220,12.0,22.0
221,13.0,25.0
222,13.0,25.0
223,12.0,21.0
224,10.0,16.0
225,13.0,15.0
226,12.0,14.0
227,11.0,12.0
228,10.0,15.0
229,12.0,10.0
230,10.0,11.0
231,9.0,10.0
232,7.0,7.0
233,4.0,4.0
234,2.0,3.0
235,3.0,5.0
236,4.0,6.0
237,4.0,5.0
238,4.0,7.0
239,4.0,7.0
240,7.0,7.0
241,8.0,8.0
242,8.0,9.0
