,channel_100,channel_101
0,0,0.0
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,5,1.0
10,5,1.0
11,4,3.0
12,4,3.0
13,7,1.0
14,3,0.0
15,3,1.0
16,7,2.0
17,3,3.0
18,1,2.0
19,2,4.0
20,2,4.0
21,1,1.0
22,0,0.0
23,0,0.0
24,0,0.0
25,0,0.0
26,0,0.0
27,0,0.0
28,0,0.0
29,0,0.0
30,0,0.0
31,0,0.0
32,0,0.0
33,8,4.0
34,8,2.0
35,6,6.0
36,3,5.0
37,3,2.0
38,5,2.0
39,7,5.0
40,3,3.0
41,3,1.0
42,4,3.0
43,2,2.0
44,1,1.0
45,1,0.0
46,1,0.0
47,0,0.0
48,0,0.0
49,0,0.0
50,0,0.0
51,0,0.0
52,0,0.0
53,0,0.0
54,0,0.0
55,0,0.0
56,0,0.0
57,7,5.0
58,9,5.0
59,5,2.0
60,1,2.0
61,1,4.0
62,3,4.0
63,4,6.0
64,2,8.0
65,4,9.0
66,5,7.0
67,6,2.0
68,3,1.0
69,0,1.0
70,0,1.0
71,0,0.0
72,0,0.0
73,0,0.0
74,0,0.0
75,0,0.0
76,0,0.0
77,0,0.0
78,0,0.0
79,0,0.0
80,0,0.0
81,7,9.0
82,5,8.0
83,2,8.0
84,3,6.0
85,2,4.0
86,6,1.0
87,3,3.0
88,2,5.0
89,1,6.0
90,2,6.0
91,5,2.0
92,7,4.0
93,3,3.0
94,2,1.0
95,0,0.0
96,0,0.0
97,0,0.0
98,0,0.0
99,0,0.0
100,0,0.0
101,0,0.0
102,0,0.0
103,0,0.0
104,0,0.0
105,9,9.0
106,6,8.0
107,5,5.0
108,6,4.0
109,6,7.0
110,1,10.0
111,3,7.0
112,6,6.0
113,6,5.0
114,5,3.0
115,2,3.0
116,4,2.0
117,0,1.0
118,0,0.0
119,0,0.0
120,0,0.0
121,0,0.0
122,0,0.0
123,0,0.0
124,0,0.0
125,0,0.0
126,0,0.0
127,0,0.0
128,0,0.0
129,9,11.0
130,11,15.0
131,8,12.0
132,3,2.0
133,4,2.0
134,2,4.0
135,6,5.0
136,7,6.0
137,4,8.0
138,2,5.0
139,3,7.0
140,3,8.0
141,3,2.0
142,1,0.0
143,0,0.0
144,0,0.0
145,0,0.0
146,0,0.0
147,0,0.0
148,1,0.0
149,0,0.0
150,0,0.0
151,0,0.0
152,0,0.0
153,9,9.0
154,10,11.0
155,5,7.0
156,4,5.0
157,3,3.0
158,3,4.0
159,4,8.0
160,6,9.0
161,6,4.0
162,3,4.0
163,4,3.0
164,4,3.0
165,2,1.0
166,0,1.0
167,1,0.0
168,0,0.0
169,0,0.0
170,0,0.0
171,0,0.0
172,0,0.0
173,0,0.0
174,0,0.0
175,0,0.0
176,0,0.0
177,8,8.0
178,12,8.0
179,8,7.0
180,4,7.0
181,2,5.0
182,4,6.0
183,7,5.0
184,6,9.0
185,3,7.0
186,3,9.0
187,4,6.0
188,3,2.0
189,0,1.0
190,0,0.0
191,0,0.0
192,0,0.0
193,0,0.0
194,0,1.0
195,0,0.0
196,0,0.0
197,0,0.0
198,0,0.0
199,0,0.0
200,0,0.0
201,9,12.0
202,8,12.0
203,4,6.0
204,5,6.0
205,4,4.0
206,5,3.0
207,7,5.0
208,6,5.0
209,9,3.0
210,1,7.0
211,1,3.0
212,2,3.0
213,2,1.0
214,1,0.0
215,0,0.0
216,0,0.0
217,0,0.0
218,0,0.0
219,0,0.0
220,0,0.0
221,0,0.0
222,0,0.0
223,0,0.0
224,0,0.0
225,7,7.0
226,6,6.0
227,4,6.0
228,4,4.0
229,6,5.0
230,5,5.0
231,2,6.0
232,3,8.0
233,2,5.0
