,Anchorage_100,Anchorage_101,mean,std
1005,0.0,,0.0,0.0
1013,0.0,,0.0,0.0
1027,10.0,,10.0,0.0
1029,10.91,,10.91,0.0
1048,7.0,,7.0,0.0
1070,0.0,12.81,6.405,6.405
1106,0.0,,0.0,0.0
1107,0.0,,0.0,0.0
1110,11.0,,11.0,0.0
1120,9.12,,9.12,0.0
1138,0.0,,0.0,0.0
1152,9.1,,9.1,0.0
1185,9.59,,9.59,0.0
1187,6.1,,6.1,0.0
1199,0.0,,0.0,0.0
1212,0.0,,0.0,0.0
1217,7.37,1.0,4.1850000000000005,3.185
1235,14.0,,14.0,0.0
1275,2.42,,2.42,0.0
1279,12.95,,12.95,0.0
1288,25.73,,25.73,0.0
1289,11.56,,11.56,0.0
1290,10.69,,10.69,0.0
1298,1.0,,1.0,0.0
1363,2.0,6.45,4.225,2.225
1378,8.969999999999999,,8.969999999999999,0.0
1379,7.5,,7.5,0.0
1400,0.0,0.0,0.0,0.0
1413,4.49,,4.49,0.0
1415,5.17,,5.17,0.0
1419,0.0,,0.0,0.0
1422,0.0,,0.0,0.0
1427,0.0,,0.0,0.0
1448,0.0,6.36,3.18,3.18
1452,12.0,,12.0,0.0
1463,10.6,,10.6,0.0
1465,10.12,,10.12,0.0
1482,21.79,,21.79,0.0
1489,0.0,,0.0,0.0
1498,11.52,,11.52,0.0
1519,0.0,,0.0,0.0
1527,12.05,,12.05,0.0
1542,9.26,,9.26,0.0
1549,0.0,,0.0,0.0
1551,1.0,,1.0,0.0
1564,12.27,,12.27,0.0
1585,0.0,,0.0,0.0
1600,8.98,,8.98,0.0
1604,9.34,1.0,5.17,4.17
1626,10.24,,10.24,0.0
1641,0.0,,0.0,0.0
1644,0.0,,0.0,0.0
1686,8.0,,8.0,0.0
1692,7.92,,7.92,0.0
1727,0.0,,0.0,0.0
1745,8.95,,8.95,0.0
1754,1.0,8.81,4.905,3.9050000000000002
1757,1.0,,1.0,0.0
1758,2.0,,2.0,0.0
1760,2.0,,2.0,0.0
1762,0.0,,0.0,0.0
1789,10.94,,10.94,0.0
1803,0.0,,0.0,0.0
1805,0.0,,0.0,0.0
1819,12.25,,12.25,0.0
1821,12.52,,12.52,0.0
1842,1.0,,1.0,0.0
1848,12.0,,12.0,0.0
1851,10.98,,10.98,0.0
1852,10.9,,10.9,0.0
1877,0.0,,0.0,0.0
1919,10.0,,10.0,0.0
1933,1.0,,1.0,0.0
1946,0.0,,0.0,0.0
1958,12.02,,12.02,0.0
1967,0.0,,0.0,0.0
2012,3.0,,3.0,0.0
2019,1.0,,1.0,0.0
2025,0.0,,0.0,0.0
2026,1.0,,1.0,0.0
2048,5.95,,5.95,0.0
2051,0.0,,0.0,0.0
2063,0.0,,0.0,0.0
2067,0.0,,0.0,0.0
2075,5.0,,5.0,0.0
2081,8.47,,8.47,0.0
2093,2.0,,2.0,0.0
2102,0.0,,0.0,0.0
2112,7.02,9.6,8.309999999999999,1.29
2122,0.0,,0.0,0.0
2132,0.0,,0.0,0.0
2137,0.0,,0.0,0.0
2157,0.0,,0.0,0.0
2177,11.0,,11.0,0.0
2189,11.39,,11.39,0.0
2192,1.0,8.04,4.52,3.5199999999999996
2197,0.0,0.0,0.0,0.0
2200,0.0,2.0,1.0,1.0
2258,9.73,,9.73,0.0
2264,2.0,,2.0,0.0
2270,0.0,,0.0,0.0
2271,1.0,,1.0,0.0
2291,10.65,,10.65,0.0
