,Cargo_100,Cargo_101,mean,std
1005,42.08,,42.08,0.0
1013,15.07,,15.07,0.0
1027,8.219999999999999,,8.219999999999999,0.0
1029,20.16,,20.16,0.0
1048,41.879999999999995,,41.879999999999995,0.0
1070,38.58,33.67,36.125,2.4549999999999983
1106,14.66,,14.66,0.0
1107,8.67,,8.67,0.0
1110,17.97,,17.97,0.0
1120,31.42,,31.42,0.0
1138,19.93,,19.93,0.0
1152,10.05,,10.05,0.0
1185,20.259999999999998,,20.259999999999998,0.0
1187,45.9,,45.9,0.0
1199,34.150000000000006,,34.150000000000006,0.0
1212,35.85,,35.85,0.0
1217,15.2,39.4,27.299999999999997,12.099999999999998
1235,39.15,,39.15,0.0
1275,22.15,,22.15,0.0
1279,36.49,,36.49,0.0
1288,18.03,,18.03,0.0
1289,38.58,,38.58,0.0
1290,24.0,,24.0,0.0
1298,11.85,,11.85,0.0
1363,50.85,19.23,35.04,15.81
1378,9.54,,9.54,0.0
1379,18.72,,18.72,0.0
1400,10.63,9.73,10.18,0.4500000000000002
1413,10.36,,10.36,0.0
1415,16.05,,16.05,0.0
1419,11.57,,11.57,0.0
1422,36.49,,36.49,0.0
1427,8.1,,8.1,0.0
1448,38.94,18.93,28.935,10.004999999999999
1452,46.68,,46.68,0.0
1463,35.620000000000005,,35.620000000000005,0.0
1465,39.7,,39.7,0.0
1482,22.66,,22.66,0.0
1489,41.03,,41.03,0.0
1498,33.51,,33.51,0.0
1519,39.5,,39.5,0.0
1527,11.49,,11.49,0.0
1542,42.05,,42.05,0.0
1549,45.21,,45.21,0.0
1551,20.08,,20.08,0.0
1564,18.46,,18.46,0.0
1585,20.7,,20.7,0.0
1600,18.47,,18.47,0.0
1604,40.42,21.75,31.085,9.335
1626,19.95,,19.95,0.0
1641,17.15,,17.15,0.0
1644,17.93,,17.93,0.0
1686,46.849999999999994,,46.849999999999994,0.0
1692,8.53,,8.53,0.0
1727,20.97,,20.97,0.0
1745,22.23,,22.23,0.0
1754,17.21,11.969999999999999,14.59,2.620000000000001
1757,17.5,,17.5,0.0
1758,9.17,,9.17,0.0
1760,32.76,,32.76,0.0
1762,15.899999999999999,,15.899999999999999,0.0
1789,37.89,,37.89,0.0
1803,34.849999999999994,,34.849999999999994,0.0
1805,19.25,,19.25,0.0
1819,16.2,,16.2,0.0
1821,17.25,,17.25,0.0
1842,18.5,,18.5,0.0
1848,9.55,,9.55,0.0
1851,10.77,,10.77,0.0
1852,11.629999999999999,,11.629999999999999,0.0
1877,18.5,,18.5,0.0
1919,38.54,,38.54,0.0
1933,17.27,,17.27,0.0
1946,9.2,,9.2,0.0
1958,31.58,,31.58,0.0
1967,42.14,,42.14,0.0
2012,40.099999999999994,,40.099999999999994,0.0
2019,18.33,,18.33,0.0
2025,10.53,,10.53,0.0
2026,30.9,,30.9,0.0
2048,19.299999999999997,,19.299999999999997,0.0
2051,20.14,,20.14,0.0
2063,41.55,,41.55,0.0
2067,40.26,,40.26,0.0
2075,34.71,,34.71,0.0
2081,32.95,,32.95,0.0
2093,35.1,,35.1,0.0
2102,19.45,,19.45,0.0
2112,10.35,14.879999999999999,12.614999999999998,2.2649999999999997
2122,41.0,,41.0,0.0
2132,19.77,,19.77,0.0
2137,10.08,,10.08,0.0
2157,34.75,,34.75,0.0
2177,8.75,,8.75,0.0
2189,36.91,,36.91,0.0
2192,38.18,20.29,29.235,8.945
2197,38.49,44.57,41.53,3.039999999999999
2200,11.33,20.83,16.08,4.749999999999999
2258,8.01,,8.01,0.0
2264,20.55,,20.55,0.0
2270,45.209999999999994,,45.209999999999994,0.0
2271,37.78,,37.78,0.0
2291,15.879999999999999,,15.879999999999999,0.0
2299,17.48,,17.48,0.0
2324,36.69,,36.69,0.0
2338,42.83,,42.83,0.0
