,Anchorage_100,Anchorage_101,mean,std
1001,24.16,,24.16,0.0
1012,2.0,,2.0,0.0
1014,0.0,,0.0,0.0
1016,12.0,,12.0,0.0
1022,10.97,,10.97,0.0
1033,1.0,,1.0,0.0
1045,9.0,,9.0,0.0
1049,11.09,,11.09,0.0
1056,7.48,,7.48,0.0
1062,0.0,7.0,3.5,3.5
1069,0.0,,0.0,0.0
1073,12.0,,12.0,0.0
1076,10.0,,10.0,0.0
1082,9.0,0.0,4.5,4.5
1085,11.27,,11.27,0.0
1087,10.28,,10.28,0.0
1089,7.95,,7.95,0.0
1091,7.65,,7.65,0.0
1093,5.08,,5.08,0.0
1094,3.78,,3.78,0.0
1101,2.38,,2.38,0.0
1102,2.44,,2.44,0.0
1103,1.93,,1.93,0.0
1108,13.0,25.17,19.085,6.085000000000001
1109,17.76,,17.76,0.0
1112,15.39,0.0,7.695,7.695
1117,12.37,0.0,6.185,6.185
1122,7.32,,7.32,0.0
1128,2.14,,2.14,0.0
1132,12.48,,12.48,0.0
1145,10.0,,10.0,0.0
1146,7.0,,7.0,0.0
1147,14.13,,14.13,0.0
1149,11.25,2.0,6.625,4.625
1156,4.98,11.0,7.99,3.01
1158,6.58,,6.58,0.0
1160,4.29,,4.29,0.0
1162,4.43,,4.43,0.0
1165,2.91,,2.91,0.0
1172,11.0,,11.0,0.0
1174,13.0,1.0,7.0,6.0
1178,15.54,0.0,7.77,7.77
1188,4.71,11.0,7.855,3.145
1189,6.06,,6.06,0.0
1202,1.59,,1.59,0.0
1219,3.23,,3.23,0.0
1230,2.0,,2.0,0.0
1238,9.0,12.28,10.64,1.6399999999999997
1242,9.33,,9.33,0.0
1255,23.3,,23.3,0.0
1263,0.0,,0.0,0.0
1269,3.0,,3.0,0.0
1273,11.0,,11.0,0.0
1283,10.13,,10.13,0.0
1294,22.1,,22.1,0.0
1295,0.0,,0.0,0.0
1301,2.0,,2.0,0.0
1315,10.0,,10.0,0.0
1331,0.0,9.0,4.5,4.5
1335,0.0,,0.0,0.0
1339,0.0,,0.0,0.0
1343,11.0,,11.0,0.0
1347,10.0,,10.0,0.0
1355,8.86,,8.86,0.0
1375,8.0,,8.0,0.0
1377,5.0,,5.0,0.0
1397,12.0,,12.0,0.0
1404,6.67,,6.67,0.0
1408,6.89,,6.89,0.0
1426,9.0,0.0,4.5,4.5
1437,6.63,,6.63,0.0
1444,0.0,,0.0,0.0
1454,10.0,,10.0,0.0
1459,8.0,,8.0,0.0
1466,9.7,,9.7,0.0
1468,11.63,,11.63,0.0
1469,10.52,12.75,11.635,1.1150000000000002
1473,9.91,,9.91,0.0
1478,23.4,,23.4,0.0
1483,0.0,,0.0,0.0
1484,5.38,,5.38,0.0
1486,4.41,21.29,12.85,8.44
1492,11.0,,11.0,0.0
1499,10.51,,10.51,0.0
1506,0.82,14.36,7.59,6.77
1521,11.0,,11.0,0.0
1526,13.59,,13.59,0.0
1537,25.08,,25.08,0.0
1546,0.0,,0.0,0.0
1547,1.0,,1.0,0.0
1552,0.0,9.63,4.815,4.815
1556,0.0,11.22,5.61,5.61
1569,15.31,,15.31,0.0
1570,14.86,,14.86,0.0
1584,0.0,,0.0,0.0
1589,11.0,,11.0,0.0
1590,9.79,0.0,4.895,4.895
1591,13.6,,13.6,0.0
1594,11.39,,11.39,0.0
1595,11.37,,11.37,0.0
1599,10.71,,10.71,0.0
1608,5.6,,5.6,0.0
1625,9.62,,9.62,0.0
1627,9.5,,9.5,0.0
1633,21.79,0.0,10.895,10.895
1635,7.73,,7.73,0.0
1648,12.0,,12.0,0.0
1650,12.0,,12.0,0.0
1656,6.0,,6.0,0.0
1662,6.31,,6.31,0.0
1668,0.0,,0.0,0.0
1673,13.0,,13.0,0.0
1676,11.0,10.18,10.59,0.41000000000000014
1681,13.0,11.12,12.059999999999999,0.9400000000000004
1682,9.0,,9.0,0.0
1697,0.0,,0.0,0.0
1699,1.0,,1.0,0.0
1713,11.0,,11.0,0.0
1731,11.0,0.0,5.5,5.5
1733,10.0,18.66,14.33,4.33
1748,9.65,,9.65,0.0
1751,7.76,,7.76,0.0
1756,0.0,,0.0,0.0
1761,0.0,,0.0,0.0
1765,0.0,,0.0,0.0
1796,24.06,,24.06,0.0
1809,2.0,,2.0,0.0
1824,13.21,,13.21,0.0
1825,26.23,6.34,16.285,9.945
1826,13.8,,13.8,0.0
1827,13.46,5.66,9.56,3.9000000000000004
1830,24.69,,24.69,0.0
1838,0.0,10.56,5.28,5.28
1844,1.0,,1.0,0.0
1849,9.0,,9.0,0.0
1864,0.0,0.0,0.0,0.0
1866,3.0,,3.0,0.0
1867,3.19,,3.19,0.0
1917,10.0,,10.0,0.0
1918,11.0,,11.0,0.0
1920,10.0,17.73,13.865,3.865
1934,1.0,,1.0,0.0
1935,0.0,,0.0,0.0
1940,3.0,,3.0,0.0
1959,10.3,,10.3,0.0
1966,0.0,,0.0,0.0
1976,0.0,,0.0,0.0
1985,10.0,,10.0,0.0
2001,11.0,,11.0,0.0
2013,4.98,,4.98,0.0
2018,4.08,,4.08,0.0
2021,1.0,,1.0,0.0
2024,3.0,10.6,6.8,3.8
2035,9.0,,9.0,0.0
2038,8.0,,8.0,0.0
2040,8.0,,8.0,0.0
2042,6.82,9.0,7.91,1.0899999999999999
2043,7.01,,7.01,0.0
2060,1.0,,1.0,0.0
2066,11.0,,11.0,0.0
2072,9.0,,9.0,0.0
2085,9.74,,9.74,0.0
2098,0.0,,0.0,0.0
2113,7.86,9.05,8.455,0.5950000000000002
2123,1.0,,1.0,0.0
2126,2.0,,2.0,0.0
2140,9.0,,9.0,0.0
2141,8.0,12.0,10.0,2.0
2150,12.17,,12.17,0.0
2154,23.31,,23.31,0.0
2159,0.0,,0.0,0.0
2173,14.0,,14.0,0.0
2179,9.0,,9.0,0.0
2183,10.0,,10.0,0.0
2191,7.86,,7.86,0.0
2196,1.0,,1.0,0.0
2198,1.0,,1.0,0.0
2203,1.0,,1.0,0.0
2207,0.0,13.0,6.5,6.5
2209,11.0,,11.0,0.0
2218,10.4,,10.4,0.0
2224,6.28,,6.28,0.0
2225,7.26,,7.26,0.0
2239,12.0,,12.0,0.0
2242,8.0,,8.0,0.0
2247,7.35,,7.35,0.0
2249,10.01,,10.01,0.0
2265,0.0,,0.0,0.0
2274,12.0,,12.0,0.0
2280,12.0,,12.0,0.0
2295,0.0,,0.0,0.0
2296,0.0,,0.0,0.0
2298,0.0,,0.0,0.0
2300,11.0,,11.0,0.0
2302,10.0,,10.0,0.0
2307,3.0,,3.0,0.0
2309,4.31,,4.31,0.0
2312,1.0,,1.0,0.0
2328,11.0,,11.0,0.0
2329,7.0,,7.0,0.0
2333,6.64,,6.64,0.0
2336,5.63,,5.63,0.0
2340,0.0,,0.0,0.0
2346,10.0,,10.0,0.0
2347,10.0,,10.0,0.0
2354,7.0,,7.0,0.0
2360,0.0,,0.0,0.0
2368,10.0,,10.0,0.0
2376,5.0,,5.0,0.0
2377,8.0,,8.0,0.0
2378,9.6,25.93,17.765,8.165000000000001
2385,5.25,,5.25,0.0
2392,0.0,,0.0,0.0
2404,10.0,,10.0,0.0
2406,6.0,12.18,9.09,3.09
2408,9.2,13.42,11.309999999999999,2.1100000000000003
2410,5.8,,5.8,0.0
2415,0.0,9.61,4.805,4.805
2419,2.29,,2.29,0.0
2428,12.0,,12.0,0.0
2457,1.0,,1.0,0.0
2458,0.0,,0.0,0.0
2460,11.0,,11.0,0.0
2466,10.0,8.16,9.08,0.9199999999999999
2497,6.6,,6.6,0.0
2507,0.0,,0.0,0.0
2516,10.0,,10.0,0.0
2541,0.0,0.0,0.0,0.0
2542,0.0,,0.0,0.0
2555,8.66,,8.66,0.0
2563,1.0,,1.0,0.0
2574,2.0,,2.0,0.0
2578,12.0,,12.0,0.0
2579,11.0,,11.0,0.0
2590,7.48,,7.48,0.0
2595,0.0,,0.0,0.0
2604,1.0,,1.0,0.0
2610,0.0,,0.0,0.0
2615,9.0,,9.0,0.0
2618,9.0,,9.0,0.0
2622,0.0,0.0,0.0,0.0
2627,0.0,,0.0,0.0
2628,0.0,,0.0,0.0
2636,9.0,,9.0,0.0
2637,9.0,,9.0,0.0
2638,8.0,,8.0,0.0
2639,7.0,,7.0,0.0
2645,6.04,5.59,5.8149999999999995,0.2250000000000001
2652,0.0,2.0,1.0,1.0
2656,1.0,,1.0,0.0
2670,10.0,,10.0,0.0
2676,8.5,,8.5,0.0
