,Turn_100,Turn_101,mean,std
1001,37.46000000000004,,37.46000000000004,0.0
1012,26.66999999999996,,26.66999999999996,0.0
1014,27.14999999999998,,27.14999999999998,0.0
1016,23.42999999999995,,23.42999999999995,0.0
1022,43.51999999999998,,43.51999999999998,0.0
1033,13.71000000000004,,13.71000000000004,0.0
1045,19.78999999999996,,19.78999999999996,0.0
1049,19.65000000000009,,19.65000000000009,0.0
1056,35.85000000000002,,35.85000000000002,0.0
1062,33.23000000000002,45.5200000000001,39.37500000000006,6.145000000000042
1069,25.97000000000003,,25.97000000000003,0.0
1073,23.06000000000006,,23.06000000000006,0.0
1076,25.25,,25.25,0.0
1082,21.08000000000004,31.02999999999997,26.055000000000007,4.974999999999964
1085,42.28999999999996,,42.28999999999996,0.0
1087,57.47000000000003,,57.47000000000003,0.0
1089,60.68999999999994,,60.68999999999994,0.0
1091,32.68000000000006,,32.68000000000006,0.0
1093,32.50999999999999,,32.50999999999999,0.0
1094,53.38999999999999,,53.38999999999999,0.0
1101,46.83000000000004,,46.83000000000004,0.0
1102,27.59000000000003,,27.59000000000003,0.0
1103,28.35000000000002,,28.35000000000002,0.0
1108,25.36000000000001,35.28999999999996,30.32499999999998,4.964999999999973
1109,49.60000000000002,,49.60000000000002,0.0
1112,46.25,31.1099999999999,38.67999999999995,7.57000000000005
1117,37.90999999999997,28.63,33.26999999999998,4.639999999999985
1122,52.88999999999999,,52.88999999999999,0.0
1128,27.69999999999993,,27.69999999999993,0.0
1132,26.05999999999995,,26.05999999999995,0.0
1145,22.46000000000004,,22.46000000000004,0.0
1146,42.55000000000007,,42.55000000000007,0.0
1147,34.93000000000006,,34.93000000000006,0.0
1149,62.59000000000003,27.13999999999999,44.86500000000001,17.725000000000023
1156,35.11000000000001,23.5,29.305000000000003,5.805000000000003
1158,33.18000000000006,,33.18000000000006,0.0
1160,55.77999999999997,,55.77999999999997,0.0
1162,32.96000000000004,,32.96000000000004,0.0
1165,31.76999999999998,,31.76999999999998,0.0
1172,23.38,,23.38,0.0
1174,22.2399999999999,29.16999999999996,25.704999999999927,3.46500000000003
1178,61.14999999999998,23.84000000000003,42.495000000000005,18.654999999999973
1188,31.97000000000003,25.33000000000004,28.650000000000034,3.319999999999995
1189,37.23000000000002,,37.23000000000002,0.0
1202,53.34000000000003,,53.34000000000003,0.0
1219,34.61000000000001,,34.61000000000001,0.0
1230,54.04999999999995,,54.04999999999995,0.0
1238,23.94999999999993,64.38,44.164999999999964,20.215000000000032
1242,43.90999999999997,,43.90999999999997,0.0
1255,39.57000000000005,,39.57000000000005,0.0
1263,10.43999999999994,,10.43999999999994,0.0
1269,50.48000000000002,,50.48000000000002,0.0
1273,49.37,,49.37,0.0
1283,41.63,,41.63,0.0
1294,36.08000000000004,,36.08000000000004,0.0
1295,10.97000000000003,,10.97000000000003,0.0
1301,34.01999999999998,,34.01999999999998,0.0
1315,25.73000000000002,,25.73000000000002,0.0
1331,28.02999999999997,21.65000000000009,24.840000000000032,3.189999999999939
1335,28.26999999999998,,28.26999999999998,0.0
1339,25.01999999999987,,25.01999999999987,0.0
1343,26.44000000000005,,26.44000000000005,0.0
1347,25.27999999999986,,25.27999999999986,0.0
1355,38.54999999999995,,38.54999999999995,0.0
1375,20.91000000000008,,20.91000000000008,0.0
1377,21.01999999999998,,21.01999999999998,0.0
1397,27.70000000000005,,27.70000000000005,0.0
1404,17.15000000000009,,17.15000000000009,0.0
1408,41.55000000000018,,41.55000000000018,0.0
1426,18.45000000000005,26.8599999999999,22.654999999999973,4.2049999999999255
1437,52.07000000000016,,52.07000000000016,0.0
1444,28.30999999999995,,28.30999999999995,0.0
1454,24.48000000000002,,24.48000000000002,0.0
1459,21.23000000000002,,21.23000000000002,0.0
1466,39.29999999999995,,39.29999999999995,0.0
1468,62.36000000000013,,62.36000000000013,0.0
1469,39.65000000000009,42.07999999999993,40.86500000000001,1.2149999999999181
1473,37.18000000000006,,37.18000000000006,0.0
1478,33.81000000000017,,33.81000000000017,0.0
1483,11.35000000000014,,11.35000000000014,0.0
1484,32.18000000000006,,32.18000000000006,0.0
1486,29.22999999999979,36.05999999999995,32.64499999999987,3.415000000000081
1492,47.07000000000016,,47.07000000000016,0.0
1499,45.51999999999998,,45.51999999999998,0.0
1506,31.52999999999997,59.47000000000003,45.5,13.970000000000029
1521,49.38999999999987,,49.38999999999987,0.0
1526,47.16000000000008,,47.16000000000008,0.0
1537,58.63000000000011,,58.63000000000011,0.0
1546,33.3599999999999,,33.3599999999999,0.0
1547,37.2800000000002,,37.2800000000002,0.0
1552,27.83999999999992,58.08999999999992,42.96499999999992,15.124999999999998
1556,28.43000000000006,38.72000000000003,33.575000000000045,5.144999999999984
1569,47.06999999999994,,47.06999999999994,0.0
1570,42.18000000000006,,42.18000000000006,0.0
1584,50.68000000000006,,50.68000000000006,0.0
1589,39.64999999999986,,39.64999999999986,0.0
1590,21.50999999999999,33.66999999999985,27.58999999999992,6.079999999999931
1591,24.12999999999988,,24.12999999999988,0.0
1594,45.50999999999999,,45.50999999999999,0.0
1595,43.30999999999995,,43.30999999999995,0.0
1599,39.47000000000003,,39.47000000000003,0.0
1608,31.90999999999985,,31.90999999999985,0.0
1625,18.96000000000004,,18.96000000000004,0.0
1627,38.59999999999991,,38.59999999999991,0.0
1633,58.60000000000014,34.74000000000001,46.67000000000007,11.930000000000067
1635,37.51999999999998,,37.51999999999998,0.0
1648,27.02000000000021,,27.02000000000021,0.0
1650,47.30999999999995,,47.30999999999995,0.0
1656,40.68999999999983,,40.68999999999983,0.0
1662,18.05000000000018,,18.05000000000018,0.0
1668,36.75,,36.75,0.0
1673,23.75999999999999,,23.75999999999999,0.0
1676,25.50999999999999,39.44000000000005,32.47500000000002,6.965000000000028
1681,46.41999999999985,61.08999999999992,53.75499999999988,7.335000000000033
1682,24.77999999999997,,24.77999999999997,0.0
1697,13.53999999999996,,13.53999999999996,0.0
1699,29.57999999999993,,29.57999999999993,0.0
1713,49.43000000000006,,49.43000000000006,0.0
1731,24.73000000000002,50.64999999999986,37.68999999999994,12.959999999999917
1733,21.99000000000001,51.02999999999997,36.50999999999999,14.519999999999982
1748,60.57999999999993,,60.57999999999993,0.0
1751,36.68999999999983,,36.68999999999983,0.0
1756,31.34000000000015,,31.34000000000015,0.0
1761,48.38999999999987,,48.38999999999987,0.0
1765,26.59999999999991,,26.59999999999991,0.0
1796,36.66000000000008,,36.66000000000008,0.0
1809,25.56999999999994,,25.56999999999994,0.0
1824,40.30999999999995,,40.30999999999995,0.0
1825,63.43000000000006,37.33999999999992,50.38499999999999,13.04500000000007
1826,41.26999999999998,,41.26999999999998,0.0
1827,41.86000000000013,38.1400000000001,40.000000000000114,1.8600000000000136
1830,61.07000000000016,,61.07000000000016,0.0
1838,32.03999999999996,19.31000000000017,25.67500000000006,6.364999999999894
1844,26.22000000000003,,26.22000000000003,0.0
1849,62.87000000000012,,62.87000000000012,0.0
1864,31.97000000000003,52.1400000000001,42.055000000000064,10.085000000000035
1866,36.37000000000012,,36.37000000000012,0.0
1867,30.42000000000007,,30.42000000000007,0.0
1917,25.42000000000007,,25.42000000000007,0.0
1918,21.07000000000016,,21.07000000000016,0.0
1920,48.04999999999995,69.01999999999998,58.53499999999997,10.485000000000017
1934,33.54999999999995,,33.54999999999995,0.0
1935,35.23000000000002,,35.23000000000002,0.0
1940,51.78999999999996,,51.78999999999996,0.0
1959,38.99000000000001,,38.99000000000001,0.0
1966,50.44000000000005,,50.44000000000005,0.0
1976,28.89999999999986,,28.89999999999986,0.0
1985,48.2800000000002,,48.2800000000002,0.0
2001,23.54999999999995,,23.54999999999995,0.0
2013,53.95999999999981,,53.95999999999981,0.0
2018,33.92999999999984,,33.92999999999984,0.0
2021,33.65999999999985,,33.65999999999985,0.0
2024,35.98000000000002,36.25,36.11500000000001,0.1349999999999909
2035,48.00999999999999,,48.00999999999999,0.0
2038,43.67999999999984,,43.67999999999984,0.0
2040,19.57000000000016,,19.57000000000016,0.0
2042,56.20000000000005,22.81000000000017,39.50500000000011,16.694999999999943
2043,38.86999999999989,,38.86999999999989,0.0
2060,48.61000000000013,,48.61000000000013,0.0
2066,22.92000000000007,,22.92000000000007,0.0
2072,23.24000000000001,,23.24000000000001,0.0
2085,35.79999999999995,,35.79999999999995,0.0
2098,26.13000000000011,,26.13000000000011,0.0
2113,39.33000000000015,41.46000000000004,40.395000000000095,1.064999999999948
2123,49.24000000000001,,49.24000000000001,0.0
2126,50.52999999999997,,50.52999999999997,0.0
2140,22.69000000000005,,22.69000000000005,0.0
2141,23.88000000000011,27.70000000000005,25.790000000000077,1.90999999999997
2150,61.49000000000001,,61.49000000000001,0.0
2154,61.88000000000011,,61.88000000000011,0.0
2159,29.43999999999983,,29.43999999999983,0.0
2173,27.44999999999982,,27.44999999999982,0.0
2179,25.99000000000001,,25.99000000000001,0.0
2183,20.15999999999985,,20.15999999999985,0.0
2191,36.75,,36.75,0.0
2196,32.73000000000002,,32.73000000000002,0.0
2198,33.67000000000007,,33.67000000000007,0.0
2203,51.01999999999998,,51.01999999999998,0.0
2207,49.50999999999999,27.11999999999989,38.31499999999994,11.19500000000005
2209,22.68999999999983,,22.68999999999983,0.0
2218,44.70000000000005,,44.70000000000005,0.0
2224,34.77999999999997,,34.77999999999997,0.0
2225,58.1099999999999,,58.1099999999999,0.0
2239,22.36999999999989,,22.36999999999989,0.0
2242,24.47000000000003,,24.47000000000003,0.0
2247,40.97000000000003,,40.97000000000003,0.0
2249,38.08999999999992,,38.08999999999992,0.0
2265,53.62000000000012,,53.62000000000012,0.0
2274,27.38999999999987,,27.38999999999987,0.0
2280,23.47000000000003,,23.47000000000003,0.0
2295,35.3599999999999,,35.3599999999999,0.0
2296,33.54000000000019,,33.54000000000019,0.0
2298,29.55999999999995,,29.55999999999995,0.0
2300,27.29000000000019,,27.29000000000019,0.0
2302,44.42000000000007,,44.42000000000007,0.0
2307,18.58999999999992,,18.58999999999992,0.0
2309,33.49000000000001,,33.49000000000001,0.0
2312,29.98000000000002,,29.98000000000002,0.0
2328,44.08999999999992,,44.08999999999992,0.0
2329,47.25999999999999,,47.25999999999999,0.0
2333,36.28999999999996,,36.28999999999996,0.0
2336,32.78999999999996,,32.78999999999996,0.0
2340,31.29999999999995,,31.29999999999995,0.0
2346,24.32999999999993,,24.32999999999993,0.0
2347,21.47000000000003,,21.47000000000003,0.0
2354,19.02999999999997,,19.02999999999997,0.0
2360,33.27999999999997,,33.27999999999997,0.0
2368,25.21000000000004,,25.21000000000004,0.0
2376,44.09000000000015,,44.09000000000015,0.0
2377,42.44000000000005,,42.44000000000005,0.0
2378,40.54999999999995,41.91999999999985,41.2349999999999,0.6849999999999525
2385,37.50999999999999,,37.50999999999999,0.0
2392,30.81999999999994,,30.81999999999994,0.0
2404,19.62000000000012,,19.62000000000012,0.0
2406,40.24000000000001,41.65999999999985,40.94999999999993,0.7099999999999191
2408,40.34999999999991,41.35000000000014,40.85000000000002,0.5000000000001172
2410,35.94000000000005,,35.94000000000005,0.0
2415,30.58000000000015,38.18000000000006,34.3800000000001,3.7999999999999527
2419,30.87999999999988,,30.87999999999988,0.0
2428,26.22000000000003,,26.22000000000003,0.0
2457,26.84999999999991,,26.84999999999991,0.0
2458,25.12999999999988,,25.12999999999988,0.0
2460,26.98000000000002,,26.98000000000002,0.0
