,db_100,db_101
0,1.0,0.0
1,1.0,1.0
2,1.0,1.0
3,1.0,1.0
4,3.0,2.0
5,3.0,2.0
6,4.0,2.0
7,2.0,0.0
8,2.0,0.0
9,2.0,0.0
10,2.0,0.0
11,1.0,1.0
12,2.0,1.0
13,3.0,1.0
14,1.0,0.0
15,1.0,1.0
16,1.0,1.0
17,0.0,1.0
18,0.0,0.0
19,0.0,0.0
20,0.0,1.0
21,0.0,1.0
22,0.0,1.0
23,1.0,1.0
24,1.0,1.0
25,1.0,1.0
26,1.0,1.0
27,1.0,1.0
28,1.0,1.0
29,2.0,2.0
30,2.0,3.0
31,2.0,3.0
32,1.0,2.0
33,1.0,2.0
34,1.0,2.0
35,1.0,2.0
36,1.0,2.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,1.0,0.0
49,1.0,0.0
50,1.0,1.0
51,1.0,1.0
52,1.0,1.0
53,1.0,1.0
54,1.0,1.0
55,1.0,1.0
56,0.0,1.0
57,0.0,1.0
58,0.0,1.0
59,0.0,1.0
60,0.0,1.0
61,0.0,1.0
62,0.0,1.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,1.0,0.0
70,1.0,0.0
71,1.0,1.0
72,1.0,1.0
73,2.0,1.0
74,2.0,1.0
75,2.0,1.0
76,2.0,1.0
77,2.0,1.0
78,2.0,3.0
79,1.0,3.0
80,0.0,3.0
81,0.0,3.0
82,2.0,2.0
83,2.0,2.0
84,0.0,2.0
85,0.0,2.0
86,0.0,3.0
87,0.0,3.0
88,0.0,1.0
89,0.0,1.0
90,0.0,1.0
91,0.0,2.0
92,0.0,2.0
93,0.0,2.0
94,0.0,2.0
95,0.0,2.0
96,0.0,2.0
97,0.0,3.0
98,1.0,3.0
99,1.0,3.0
100,1.0,3.0
101,1.0,3.0
102,1.0,3.0
103,1.0,2.0
104,1.0,0.0
105,1.0,0.0
106,1.0,0.0
107,1.0,0.0
108,1.0,0.0
109,1.0,1.0
110,1.0,1.0
111,0.0,1.0
112,1.0,0.0
113,1.0,1.0
114,1.0,1.0
115,1.0,1.0
116,1.0,1.0
117,2.0,1.0
118,2.0,1.0
119,2.0,2.0
120,2.0,2.0
121,2.0,3.0
122,2.0,3.0
123,2.0,3.0
124,2.0,4.0
125,3.0,4.0
126,4.0,4.0
127,3.0,3.0
128,4.0,3.0
129,4.0,3.0
130,4.0,2.0
131,4.0,2.0
132,4.0,2.0
133,3.0,2.0
134,2.0,1.0
135,1.0,0.0
136,0.0,0.0
137,0.0,0.0
138,0.0,0.0
139,0.0,0.0
140,0.0,0.0
141,0.0,0.0
142,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,0.0,0.0
146,0.0,0.0
147,0.0,0.0
148,0.0,0.0
149,0.0,1.0
150,0.0,1.0
151,0.0,1.0
152,1.0,1.0
153,1.0,1.0
154,1.0,1.0
155,0.0,1.0
156,0.0,1.0
157,0.0,1.0
158,1.0,0.0
159,1.0,1.0
160,1.0,1.0
161,0.0,1.0
162,0.0,1.0
163,0.0,1.0
164,0.0,2.0
165,0.0,2.0
