,Anchorage_100,Anchorage_101,mean,std
1000,12.26,1.0,6.63,5.63
1002,24.52,1.0,12.76,11.76
1003,24.56,0.0,12.28,12.28
1004,1.69,1.0,1.345,0.345
1006,2.31,1.0,1.655,0.655
1007,0.0,0.0,0.0,0.0
1008,1.55,2.0,1.775,0.22499999999999998
1009,1.0,,1.0,0.0
1010,0.0,0.0,0.0,0.0
1011,1.0,0.0,0.5,0.5
1015,12.46,,12.46,0.0
1017,11.0,,11.0,0.0
1018,10.74,11.0,10.870000000000001,0.1299999999999999
1019,9.58,10.0,9.79,0.20999999999999996
1020,9.54,,9.54,0.0
1021,9.48,9.0,9.24,0.2400000000000002
1023,9.65,11.0,10.325,0.6749999999999998
1024,9.73,7.0,8.365,1.3650000000000002
1025,10.49,8.0,9.245000000000001,1.245
1026,10.56,10.0,10.280000000000001,0.28000000000000025
1028,10.99,,10.99,0.0
1030,10.61,,10.61,0.0
1031,10.07,5.89,7.98,2.0900000000000003
1032,0.0,6.65,3.325,3.325
1034,2.0,,2.0,0.0
1035,1.0,,1.0,0.0
1036,0.0,0.0,0.0,0.0
1037,0.0,1.0,0.5,0.5
1038,2.0,,2.0,0.0
1039,1.0,2.0,1.5,0.5
1040,0.0,1.0,0.5,0.5
1041,0.0,0.0,0.0,0.0
1042,11.0,0.0,5.5,5.5
1043,10.0,,10.0,0.0
1044,9.76,0.0,4.88,4.88
1046,8.0,,8.0,0.0
1047,8.0,0.0,4.0,4.0
1050,9.76,12.0,10.879999999999999,1.12
1051,9.06,13.0,11.030000000000001,1.9699999999999998
1052,10.44,12.0,11.219999999999999,0.7800000000000004
1053,8.54,12.0,10.27,1.7300000000000004
1054,7.69,9.0,8.345,0.6549999999999998
1055,7.53,,7.53,0.0
1057,0.0,,0.0,0.0
1058,0.0,9.0,4.5,4.5
1059,0.0,7.0,3.5,3.5
1060,0.0,8.0,4.0,4.0
1061,0.0,9.0,4.5,4.5
1063,0.0,,0.0,0.0
1064,1.0,9.48,5.24,4.24
1065,0.0,9.84,4.92,4.92
1066,0.0,8.32,4.16,4.16
1067,0.0,10.17,5.085,5.085
1068,1.0,8.1,4.55,3.55
1071,0.0,9.530000000000001,4.765000000000001,4.765000000000001
1072,12.0,7.51,9.754999999999999,2.245
1074,10.0,,10.0,0.0
1075,14.0,8.45,11.225,2.7750000000000004
1077,9.0,0.0,4.5,4.5
1078,9.0,0.0,4.5,4.5
1079,10.0,,10.0,0.0
1080,9.0,1.0,5.0,4.0
1081,8.0,1.0,4.5,3.5
1083,9.9,1.0,5.45,4.45
1084,9.9,2.49,6.195,3.705
1086,10.97,2.0,6.485,4.485
1088,8.379999999999999,,8.379999999999999,0.0
1090,0.0,0.0,0.0,0.0
1092,0.0,15.0,7.5,7.5
1095,3.0,10.0,6.5,3.5
1096,0.0,11.0,5.5,5.5
1097,1.0,11.0,6.0,5.0
1098,0.0,8.0,4.0,4.0
1099,1.0,,1.0,0.0
1100,0.0,12.24,6.12,6.12
1104,0.0,14.69,7.345,7.345
1105,13.0,27.11,20.055,7.055
1111,12.0,,12.0,0.0
1113,7.0,,7.0,0.0
1114,11.0,0.0,5.5,5.5
1115,11.8,0.0,5.9,5.9
1116,12.78,0.0,6.39,6.39
1118,6.99,,6.99,0.0
1119,6.79,0.0,3.395,3.395
1121,6.9,13.0,9.95,3.05
1123,0.0,12.0,6.0,6.0
1124,0.0,15.0,7.5,7.5
1125,1.0,12.0,6.5,5.5
1126,3.0,,3.0,0.0
1127,4.0,,4.0,0.0
1129,1.0,8.7,4.85,3.8499999999999996
1130,0.0,,0.0,0.0
1131,13.0,9.02,11.01,1.9900000000000002
1133,0.0,10.45,5.225,5.225
1134,0.0,10.77,5.385,5.385
1135,12.0,,12.0,0.0
1136,12.0,9.41,10.705,1.295
1137,12.0,9.98,10.99,1.0099999999999998
1139,12.0,9.42,10.71,1.29
1140,11.0,,11.0,0.0
1141,8.0,,8.0,0.0
1142,9.0,9.0,9.0,0.0
1143,8.0,7.44,7.720000000000001,0.2799999999999998
1144,8.0,,8.0,0.0
1148,5.0,0.0,2.5,2.5
1150,9.29,0.0,4.645,4.645
1151,8.77,0.0,4.385,4.385
1153,7.86,0.0,3.93,3.93
1154,9.31,0.0,4.655,4.655
1155,7.15,12.0,9.575,2.425
1157,0.0,,0.0,0.0
1159,2.0,8.0,5.0,3.0
1161,4.0,10.3,7.15,3.1500000000000004
1163,2.0,10.63,6.315,4.315
1164,2.0,11.7,6.85,4.85
1166,2.0,10.11,6.055,4.055
1167,0.0,10.0,5.0,5.0
1168,2.0,9.54,5.77,3.7699999999999996
1169,1.0,8.79,4.895,3.8949999999999996
1170,12.0,9.21,10.605,1.3949999999999996
1171,12.0,2.0,7.0,5.0
1173,12.0,,12.0,0.0
1175,9.0,0.0,4.5,4.5
1176,12.0,,12.0,0.0
1177,9.0,0.0,4.5,4.5
1179,8.0,,8.0,0.0
1180,6.0,12.0,9.0,3.0
1181,6.1,12.0,9.05,2.95
1182,3.82,13.0,8.41,4.59
1183,8.28,11.0,9.64,1.3600000000000003
1184,7.49,11.0,9.245000000000001,1.755
1186,5.66,,5.66,0.0
1190,1.0,12.0,6.5,5.5
1191,2.0,11.0,6.5,4.5
1192,0.0,,0.0,0.0
1193,3.0,7.0,5.0,2.0
1194,3.0,9.0,6.0,3.0
1195,0.0,,0.0,0.0
1196,2.0,9.93,5.965,3.965
1197,0.0,11.2,5.6,5.6
1198,2.0,10.66,6.33,4.33
1200,1.0,,1.0,0.0
1201,0.0,9.68,4.84,4.84
1203,1.0,10.49,5.745,4.745
1204,1.0,10.84,5.92,4.92
1205,0.0,25.87,12.935,12.935
1206,12.0,1.0,6.5,5.5
1207,12.0,0.0,6.0,6.0
1208,9.0,1.0,5.0,4.0
1209,9.0,2.0,5.5,3.5
1210,10.0,0.0,5.0,5.0
1211,10.0,0.0,5.0,5.0
1213,5.0,2.0,3.5,1.5
1214,5.0,0.0,2.5,2.5
1215,2.0,,2.0,0.0
1216,6.12,0.0,3.06,3.06
1218,2.68,0.0,1.34,1.34
1220,4.32,,4.32,0.0
1221,0.0,,0.0,0.0
1222,1.0,1.0,1.0,0.0
1223,1.0,0.0,0.5,0.5
1224,2.0,13.0,7.5,5.5
1225,0.0,14.0,7.0,7.0
1226,0.0,,0.0,0.0
1227,0.0,,0.0,0.0
1228,2.0,12.0,7.0,5.0
1229,0.0,10.0,5.0,5.0
1231,0.0,9.0,4.5,4.5
1232,0.0,11.84,5.92,5.920000000000001
1233,0.0,9.95,4.975,4.975
1234,12.0,,12.0,0.0
1236,10.0,10.9,10.45,0.4500000000000002
1237,10.0,10.98,10.49,0.4900000000000002
1239,9.0,11.52,10.26,1.2599999999999998
1240,8.0,22.84,15.42,7.42
1241,11.0,21.45,16.225,5.225
1243,10.1,0.0,5.05,5.05
1244,11.74,,11.74,0.0
1245,10.94,0.0,5.47,5.47
1246,10.24,0.0,5.12,5.12
1247,9.29,2.0,5.645,3.6449999999999996
1248,10.67,,10.67,0.0
1249,11.62,1.0,6.31,5.31
1250,11.03,,11.03,0.0
1251,12.02,2.0,7.01,5.01
1252,9.7,0.0,4.85,4.85
1253,9.44,0.0,4.72,4.72
1254,9.3,0.0,4.65,4.65
1256,22.38,1.0,11.69,10.69
1257,21.93,1.0,11.465,10.465
1258,23.63,0.0,11.815,11.815
1259,0.0,1.0,0.5,0.5
1260,0.0,1.0,0.5,0.5
1261,0.0,12.0,6.0,6.0
1262,0.0,11.0,5.5,5.5
1264,0.0,,0.0,0.0
1265,0.0,,0.0,0.0
1266,0.0,,0.0,0.0
1267,0.0,8.0,4.0,4.0
1268,0.0,7.0,3.5,3.5
1270,1.0,10.51,5.755,4.755
1271,0.0,10.94,5.47,5.47
1272,10.0,,10.0,0.0
1274,10.0,,10.0,0.0
1276,10.32,2.0,6.16,4.16
1277,9.23,,9.23,0.0
1278,6.89,0.0,3.445,3.445
1280,10.12,0.0,5.06,5.06
1281,11.05,0.0,5.525,5.525
1282,10.22,0.0,5.11,5.11
1284,10.46,,10.46,0.0
1285,12.97,,12.97,0.0
1286,13.13,0.0,6.565,6.565
1287,11.58,,11.58,0.0
1291,24.06,,24.06,0.0
1292,23.95,11.0,17.475,6.475
1293,9.6,11.0,10.3,0.7000000000000002
1296,3.0,8.0,5.5,2.5
1297,0.0,10.0,5.0,5.0
1299,3.0,,3.0,0.0
1300,2.0,10.0,6.0,4.0
1302,2.0,7.0,4.5,2.5
1303,1.0,,1.0,0.0
1304,0.0,,0.0,0.0
1305,1.0,8.0,4.5,3.5
1306,1.0,11.99,6.495,5.495
1307,1.0,9.32,5.16,4.16
1308,0.0,11.68,5.84,5.84
1309,1.0,10.42,5.71,4.71
1310,14.0,9.4,11.7,2.3
1311,13.0,,13.0,0.0
1312,12.0,10.98,11.49,0.5099999999999998
1313,12.0,23.71,17.855,5.855
1314,12.0,,12.0,0.0
1316,10.0,1.0,5.5,4.5
1317,6.0,,6.0,0.0
1318,8.66,1.0,4.83,3.83
1319,10.12,,10.12,0.0
1320,8.71,1.0,4.855,3.8550000000000004
1321,8.51,1.0,4.755,3.755
1322,7.28,1.0,4.140000000000001,3.14
1323,7.22,2.0,4.609999999999999,2.61
1324,1.0,0.0,0.5,0.5
1325,0.0,1.1,0.55,0.55
1326,1.0,0.0,0.5,0.5
1327,0.0,1.0,0.5,0.5
1328,1.0,,1.0,0.0
1329,2.0,13.0,7.5,5.5
1330,1.0,,1.0,0.0
1332,2.0,,2.0,0.0
1333,1.51,9.0,5.255,3.745
1334,0.0,8.0,4.0,4.0
1336,15.0,7.65,11.325,3.675
1337,0.0,7.29,3.645,3.645
1338,0.0,7.97,3.985,3.985
1340,13.0,7.62,10.31,2.69
1341,12.0,7.48,9.74,2.26
1342,13.0,8.15,10.575,2.425
1344,13.0,,13.0,0.0
1345,13.0,,13.0,0.0
1346,11.0,2.0,6.5,4.5
1348,11.0,,11.0,0.0
1349,9.0,1.0,5.0,4.0
1350,9.0,1.0,5.0,4.0
1351,11.0,0.0,5.5,5.5
1352,9.0,10.0,9.5,0.5
1353,8.0,11.0,9.5,1.5
1354,10.0,,10.0,0.0
1356,9.25,11.0,10.125,0.875
1357,9.91,,9.91,0.0
1358,9.01,,9.01,0.0
1359,9.5,,9.5,0.0
1360,8.98,,8.98,0.0
1361,0.0,,0.0,0.0
1362,2.0,7.44,4.720000000000001,2.72
1364,0.0,6.35,3.175,3.175
