,liq_100,liq_101
0,1.0,0.0
1,4.0,0.0
2,5.0,0.0
3,7.0,1.0
4,9.0,2.0
5,11.0,2.0
6,15.0,3.0
7,14.0,5.0
8,12.0,4.0
9,11.0,1.0
10,7.0,1.0
11,6.0,1.0
12,3.0,1.0
13,2.0,2.0
14,0.0,5.0
15,2.0,3.0
16,2.0,3.0
17,5.0,3.0
18,4.0,2.0
19,6.0,3.0
20,7.0,3.0
21,7.0,3.0
22,7.0,4.0
23,8.0,5.0
24,8.0,7.0
25,8.0,8.0
26,9.0,8.0
27,10.0,8.0
28,12.0,9.0
29,12.0,11.0
30,13.0,11.0
31,9.0,9.0
32,7.0,9.0
33,8.0,7.0
34,8.0,6.0
35,7.0,4.0
36,4.0,2.0
37,2.0,1.0
38,2.0,2.0
39,2.0,2.0
40,1.0,0.0
41,1.0,1.0
42,0.0,2.0
43,0.0,3.0
44,1.0,4.0
45,2.0,6.0
46,2.0,6.0
47,4.0,8.0
48,5.0,9.0
49,6.0,11.0
50,7.0,12.0
51,7.0,14.0
52,8.0,17.0
53,9.0,17.0
54,10.0,19.0
55,9.0,15.0
56,7.0,14.0
57,7.0,14.0
58,6.0,13.0
59,5.0,12.0
60,6.0,10.0
61,1.0,10.0
62,0.0,7.0
63,1.0,3.0
64,1.0,2.0
65,1.0,2.0
66,1.0,1.0
67,2.0,1.0
68,4.0,4.0
69,4.0,6.0
70,5.0,8.0
71,5.0,9.0
72,5.0,9.0
73,6.0,9.0
74,6.0,10.0
75,8.0,10.0
76,8.0,11.0
77,8.0,12.0
78,10.0,12.0
79,9.0,9.0
80,9.0,6.0
81,9.0,7.0
82,10.0,5.0
83,8.0,5.0
84,4.0,6.0
85,1.0,6.0
86,2.0,6.0
87,5.0,6.0
88,5.0,7.0
89,3.0,5.0
90,1.0,4.0
91,2.0,4.0
92,3.0,4.0
93,4.0,4.0
94,5.0,4.0
95,7.0,4.0
96,7.0,5.0
97,7.0,5.0
98,8.0,7.0
99,9.0,8.0
100,9.0,10.0
101,10.0,14.0
102,11.0,14.0
103,9.0,9.0
104,8.0,11.0
105,7.0,12.0
106,5.0,11.0
107,5.0,8.0
108,8.0,5.0
109,6.0,6.0
110,5.0,3.0
111,4.0,2.0
112,4.0,1.0
113,3.0,4.0
114,3.0,4.0
115,3.0,6.0
116,4.0,6.0
117,5.0,8.0
118,8.0,9.0
119,8.0,10.0
120,10.0,11.0
121,12.0,13.0
122,12.0,14.0
123,13.0,14.0
124,14.0,14.0
125,15.0,16.0
126,15.0,17.0
127,11.0,16.0
128,9.0,14.0
129,8.0,13.0
130,8.0,11.0
131,5.0,11.0
132,4.0,11.0
133,2.0,7.0
134,1.0,6.0
135,3.0,3.0
136,4.0,3.0
137,3.0,1.0
138,6.0,1.0
139,6.0,3.0
140,6.0,5.0
141,8.0,6.0
142,9.0,8.0
143,9.0,9.0
144,10.0,10.0
145,10.0,10.0
146,12.0,10.0
147,13.0,11.0
148,16.0,13.0
149,17.0,15.0
150,19.0,16.0
151,16.0,12.0
152,17.0,11.0
153,15.0,11.0
154,12.0,11.0
155,9.0,9.0
156,9.0,7.0
157,9.0,4.0
158,6.0,3.0
159,3.0,2.0
160,2.0,2.0
161,3.0,2.0
162,5.0,3.0
163,5.0,3.0
164,7.0,4.0
165,8.0,8.0
166,10.0,11.0
167,10.0,12.0
168,10.0,13.0
169,13.0,16.0
170,13.0,16.0
171,13.0,16.0
172,13.0,16.0
173,15.0,18.0
174,16.0,18.0
175,11.0,15.0
176,7.0,16.0
177,6.0,15.0
178,6.0,11.0
179,6.0,9.0
180,5.0,9.0
181,5.0,7.0
182,2.0,6.0
183,2.0,3.0
184,3.0,4.0
185,4.0,6.0
186,4.0,6.0
187,5.0,6.0
188,5.0,6.0
189,6.0,6.0
190,7.0,7.0
191,9.0,7.0
192,10.0,7.0
193,11.0,8.0
194,12.0,9.0
195,14.0,9.0
196,17.0,9.0
197,17.0,9.0
198,18.0,9.0
199,13.0,9.0
200,12.0,8.0
201,12.0,6.0
202,12.0,3.0
203,13.0,3.0
204,13.0,4.0
205,11.0,4.0
206,7.0,4.0
207,6.0,2.0
208,3.0,3.0
209,2.0,6.0
210,0.0,5.0
211,0.0,8.0
212,0.0,10.0
213,0.0,12.0
214,2.0,14.0
215,3.0,16.0
216,3.0,17.0
217,5.0,17.0
218,5.0,17.0
219,6.0,17.0
220,7.0,18.0
221,8.0,18.0
222,8.0,18.0
223,7.0,14.0
224,6.0,10.0
225,9.0,9.0
226,9.0,10.0
227,9.0,10.0
228,8.0,11.0
229,8.0,8.0
230,5.0,8.0
231,4.0,7.0
232,4.0,2.0
233,3.0,1.0
234,1.0,0.0
235,1.0,2.0
236,2.0,3.0
237,2.0,3.0
238,2.0,3.0
239,2.0,3.0
240,4.0,3.0
241,5.0,4.0
242,5.0,5.0
243,7.0,6.0
244,7.0,7.0
245,7.0,8.0
246,9.0,10.0
247,8.0,9.0
248,12.0,8.0
249,12.0,8.0
250,12.0,8.0
251,10.0,12.0
252,8.0,12.0
253,5.0,11.0
254,4.0,8.0
255,4.0,6.0
256,3.0,4.0
257,1.0,5.0
258,2.0,4.0
259,5.0,5.0
260,6.0,5.0
261,7.0,8.0
262,7.0,9.0
263,9.0,10.0
264,11.0,11.0
265,11.0,11.0
266,12.0,11.0
267,13.0,11.0
268,14.0,13.0
269,14.0,14.0
270,15.0,15.0
271,10.0,10.0
272,8.0,11.0
273,8.0,10.0
274,9.0,8.0
275,7.0,7.0
276,8.0,4.0
277,8.0,4.0
278,8.0,5.0
279,5.0,3.0
280,3.0,1.0
281,4.0,2.0
282,3.0,2.0
283,5.0,5.0
284,5.0,6.0
285,6.0,7.0
286,6.0,7.0
287,6.0,11.0
288,6.0,11.0
289,8.0,12.0
290,9.0,12.0
291,9.0,12.0
292,9.0,14.0
293,9.0,15.0
294,10.0,16.0
295,7.0,14.0
296,7.0,14.0
297,7.0,14.0
298,7.0,12.0
299,6.0,9.0
300,8.0,5.0
301,8.0,4.0
302,5.0,3.0
303,3.0,1.0
304,1.0,1.0
305,3.0,3.0
306,4.0,3.0
307,4.0,3.0
308,7.0,4.0
309,10.0,5.0
310,10.0,5.0
311,14.0,5.0
312,14.0,5.0
313,15.0,7.0
314,16.0,8.0
315,16.0,9.0
316,18.0,9.0
317,19.0,11.0
318,20.0,12.0
319,13.0,9.0
320,11.0,11.0
321,12.0,12.0
322,11.0,10.0
323,12.0,9.0
324,10.0,8.0
325,9.0,6.0
326,6.0,5.0
327,6.0,4.0
328,3.0,1.0
329,4.0,1.0
330,4.0,1.0
331,5.0,3.0
332,5.0,3.0
333,7.0,5.0
334,7.0,8.0
335,8.0,8.0
336,9.0,8.0
337,12.0,10.0
338,12.0,10.0
339,13.0,11.0
340,14.0,14.0
341,15.0,16.0
342,18.0,17.0
343,14.0,12.0
344,14.0,10.0
345,15.0,9.0
346,13.0,9.0
347,11.0,8.0
348,11.0,7.0
349,9.0,7.0
350,10.0,5.0
351,9.0,5.0
352,6.0,4.0
353,6.0,5.0
354,4.0,4.0
355,4.0,4.0
356,6.0,4.0
357,9.0,5.0
358,10.0,7.0
359,12.0,7.0
360,13.0,9.0
361,14.0,11.0
362,16.0,12.0
363,16.0,12.0
364,16.0,13.0
365,16.0,13.0
366,18.0,14.0
367,16.0,12.0
368,16.0,12.0
369,16.0,13.0
370,14.0,13.0
371,10.0,11.0
372,9.0,10.0
373,11.0,7.0
374,10.0,6.0
375,9.0,3.0
376,9.0,1.0
377,7.0,4.0
378,7.0,3.0
379,7.0,4.0
380,10.0,4.0
381,10.0,5.0
382,12.0,6.0
383,13.0,7.0
384,13.0,8.0
385,14.0,10.0
386,15.0,10.0
387,18.0,10.0
388,18.0,10.0
389,19.0,12.0
390,19.0,12.0
391,13.0,8.0
392,13.0,8.0
393,12.0,8.0
394,12.0,7.0
395,12.0,7.0
396,15.0,7.0
397,13.0,4.0
398,13.0,3.0
399,12.0,2.0
400,11.0,4.0
401,8.0,6.0
402,6.0,6.0
403,6.0,8.0
404,8.0,10.0
405,9.0,11.0
406,9.0,11.0
407,9.0,12.0
408,9.0,13.0
409,9.0,13.0
410,9.0,13.0
411,12.0,14.0
412,12.0,14.0
413,12.0,14.0
414,12.0,14.0
415,11.0,9.0
416,9.0,8.0
417,5.0,6.0
418,5.0,4.0
419,6.0,3.0
420,7.0,2.0
421,6.0,1.0
422,3.0,5.0
423,1.0,5.0
424,0.0,3.0
425,4.0,2.0
426,6.0,1.0
427,8.0,3.0
428,8.0,5.0
429,9.0,5.0
430,10.0,5.0
431,10.0,7.0
432,12.0,9.0
433,15.0,10.0
434,15.0,10.0
435,17.0,10.0
436,18.0,11.0
437,18.0,13.0
438,18.0,14.0
439,16.0,10.0
440,15.0,10.0
441,13.0,11.0
442,14.0,9.0
443,12.0,9.0
444,8.0,6.0
445,6.0,6.0
446,6.0,5.0
447,7.0,5.0
448,5.0,5.0
