,Anchorage_100,Anchorage_101,Anchorage_102,Anchorage_103,mean,std
1000,0.0,,,,0.0,0.0
1011,0.0,,,,0.0,0.0
1015,11.0,,,,11.0,0.0
1048,4.94,,,,4.94,0.0
1051,4.34,,,,4.34,0.0
1054,0.0,,,,0.0,0.0
1059,0.0,,,,0.0,0.0
1062,1.0,,10.33,,5.665,4.665
1065,1.0,,,,1.0,0.0
1072,0.0,,,,0.0,0.0
1073,9.0,,,,9.0,0.0
1080,7.53,,,,7.53,0.0
1108,0.0,,0.0,8.92,2.973333333333333,4.204928325456003
1118,5.82,,,,5.82,0.0
1131,0.0,,,,0.0,0.0
1134,2.0,,,,2.0,0.0
1141,0.0,,,,0.0,0.0
1146,8.0,,0.0,,4.0,4.0
1178,5.32,,0.0,,2.66,2.66
1215,9.73,5.27,,,7.5,2.2300000000000004
1217,3.0,,,,3.0,0.0
1220,1.0,,,,1.0,0.0
1226,1.0,,,,1.0,0.0
1235,10.0,,,,10.0,0.0
1237,0.0,11.0,,,5.5,5.5
1239,10.4,,,,10.4,0.0
1248,9.24,,,,9.24,0.0
1269,5.85,,,,5.85,0.0
1294,0.0,11.56,,,5.78,5.78
1296,0.0,,,0.0,0.0,0.0
1340,0.0,,,,0.0,0.0
1354,4.0,,,,4.0,0.0
1374,0.0,,,,0.0,0.0
1376,1.0,,,,1.0,0.0
1383,0.0,,,,0.0,0.0
1389,14.0,,,,14.0,0.0
1396,11.0,,8.78,,9.89,1.1100000000000003
1402,0.0,,,,0.0,0.0
1411,11.73,,,,11.73,0.0
1415,11.58,,,,11.58,0.0
1424,10.61,,4.0,,7.305,3.3049999999999997
1441,0.0,,0.0,,0.0,0.0
1468,13.74,,11.0,,12.370000000000001,1.37
1469,15.72,,,,15.72,0.0
1475,30.51,,,,30.51,0.0
1488,32.19,0.0,,,16.095,16.095
1509,0.0,,,25.76,12.88,12.88
1514,3.0,11.0,,28.43,14.143333333333333,10.617018832463701
1518,12.0,,,,12.0,0.0
1541,33.13,,13.39,,23.26,9.870000000000001
1556,0.0,,,,0.0,0.0
1562,0.0,,,,0.0,0.0
1569,0.0,,26.75,,13.375,13.375
1616,36.05,,,,36.05,0.0
1619,36.14,,,,36.14,0.0
1634,0.0,,,,0.0,0.0
1641,2.0,,,,2.0,0.0
1681,33.42,,,0.0,16.71,16.71
1730,0.0,2.0,1.0,,1.0,0.816496580927726
1734,38.26,,,,38.26,0.0
1738,37.47,,,34.9,36.185,1.2850000000000001
1759,2.0,,,,2.0,0.0
1793,0.0,,,,0.0,0.0
1794,1.0,,,,1.0,0.0
1797,2.0,,,,2.0,0.0
1813,34.16,,,,34.16,0.0
1824,0.0,,,0.0,0.0,0.0
1825,1.0,3.0,,,2.0,1.0
1831,0.0,,,,0.0,0.0
1857,0.0,2.0,,,1.0,1.0
1859,2.0,,,,2.0,0.0
1879,51.91,,,,51.91,0.0
1903,35.58,,,,35.58,0.0
1923,0.0,,0.0,,0.0,0.0
1952,12.0,,,,12.0,0.0
2000,28.69,,,,28.69,0.0
2012,1.0,,,,1.0,0.0
2019,1.0,,,,1.0,0.0
2034,34.8,,,,34.8,0.0
2039,0.0,,,,0.0,0.0
2063,30.05,,,0.0,15.025,15.025
2067,0.0,,,,0.0,0.0
2082,11.0,,,,11.0,0.0
2095,32.03,,,,32.03,0.0
2096,31.1,,,,31.1,0.0
2098,30.63,,,,30.63,0.0
2144,14.0,,,,14.0,0.0
2183,31.38,,,,31.38,0.0
2191,31.56,,,,31.56,0.0
2211,13.0,,,,13.0,0.0
2213,18.26,,,,18.26,0.0
2223,31.73,,,,31.73,0.0
2228,31.67,,,,31.67,0.0
2232,2.0,,,,2.0,0.0
2233,0.0,,0.0,,0.0,0.0
2234,2.0,,,,2.0,0.0
2268,12.0,,,0.0,6.0,6.0
2269,4.63,,,,4.63,0.0
2297,16.09,8.0,,,12.045,4.045
2305,30.2,,,,30.2,0.0
