,Turn_100,Turn_101,Turn_102,Turn_103,mean,std
1000,27.44999999999993,,,,27.44999999999993,0.0
1011,52.68000000000006,,,,52.68000000000006,0.0
1015,65.10000000000002,,,,65.10000000000002,0.0
1048,34.13,,,,34.13,0.0
1051,35.51999999999998,,,,35.51999999999998,0.0
1054,30.81000000000006,,,,30.81000000000006,0.0
1059,51.31999999999994,,,,51.31999999999994,0.0
1062,23.86000000000001,,35.48000000000002,,29.670000000000016,5.810000000000004
1065,31.89999999999998,,,,31.89999999999998,0.0
1072,16.72000000000003,,,,16.72000000000003,0.0
1073,20.90999999999997,,,,20.90999999999997,0.0
1080,40.0,,,,40.0,0.0
1108,17.57000000000005,,34.89999999999998,35.23000000000002,29.23333333333335,8.248322388354
1118,29.32000000000005,,,,29.32000000000005,0.0
1131,9.590000000000032,,,,9.590000000000032,0.0
1134,21.02999999999997,,,,21.02999999999997,0.0
1141,15.92000000000007,,,,15.92000000000007,0.0
1146,35.44999999999993,,16.96000000000004,,26.204999999999984,9.244999999999946
1178,35.21000000000004,,25.40999999999997,,30.31000000000001,4.900000000000036
1215,34.75,40.4799999999999,,,37.61499999999995,2.864999999999949
1217,33.3900000000001,,,,33.3900000000001,0.0
1220,51.78000000000009,,,,51.78000000000009,0.0
1226,30.0200000000001,,,,30.0200000000001,0.0
1235,61.5,,,,61.5,0.0
1237,26.21000000000004,41.33000000000004,,,33.77000000000004,7.5600000000000005
1239,38.38,,,,38.38,0.0
1248,56.02999999999997,,,,56.02999999999997,0.0
1269,56.49000000000001,,,,56.49000000000001,0.0
1294,26.31999999999994,22.59000000000015,,,24.455000000000044,1.8649999999998954
1296,50.19000000000005,,,18.69000000000005,34.44000000000005,15.749999999999998
1340,44.29999999999995,,,,44.29999999999995,0.0
1354,39.69000000000005,,,,39.69000000000005,0.0
1374,27.0,,,,27.0,0.0
1376,22.35000000000014,,,,22.35000000000014,0.0
1383,28.38999999999987,,,,28.38999999999987,0.0
1389,24.03999999999996,,,,24.03999999999996,0.0
1396,43.46000000000004,,33.31999999999994,,38.38999999999999,5.07000000000005
1402,25.72000000000003,,,,25.72000000000003,0.0
1411,37.0300000000002,,,,37.0300000000002,0.0
1415,187.47,,,,187.47,0.0
1424,212.04,,59.19999999999982,,135.6199999999999,76.42000000000009
1441,29.72000000000003,,9.840000000000146,,19.780000000000086,9.939999999999943
1468,62.35000000000014,,46.37000000000012,,54.36000000000013,7.990000000000013
1469,159.3100000000002,,,,159.3100000000002,0.0
1475,110.0,,,,110.0,0.0
1488,186.02,53.97000000000003,,,119.99500000000002,66.02499999999999
1509,10.61999999999989,,,86.09999999999991,48.3599999999999,37.74000000000001
1514,31.4699999999998,163.8199999999999,,110.49,101.92666666666656,54.3698975128293
1518,186.3999999999999,,,,186.3999999999999,0.0
1541,58.27999999999997,,36.5,,47.389999999999986,10.889999999999986
1556,36.43000000000006,,,,36.43000000000006,0.0
1562,47.40000000000009,,,,47.40000000000009,0.0
1569,52.81999999999994,,81.70000000000005,,67.25999999999999,14.440000000000051
1616,93.43000000000006,,,,93.43000000000006,0.0
1619,103.97,,,,103.97,0.0
1634,51.83000000000015,,,,51.83000000000015,0.0
1641,46.16999999999985,,,,46.16999999999985,0.0
1681,60.84999999999991,,,27.81000000000017,44.33000000000004,16.51999999999987
1730,65.73000000000002,35.10000000000014,52.80999999999995,,51.21333333333337,12.55550963610083
1734,65.7800000000002,,,,65.7800000000002,0.0
1738,87.91000000000008,,,107.6000000000001,97.75500000000008,9.845000000000006
1759,50.25,,,,50.25,0.0
1793,51.24000000000001,,,,51.24000000000001,0.0
1794,55.77999999999997,,,,55.77999999999997,0.0
1797,32.11999999999989,,,,32.11999999999989,0.0
1813,47.19000000000005,,,,47.19000000000005,0.0
1824,28.48000000000002,,,25.3900000000001,26.93500000000006,1.5449999999999608
1825,31.45000000000005,59.57999999999993,,,45.514999999999986,14.064999999999939
1831,23.29999999999995,,,,23.29999999999995,0.0
1857,30.5,54.99000000000001,,,42.745000000000005,12.245000000000005
1859,53.25,,,,53.25,0.0
1879,103.1600000000001,,,,103.1600000000001,0.0
1903,96.04000000000019,,,,96.04000000000019,0.0
1923,24.77999999999997,,50.52999999999997,,37.65499999999997,12.875000000000002
1952,70.00999999999999,,,,70.00999999999999,0.0
2000,65.25,,,,65.25,0.0
2012,76.22000000000003,,,,76.22000000000003,0.0
2019,27.73000000000002,,,,27.73000000000002,0.0
2034,85.15999999999985,,,,85.15999999999985,0.0
2039,79.69000000000005,,,,79.69000000000005,0.0
2063,57.3599999999999,,,13.40000000000009,35.379999999999995,21.979999999999905
2067,75.94000000000005,,,,75.94000000000005,0.0
2082,94.44000000000005,,,,94.44000000000005,0.0
2095,85.78999999999996,,,,85.78999999999996,0.0
2096,53.79999999999995,,,,53.79999999999995,0.0
2098,,,,,,
2144,48.25,,,,48.25,0.0
2183,84.18000000000006,,,,84.18000000000006,0.0
2191,108.0200000000002,,,,108.0200000000002,0.0
2211,47.86999999999989,,,,47.86999999999989,0.0
2213,63.02999999999997,,,,63.02999999999997,0.0
2223,105.1800000000001,,,,105.1800000000001,0.0
2228,105.27,,,,105.27,0.0
2232,78.91000000000008,,,,78.91000000000008,0.0
2233,73.65000000000009,,39.02999999999997,,56.34000000000003,17.31000000000006
2234,28.65999999999985,,,,28.65999999999985,0.0
2268,43.98000000000002,,,31.68000000000006,37.83000000000004,6.149999999999979
2269,20.86999999999989,,,,20.86999999999989,0.0
