,Anchorage_100,Anchorage_101,Anchorage_102,Anchorage_103,mean,std
1008,0.0,,,,0.0,0.0
1018,11.0,,,11.0,11.0,0.0
1020,9.0,,,,9.0,0.0
1030,1.0,,,,1.0,0.0
1031,0.0,,,,0.0,0.0
1033,0.0,,0.0,9.65,3.216666666666667,4.549053625633456
1053,0.0,,9.0,10.29,6.43,4.5770951486723535
1061,0.0,,,,0.0,0.0
1064,0.0,,,,0.0,0.0
1077,3.0,,,,3.0,0.0
1089,4.92,,,,4.92,0.0
1095,0.0,,,,0.0,0.0
1099,1.0,0.0,,,0.5,0.5
1103,0.0,,,,0.0,0.0
1105,0.0,8.0,,,4.0,4.0
1123,7.86,,0.0,,3.93,3.93
1132,1.0,,,,1.0,0.0
1147,7.0,,,,7.0,0.0
1148,8.23,0.0,,5.0,4.41,3.3856855534243975
1152,0.0,,,,0.0,0.0
1157,2.0,,,,2.0,0.0
1173,6.36,,,,6.36,0.0
1182,0.0,,,,0.0,0.0
1188,1.0,,,,1.0,0.0
1189,0.0,,,,0.0,0.0
1191,1.0,,9.0,9.16,6.386666666666667,3.809508571398095
1197,11.0,,,,11.0,0.0
1206,11.0,,,,11.0,0.0
1208,11.49,,,,11.49,0.0
1209,8.99,8.0,,,8.495000000000001,0.4950000000000001
1222,3.32,,7.29,,5.305,1.985
1236,7.0,,,,7.0,0.0
1238,8.42,,,11.0,9.71,1.29
1253,0.0,,,,0.0,0.0
1254,0.0,,,,0.0,0.0
1264,7.0,,,,7.0,0.0
1265,5.0,,,,5.0,0.0
1272,1.0,,,8.59,4.795,3.795
1275,0.0,,,,0.0,0.0
1278,0.0,,11.0,,5.5,5.5
1291,0.0,10.6,,,5.3,5.3
1292,0.0,10.7,10.65,,7.116666666666667,5.032284658968418
1302,11.0,6.74,,,8.870000000000001,2.13
1308,10.0,,,,10.0,0.0
1312,7.0,2.0,,,4.5,2.5
1329,8.35,,,,8.35,0.0
1337,0.0,5.0,11.96,,5.653333333333333,4.9044560237491055
1342,12.0,,,8.9,10.45,1.5499999999999998
1349,5.0,,,,5.0,0.0
1361,3.0,,,,3.0,0.0
1366,1.0,,,8.58,4.79,3.79
1367,1.0,,,7.37,4.1850000000000005,3.185
1369,1.0,,,0.0,0.5,0.5
1370,0.0,,,,0.0,0.0
1377,1.0,,14.0,,7.5,6.5
1392,14.0,,,,14.0,0.0
1398,10.0,,,,10.0,0.0
1406,10.0,,,,10.0,0.0
1409,9.0,,,,9.0,0.0
1422,10.24,,,,10.24,0.0
1423,10.72,,,,10.72,0.0
1426,11.8,,,,11.8,0.0
1430,27.51,,,,27.51,0.0
1437,4.54,,,,4.54,0.0
1448,0.94,12.0,,,6.47,5.53
1453,14.67,,,,14.67,0.0
1458,14.97,,,,14.97,0.0
1477,28.99,,7.0,,17.994999999999997,10.995
1484,8.65,,,,8.65,0.0
1492,6.05,,,,6.05,0.0
1497,7.63,,,,7.63,0.0
1500,6.88,,,,6.88,0.0
1506,2.08,,,,2.08,0.0
1507,1.96,,,,1.96,0.0
1515,0.0,20.49,,,10.245,10.245
1519,12.0,17.63,,8.629999999999999,12.753333333333332,3.712648051668183
1526,35.44,,0.0,,17.72,17.72
1529,15.93,,,20.55,18.240000000000002,2.3100000000000005
1531,14.36,,,,14.36,0.0
1535,14.83,14.73,,,14.780000000000001,0.04999999999999982
1537,15.29,,9.67,,12.48,2.8099999999999996
1539,14.2,,,,14.2,0.0
1544,12.7,,,,12.7,0.0
1545,25.85,,,,25.85,0.0
1566,18.14,,,,18.14,0.0
1570,24.86,,,,24.86,0.0
1581,21.24,,,,21.24,0.0
1582,21.67,,,,21.67,0.0
1585,20.03,,,,20.03,0.0
1599,15.79,,,,15.79,0.0
1608,13.45,,,,13.45,0.0
1609,34.19,,,45.41,39.8,5.609999999999999
1615,31.93,,,,31.93,0.0
1621,33.28,31.08,32.08,,32.14666666666667,0.8993825042154706
1630,29.37,,27.98,,28.675,0.6950000000000003
1631,45.04,,,,45.04,0.0
1636,44.39,,,,44.39,0.0
1647,26.52,,29.07,,27.795,1.2750000000000004
1650,39.37,,28.7,,34.035,5.334999999999999
1662,39.39,,,,39.39,0.0
1663,41.37,,,,41.37,0.0
1664,40.4,,,,40.4,0.0
1672,39.84,,,,39.84,0.0
1677,53.57,,,,53.57,0.0
1690,27.85,,,51.44,39.644999999999996,11.794999999999998
1696,34.57,,50.01,,42.29,7.719999999999999
1698,33.58,,34.4,,33.989999999999995,0.41000000000000014
1701,36.87,,,,36.87,0.0
1703,35.47,,,,35.47,0.0
1710,32.16,,,,32.16,0.0
1714,30.26,,,,30.26,0.0
1716,28.7,,,63.98,46.339999999999996,17.639999999999997
1717,41.42,,42.46,,41.94,0.5199999999999996
1718,27.46,,,63.39,45.425,17.965
1742,30.22,,,,30.22,0.0
1753,27.86,,37.94,,32.9,5.039999999999999
1765,20.0,,,,20.0,0.0
1770,18.9,,,,18.9,0.0
1774,27.92,15.71,,,21.815,6.105
1778,12.11,,,,12.11,0.0
1780,11.14,,,,11.14,0.0
1790,5.74,,,,5.74,0.0
1815,33.42,,,,33.42,0.0
1823,4.66,0.0,,,2.33,2.33
1839,31.63,33.37,20.25,,28.416666666666668,5.818231881097746
1848,33.73,,,,33.73,0.0
1849,1.0,28.89,,,14.945,13.945
1851,2.0,,,,2.0,0.0
1855,2.0,,,56.56,29.28,27.28
1858,3.36,,,,3.36,0.0
1861,0.85,,,57.58,29.215,28.365
1874,35.04,,,,35.04,0.0
1883,50.66,0.0,,,25.33,25.33
1886,0.0,,,,0.0,0.0
1892,4.0,,,,4.0,0.0
1893,0.0,,0.0,,0.0,0.0
1905,33.6,,33.88,,33.74,0.14000000000000057
1916,0.0,,,,0.0,0.0
1921,0.0,,,,0.0,0.0
1922,3.0,,5.0,,4.0,1.0
1933,31.57,,,,31.57,0.0
1934,32.56,,,,32.56,0.0
1937,15.97,,,,15.97,0.0
1943,2.76,,,,2.76,0.0
1947,1.0,1.0,,,1.0,0.0
1951,0.0,,,,0.0,0.0
1955,34.28,,0.0,,17.14,17.14
1956,33.61,,,,33.61,0.0
1972,0.0,,,,0.0,0.0
1975,2.99,,,,2.99,0.0
1978,1.65,0.0,,,0.825,0.825
1980,0.0,,7.28,,3.64,3.64
1981,14.0,,,30.68,22.34,8.34
1984,13.0,,,,13.0,0.0
1986,18.33,,,,18.33,0.0
1990,16.26,,,,16.26,0.0
1992,15.73,10.0,,,12.865,2.865
1995,14.6,,,22.23,18.415,3.8150000000000004
1997,14.27,,,18.1,16.185000000000002,1.915000000000001
2003,23.28,,,,23.28,0.0
2004,22.51,5.79,,,14.15,8.36
2008,26.02,,,,26.02,0.0
2015,23.08,0.0,0.0,23.19,11.567499999999999,11.567565376949464
2031,14.65,,,,14.65,0.0
2047,0.0,,,,0.0,0.0
2057,27.76,,,,27.76,0.0
2073,0.0,,1.0,33.67,11.556666666666667,15.641816461722797
2084,11.0,,,,11.0,0.0
2090,31.44,,,,31.44,0.0
2104,0.0,5.65,1.0,,2.216666666666667,2.4618195619410366
2108,17.44,,13.0,29.25,19.896666666666665,6.857698026467936
2110,18.22,,,,18.22,0.0
2111,19.74,,,,19.74,0.0
2116,29.35,,14.98,,22.165,7.1850000000000005
2121,30.99,7.0,,,18.994999999999997,11.995
2130,0.0,,,,0.0,0.0
2139,14.0,,,,14.0,0.0
2158,31.51,,,,31.51,0.0
2161,31.16,,,,31.16,0.0
2166,2.0,,,,2.0,0.0
2167,3.41,,,,3.41,0.0
2169,0.0,1.79,,,0.895,0.895
2172,1.0,,,19.2,10.1,9.1
2173,0.0,1.89,,,0.945,0.945
2185,28.87,,32.45,,30.660000000000004,1.790000000000001
2193,5.42,,,1.11,3.265,2.155
