,Dwell_100,Dwell_101,Dwell_102,Dwell_103,mean,std
1008,19.0,,,,19.0,0.0
1018,8.0,,,4.0,6.0,2.0
1020,30.0,,,,30.0,0.0
1030,29.0,,,,29.0,0.0
1031,24.0,,,,24.0,0.0
1033,28.0,,30.0,22.0,26.666666666666668,3.39934634239519
1053,24.0,,4.0,4.0,10.666666666666666,9.428090415820634
1061,20.0,,,,20.0,0.0
1064,42.0,,,,42.0,0.0
1077,4.0,,,,4.0,0.0
1089,25.0,,,,25.0,0.0
1095,27.0,,,,27.0,0.0
1099,22.0,19.0,,,20.5,1.5
1103,42.0,,,,42.0,0.0
1105,19.0,6.0,,,12.5,6.5
1123,20.0,,42.0,,31.0,11.0
1132,20.0,,,,20.0,0.0
1147,31.0,,,,31.0,0.0
1148,25.0,20.0,,4.0,16.333333333333332,8.956685895029603
1152,30.0,,,,30.0,0.0
1157,42.0,,,,42.0,0.0
1173,23.0,,,,23.0,0.0
1182,24.0,,,,24.0,0.0
1188,43.0,,,,43.0,0.0
1189,42.0,,,,42.0,0.0
1191,17.0,,30.0,21.0,22.666666666666668,5.436502143433364
1197,7.0,,,,7.0,0.0
1206,4.0,,,,4.0,0.0
1208,21.0,,,,21.0,0.0
1209,27.0,6.0,,,16.5,10.5
1222,41.0,,4.0,,22.5,18.5
1236,6.0,,,,6.0,0.0
1238,29.0,,,29.0,29.0,0.0
1253,26.0,,,,26.0,0.0
1254,19.0,,,,19.0,0.0
1264,31.0,,,,31.0,0.0
1265,8.0,,,,8.0,0.0
1272,26.0,,,24.0,25.0,1.0
1275,20.0,,,,20.0,0.0
1278,17.0,,31.0,,24.0,7.0
1291,4.0,23.0,,,13.5,9.5
1292,24.0,24.0,43.0,,30.333333333333332,8.956685895029603
1302,4.0,19.0,,,11.5,7.5
1308,30.0,,,,30.0,0.0
1312,4.0,18.0,,,11.0,7.0
1329,19.0,,,,19.0,0.0
1337,20.0,4.0,42.0,,22.0,15.57776192739723
1342,8.0,,,27.0,17.5,9.5
1349,8.0,,,,8.0,0.0
1361,4.0,,,,4.0,0.0
1366,4.0,,,21.0,12.5,8.5
1367,4.0,,,25.0,14.5,10.5
1369,4.0,,,25.0,14.5,10.5
1370,29.0,,,,29.0,0.0
1377,21.0,,30.0,,25.5,4.5
1392,25.0,,,,25.0,0.0
1398,4.0,,,,4.0,0.0
1406,7.0,,,,7.0,0.0
1409,7.0,,,,7.0,0.0
1422,20.0,,,,20.0,0.0
1423,20.0,,,,20.0,0.0
1426,18.0,,,,18.0,0.0
1430,4.0,,,,4.0,0.0
1437,20.0,,,,20.0,0.0
1448,20.0,7.0,,,13.5,6.5
1453,4.0,,,,4.0,0.0
1458,4.0,,,,4.0,0.0
1477,6.0,,4.0,,5.0,1.0
1484,21.0,,,,21.0,0.0
1492,22.0,,,,22.0,0.0
1497,43.0,,,,43.0,0.0
1500,18.0,,,,18.0,0.0
1506,24.0,,,,24.0,0.0
1507,25.0,,,,25.0,0.0
1515,20.0,43.0,,,31.5,11.5
1519,8.0,19.0,,43.0,23.333333333333332,14.613540144521982
1526,30.0,,43.0,,36.5,6.5
1529,19.0,,,29.0,24.0,5.0
1531,24.0,,,,24.0,0.0
1535,19.0,19.0,,,19.0,0.0
1537,20.0,,4.0,,12.0,8.0
1539,41.0,,,,41.0,0.0
1544,19.0,,,,19.0,0.0
1545,31.0,,,,31.0,0.0
1566,31.0,,,,31.0,0.0
1570,42.0,,,,42.0,0.0
1581,19.0,,,,19.0,0.0
1582,19.0,,,,19.0,0.0
1585,18.0,,,,18.0,0.0
1599,20.0,,,,20.0,0.0
1608,42.0,,,,42.0,0.0
1609,25.0,,,29.0,27.0,2.0
1615,21.0,,,,21.0,0.0
1621,42.0,18.0,4.0,,21.333333333333332,15.69146972791976
1630,21.0,,7.0,,14.0,7.0
1631,29.0,,,,29.0,0.0
1636,6.0,,,,6.0,0.0
1647,17.0,,25.0,,21.0,4.0
1650,7.0,,20.0,,13.5,6.5
1662,21.0,,,,21.0,0.0
1663,22.0,,,,22.0,0.0
1664,22.0,,,,22.0,0.0
1672,24.0,,,,24.0,0.0
1677,30.0,,,,30.0,0.0
1690,42.0,,,43.0,42.5,0.5
1696,4.0,,7.0,,5.5,1.5
1698,4.0,,21.0,,12.5,8.5
1701,25.0,,,,25.0,0.0
1703,21.0,,,,21.0,0.0
1710,21.0,,,,21.0,0.0
1714,19.0,,,,19.0,0.0
