,Anchorage_100,Anchorage_101,Anchorage_102,Anchorage_103,mean,std
1001,0.0,9.65,9.24,,6.296666666666667,4.4555608201686825
1002,0.0,9.78,,1.0,3.5933333333333333,4.3936418708047755
1003,0.0,10.55,1.0,0.0,2.8875,4.442743381065353
1004,1.0,8.15,,1.0,3.3833333333333333,3.3705423236558767
1005,1.0,8.97,,0.0,3.3233333333333337,4.013612947070119
1006,0.0,10.2,0.0,0.0,2.55,4.416729559300637
1007,0.0,,0.0,3.0,1.0,1.4142135623730951
1009,1.0,8.55,0.0,1.0,2.6375,3.437909066569388
1010,0.0,0.0,1.0,0.0,0.25,0.4330127018922193
1012,0.0,3.0,1.0,1.0,1.25,1.0897247358851685
1013,13.0,2.0,0.0,,5.0,5.715476066494082
1014,12.0,0.0,,0.0,4.0,5.656854249492381
1016,13.0,0.0,0.0,,4.333333333333333,6.128258770283412
1017,12.0,0.0,13.0,10.0,8.75,5.165994579942956
1019,12.0,11.0,0.0,11.0,8.5,4.924428900898052
1021,9.0,8.0,12.0,7.0,9.0,1.8708286933869707
1022,10.0,,12.0,11.0,11.0,0.816496580927726
1023,10.0,,10.0,11.06,10.353333333333333,0.49968879203849387
1024,9.0,6.0,,11.42,8.806666666666667,2.2169247970004653
1025,9.0,9.54,11.0,,9.846666666666666,0.8448010942753856
1026,9.6,9.38,9.0,,9.326666666666666,0.24783507060588134
1027,8.48,9.68,,11.61,9.923333333333334,1.2893495345414374
1028,8.58,,7.19,12.66,9.476666666666667,2.321383686989771
1029,6.43,,9.23,11.88,9.18,2.2252340700849134
1032,0.0,2.0,,9.71,3.9033333333333338,4.186329604266195
1034,1.0,1.0,,11.43,4.476666666666667,4.9167491518504605
1035,3.0,1.0,1.0,,1.6666666666666667,0.9428090415820634
1036,0.0,0.0,0.0,23.52,5.88,10.184458748504998
1037,0.0,,0.0,0.0,0.0,0.0
1038,0.0,11.0,0.0,2.0,3.25,4.548351349665063
1039,0.0,10.0,0.0,,3.3333333333333335,4.714045207910316
1040,12.0,,0.0,,6.0,6.0
1041,11.0,10.0,,0.0,7.0,4.96655480858378
1042,11.0,8.0,,1.0,6.666666666666667,4.189935029992179
1043,10.0,,0.0,0.0,3.3333333333333335,4.714045207910316
1044,10.0,10.0,0.0,,6.666666666666667,4.714045207910317
1045,4.0,8.0,0.0,12.0,6.0,4.47213595499958
1046,5.0,7.0,0.0,12.0,6.0,4.301162633521313
1047,5.21,8.0,12.0,10.0,8.8025,2.510382192017781
1049,5.41,8.440000000000001,11.0,9.0,8.4625,2.0028776173296263
1050,5.12,7.48,12.0,9.0,8.4,2.4962371682193982
1052,0.0,8.280000000000001,10.0,10.0,7.07,4.141823270010443
1055,0.0,6.85,,11.38,6.076666666666667,4.677936392137979
1056,2.0,0.0,9.0,11.26,5.5649999999999995,4.6880353027681005
1057,0.0,0.0,8.0,12.4,5.1,5.331978994707312
1058,1.0,2.0,8.0,10.53,5.3825,3.999864841466521
1060,0.0,0.0,10.69,11.32,5.5024999999999995,5.50700633284546
1063,1.0,,10.67,,5.835,4.835
1066,12.0,,10.51,11.32,11.276666666666666,0.609061208381847
1067,12.0,0.0,10.47,4.62,6.7725,4.782736533617548
1068,11.0,12.0,8.16,,10.386666666666667,1.6265573733775542
1069,10.0,11.0,9.15,22.35,13.125,5.366155513959692
1070,9.0,12.0,8.45,7.74,9.2975,1.6229660347647452
1071,10.0,12.0,7.09,7.47,9.14,1.9944046730791625
1074,9.0,11.0,19.96,,13.32,4.76565490427776
1075,6.0,10.0,19.81,,11.936666666666667,5.801840704083106
1076,5.0,8.0,0.0,13.0,6.5,4.716990566028302
1078,5.0,8.0,17.0,11.04,10.26,4.438783617163603
1079,6.25,9.0,17.44,9.02,10.427499999999998,4.20254312886852
1081,6.98,,,10.0,8.49,1.5099999999999998
1082,7.12,7.0,18.76,,10.96,5.515650460281182
1083,7.32,7.95,11.0,10.65,9.23,1.6152244426085187
1084,6.86,,9.0,9.74,8.533333333333333,1.2211833969100991
1085,6.64,8.870000000000001,,10.56,8.69,1.6053867654452207
1086,6.35,6.48,14.76,9.38,9.2425,3.408066717363379
1087,5.01,4.68,17.14,7.61,8.61,5.053854964282216
1088,7.19,2.0,9.0,,6.0633333333333335,2.9667078648824785
1090,0.0,1.0,,24.37,8.456666666666667,11.259829286252769
1091,0.0,0.0,,,0.0,0.0
1092,1.0,0.0,10.71,21.64,8.3375,8.745542793331927
1093,0.0,0.0,15.46,22.7,9.54,9.877438939320252
1094,1.0,0.0,10.76,0.0,2.94,4.533299019477979
1096,2.0,0.0,,1.0,1.0,0.816496580927726
1097,2.0,0.0,6.26,,2.7533333333333334,2.610559752662678
1098,1.0,0.0,,0.0,0.3333333333333333,0.4714045207910317
1100,0.0,1.0,,0.0,0.3333333333333333,0.4714045207910317
1101,0.0,13.9,7.95,0.0,5.4625,5.853564619101766
1102,0.0,12.0,5.81,0.0,4.4525,4.961276927364567
1104,0.0,9.0,,,4.5,4.5
1106,0.0,,20.97,7.38,9.45,8.68519429834474
1107,12.0,7.0,0.0,,6.333333333333333,4.9216076867444665
1109,9.0,8.65,1.0,10.13,7.195,3.6182627046691898
1110,9.0,7.58,,8.25,8.276666666666666,0.5800191567717589
1111,10.35,,1.0,,5.675,4.675
1112,8.0,7.34,2.0,9.09,6.6075,2.7325571814694016
1113,6.0,5.73,20.39,9.23,10.337500000000002,5.964944991364129
1114,6.14,7.76,22.89,10.27,11.765,6.5894100646416
1115,6.63,3.0,1.0,8.96,4.8975,3.0942072894361816
1116,5.66,,1.0,7.45,4.703333333333333,2.7187047569671035
1117,6.83,0.0,22.35,,9.726666666666667,9.35142175762001
1119,7.48,3.0,1.0,,3.8266666666666667,2.709259841522937
1120,7.31,,22.94,0.0,10.083333333333334,9.568330865702523
1121,8.3,0.0,23.17,0.0,7.867500000000001,9.462408189779175
1122,7.3,0.0,0.0,,2.433333333333333,3.4412530017745318
1124,6.86,0.0,12.0,0.0,4.715,5.0530856909417246
1125,6.35,11.0,12.0,0.0,7.3375,4.742543489521209
1126,0.0,11.0,12.15,1.0,6.0375,5.563651566192837
1127,0.0,,11.0,0.0,3.6666666666666665,5.185449728701348
1128,1.0,11.0,12.0,0.0,6.0,5.522680508593631
1129,0.0,8.0,10.0,1.0,4.75,4.322904116447646
1130,1.0,,11.0,13.0,8.333333333333334,5.2493385826745405
1133,2.0,,,,2.0,0.0
1135,0.0,6.0,,12.0,6.0,4.898979485566356
1136,0.0,6.07,10.02,13.0,7.2725,4.865395025072476
1137,0.0,6.62,10.53,,5.716666666666666,4.346050569834128
1138,0.0,5.1,15.2,12.0,8.075,5.920884646739877
1139,12.0,4.26,10.02,,8.76,3.2830473648730685
1140,11.0,3.9,,12.0,8.966666666666667,3.605859429071275
1142,11.0,,,9.0,10.0,1.0
1143,8.0,0.0,9.77,,5.923333333333333,4.250304564250531
1144,8.0,1.0,22.15,10.0,10.2875,7.620562233195133
1145,8.0,,1.0,10.0,6.333333333333333,3.8586123009300755
1149,6.61,0.0,1.0,8.46,4.0175,3.595221655197354
1150,6.98,0.0,,,3.49,3.49
1151,0.0,0.0,,7.86,2.62,3.705239533417509
1153,1.0,11.0,1.0,7.49,5.1225000000000005,4.305231555909624
1154,1.0,10.01,13.0,,8.003333333333332,5.100328965425225
1155,0.0,9.0,12.0,,7.0,5.0990195135927845
1156,0.0,7.0,,,3.5,3.5
1158,0.0,6.06,,,3.03,3.03
1159,11.0,6.44,12.0,0.0,7.36,4.7380164626138646
1160,11.0,,9.0,1.0,7.0,4.320493798938574
1161,11.0,,10.0,,10.5,0.5
1162,11.0,7.32,,3.0,7.1066666666666665,3.2694681864520754
1163,9.0,6.21,,0.0,5.07,3.7616219905780004
1164,7.0,0.0,9.23,0.0,4.0575,4.13339070860716
1165,8.0,1.0,,0.0,3.0,3.559026084010437
1166,7.0,0.0,,1.0,2.6666666666666665,3.091206165165235
