,Turn_100,Turn_101,Turn_102,Turn_103,mean,std
1000,27.44999999999993,,,,27.44999999999993,0.0
1011,52.68000000000006,,,,52.68000000000006,0.0
1015,65.10000000000002,,,,65.10000000000002,0.0
1048,34.13,,,,34.13,0.0
1051,35.51999999999998,,,,35.51999999999998,0.0
1054,30.81000000000006,,,,30.81000000000006,0.0
1059,51.31999999999994,,,,51.31999999999994,0.0
1062,23.86000000000001,,35.48000000000002,,29.670000000000016,5.810000000000004
1065,31.89999999999998,,,,31.89999999999998,0.0
1072,16.72000000000003,,,,16.72000000000003,0.0
1073,20.90999999999997,,,,20.90999999999997,0.0
1080,40.0,,,,40.0,0.0
1108,17.57000000000005,,34.89999999999998,35.23000000000002,29.23333333333335,8.248322388354
1118,29.32000000000005,,,,29.32000000000005,0.0
1131,9.590000000000032,,,,9.590000000000032,0.0
1134,21.02999999999997,,,,21.02999999999997,0.0
1141,15.92000000000007,,,,15.92000000000007,0.0
1146,35.44999999999993,,16.96000000000004,,26.204999999999984,9.244999999999946
1178,35.21000000000004,,25.40999999999997,,30.31000000000001,4.900000000000036
1215,34.75,40.4799999999999,,,37.61499999999995,2.864999999999949
1217,33.3900000000001,,,,33.3900000000001,0.0
1220,51.78000000000009,,,,51.78000000000009,0.0
1226,30.0200000000001,,,,30.0200000000001,0.0
1235,61.5,,,,61.5,0.0
1237,26.21000000000004,41.33000000000004,,,33.77000000000004,7.5600000000000005
1239,38.38,,,,38.38,0.0
1248,56.02999999999997,,,,56.02999999999997,0.0
1269,56.49000000000001,,,,56.49000000000001,0.0
1294,26.31999999999994,22.59000000000015,,,24.455000000000044,1.8649999999998954
1296,50.59000000000015,,,18.69000000000005,34.6400000000001,15.95000000000005
1340,44.66999999999985,,,,44.66999999999985,0.0
1365,24.54999999999995,,,,24.54999999999995,0.0
1367,21.75,,,,21.75,0.0
1375,36.86999999999989,,,,36.86999999999989,0.0
1380,36.67000000000007,,,,36.67000000000007,0.0
1382,35.76999999999998,,25.32000000000016,,30.545000000000073,5.224999999999911
1387,26.95000000000005,,,,26.95000000000005,0.0
1411,23.25,,,,23.25,0.0
1412,15.94000000000005,,,,15.94000000000005,0.0
1416,44.76999999999998,,,,44.76999999999998,0.0
1433,12.71000000000004,,,,12.71000000000004,0.0
1440,36.37000000000012,,,14.63999999999987,25.504999999999995,10.865000000000125
1490,17.85000000000014,,,,17.85000000000014,0.0
1520,37.18000000000006,,,,37.18000000000006,0.0
1528,28.04999999999995,,,,28.04999999999995,0.0
1535,19.59000000000015,,16.29000000000019,,17.94000000000017,1.649999999999979
1543,24.99000000000001,,,,24.99000000000001,0.0
1561,14.70000000000005,,,,14.70000000000005,0.0
1582,34.61999999999989,,,,34.61999999999989,0.0
1594,29.02999999999997,,,,29.02999999999997,0.0
1605,34.56999999999994,,,,34.56999999999994,0.0
1611,14.76999999999998,27.40000000000009,10.90000000000009,,17.690000000000055,7.045438240450357
1615,24.98000000000002,,,55.68000000000006,40.33000000000004,15.350000000000017
1619,21.90999999999985,,,,21.90999999999985,0.0
1646,36.99000000000001,,,,36.99000000000001,0.0
1654,31.98000000000002,,,14.76999999999998,23.375,8.60500000000002
1658,25.46000000000004,18.96000000000004,,,22.21000000000004,3.25
1681,37.37999999999988,,,,37.37999999999988,0.0
1730,30.34000000000015,27.17000000000007,,,28.75500000000011,1.58500000000004
1734,26.75,,,,26.75,0.0
1738,35.07999999999993,,,,35.07999999999993,0.0
1759,50.20000000000005,,,,50.20000000000005,0.0
1793,52.63000000000011,,,,52.63000000000011,0.0
1794,53.54999999999995,,,,53.54999999999995,0.0
1797,30.53999999999996,,,,30.53999999999996,0.0
1813,24.77999999999997,,,,24.77999999999997,0.0
1824,30.99000000000001,,,24.47000000000003,27.730000000000018,3.259999999999989
1825,32.0,54.73000000000002,,,43.36500000000001,11.365000000000009
1831,24.69000000000005,,,,24.69000000000005,0.0
1857,50.80999999999995,72.09999999999991,,,61.45499999999993,10.644999999999978
1859,55.77000000000021,,,,55.77000000000021,0.0
1879,66.96000000000004,,,,66.96000000000004,0.0
1903,67.79000000000019,,,,67.79000000000019,0.0
1923,24.3599999999999,,25.73000000000002,,25.04499999999996,0.6850000000000609
1952,42.94000000000005,,,,42.94000000000005,0.0
2000,36.91000000000008,,,,36.91000000000008,0.0
2012,50.93000000000006,,,,50.93000000000006,0.0
2019,25.75,,,,25.75,0.0
2034,30.46000000000004,,,,30.46000000000004,0.0
2039,56.63000000000011,,,,56.63000000000011,0.0
2063,16.21000000000004,,,11.71000000000004,13.96000000000004,2.25
2067,75.46000000000004,,,,75.46000000000004,0.0
2082,88.15000000000009,,,,88.15000000000009,0.0
2095,56.67000000000007,,,,56.67000000000007,0.0
2096,61.69000000000005,,,,61.69000000000005,0.0
2098,60.81999999999994,,,,60.81999999999994,0.0
2144,42.32000000000016,,,,42.32000000000016,0.0
2183,41.03999999999996,,,,41.03999999999996,0.0
2191,57.68000000000006,,,,57.68000000000006,0.0
2211,40.64999999999986,,,,40.64999999999986,0.0
2213,42.75,,,,42.75,0.0
2223,85.0,,,,85.0,0.0
2228,62.28999999999996,,,,62.28999999999996,0.0
2232,59.69000000000005,,,,59.69000000000005,0.0
2233,58.40000000000009,,36.37999999999988,,47.389999999999986,11.010000000000105
2234,32.76999999999998,,,,32.76999999999998,0.0
2268,39.70000000000005,,,32.18000000000006,35.940000000000055,3.759999999999998
2269,25.25,,,,25.25,0.0
2297,22.44000000000005,47.10000000000014,,,34.770000000000095,12.330000000000046
