,Turn_100,Turn_101,Turn_102,Turn_103,mean,std
1008,25.32999999999993,,,,25.32999999999993,0.0
1018,26.07000000000005,,,21.64999999999998,23.860000000000014,2.2100000000000346
1020,47.06000000000006,,,,47.06000000000006,0.0
1030,38.14999999999998,,,,38.14999999999998,0.0
1031,32.66999999999996,,,,32.66999999999996,0.0
1033,48.46000000000004,,38.18999999999994,38.19999999999993,41.61666666666664,4.838969128050179
1053,31.25,,21.23000000000002,21.39999999999998,24.626666666666665,4.683918112957237
1061,27.10000000000002,,,,27.10000000000002,0.0
1064,48.67999999999995,,,,48.67999999999995,0.0
1077,13.93000000000006,,,,13.93000000000006,0.0
1089,38.45000000000005,,,,38.45000000000005,0.0
1095,34.51999999999998,,,,34.51999999999998,0.0
1099,30.41999999999996,25.95999999999992,,,28.18999999999994,2.23000000000002
1103,52.31999999999994,,,,52.31999999999994,0.0
1105,25.68999999999994,21.37,,,23.529999999999973,2.15999999999997
1123,37.74000000000001,,48.86000000000001,,43.30000000000001,5.559999999999999
1132,28.19999999999993,,,,28.19999999999993,0.0
1147,44.35000000000002,,,,44.35000000000002,0.0
1148,40.41999999999996,27.34000000000003,,16.49000000000001,28.083333333333332,9.783511071639284
1152,37.34000000000003,,,,37.34000000000003,0.0
1157,52.66000000000008,,,,52.66000000000008,0.0
1173,37.05999999999995,,,,37.05999999999995,0.0
1182,30.49000000000001,,,,30.49000000000001,0.0
1188,52.55999999999995,,,,52.55999999999995,0.0
1189,50.28999999999996,,,,50.28999999999996,0.0
1191,24.96999999999991,,46.57000000000005,38.25,36.59666666666666,8.895322116458548
1197,26.59000000000003,,,,26.59000000000003,0.0
1206,22.31999999999994,,,,22.31999999999994,0.0
1208,39.87,,,,39.87,0.0
1209,42.68999999999994,21.61000000000001,,,32.14999999999998,10.539999999999965
1222,52.12,,18.25999999999999,,35.19,16.930000000000003
1236,20.19999999999993,,,,20.19999999999993,0.0
1238,46.05999999999995,,,47.06999999999994,46.56499999999995,0.5049999999999955
1253,32.93999999999994,,,,32.93999999999994,0.0
1254,26.38,,,,26.38,0.0
1264,44.71999999999991,,,,44.71999999999991,0.0
1265,20.69000000000005,,,,20.69000000000005,0.0
1272,35.26999999999998,,,40.0,37.63499999999999,2.365000000000009
1275,27.36000000000001,,,,27.36000000000001,0.0
1278,23.8900000000001,,48.65999999999985,,36.27499999999998,12.384999999999874
1291,11.0,40.01999999999998,,,25.50999999999999,14.509999999999991
1292,31.67000000000007,41.63999999999987,60.8599999999999,,44.72333333333328,12.11457065777491
1302,23.46000000000004,32.41000000000008,,,27.93500000000006,4.475000000000021
1308,48.45000000000005,,,,48.45000000000005,0.0
1312,18.22000000000003,27.77999999999997,,,23.0,4.779999999999969
1329,33.82000000000016,,,,33.82000000000016,0.0
1337,26.31999999999994,,61.13,,43.72499999999997,17.405000000000033
1342,26.72000000000003,,,44.45000000000005,35.58500000000004,8.86500000000001
1349,41.66000000000008,,,,41.66000000000008,0.0
1359,34.25,,,,34.25,0.0
1361,10.57999999999993,28.16000000000008,,,19.370000000000005,8.790000000000074
1379,20.59999999999991,,,,20.59999999999991,0.0
1386,33.8599999999999,,,,33.8599999999999,0.0
1389,28.32999999999993,,,,28.32999999999993,0.0
1391,25.29000000000019,,,46.47000000000003,35.88000000000011,10.589999999999918
1395,24.25999999999999,,,,24.25999999999999,0.0
1400,16.75999999999999,37.09999999999991,,,26.92999999999995,10.169999999999959
1418,25.10000000000014,,,,25.10000000000014,0.0
1427,47.65000000000009,,,,47.65000000000009,0.0
1432,45.1099999999999,,,,45.1099999999999,0.0
1438,40.31999999999994,,,,40.31999999999994,0.0
1447,11.92000000000007,,21.76999999999998,28.26999999999998,20.65333333333334,6.721400317063528
1450,28.44000000000005,,,,28.44000000000005,0.0
1456,48.12999999999988,46.52999999999997,,,47.32999999999993,0.7999999999999545
1468,57.55000000000018,47.75,,34.86999999999989,46.72333333333336,9.287487400918744
1473,11.6099999999999,37.99000000000001,,12.38000000000011,20.660000000000007,12.258191818806997
1474,28.56999999999994,,,12.27999999999997,20.424999999999955,8.144999999999985
1488,46.01999999999998,,,,46.01999999999998,0.0
1496,38.6400000000001,,,,38.6400000000001,0.0
1504,25.66000000000008,,31.63000000000011,,28.645000000000095,2.9850000000000154
1505,29.44000000000005,,52.0,,40.72000000000003,11.279999999999974
1512,23.25,,,,23.25,0.0
1517,45.65000000000009,,,,45.65000000000009,0.0
1522,36.00999999999999,,19.89999999999986,,27.954999999999927,8.055000000000065
1525,11.29000000000019,,37.83999999999992,,24.565000000000055,13.274999999999864
1526,35.63999999999987,49.03999999999996,,,42.33999999999992,6.700000000000042
1529,28.66000000000008,,10.99000000000001,,19.825000000000045,8.835000000000035
1537,27.23000000000002,,,,27.23000000000002,0.0
1540,23.04999999999995,,,,23.04999999999995,0.0
1546,23.41999999999985,,,,23.41999999999985,0.0
1554,38.90000000000009,,,48.5,43.700000000000045,4.7999999999999545
1568,25.70999999999981,,29.1400000000001,,27.424999999999955,1.7150000000001455
1570,24.17000000000007,,,,24.17000000000007,0.0
1580,34.97000000000003,,,,34.97000000000003,0.0
1585,35.66000000000008,,,,35.66000000000008,0.0
1588,31.28999999999996,,,,31.28999999999996,0.0
1592,46.87999999999988,,,,46.87999999999988,0.0
1596,27.28999999999996,,,,27.28999999999996,0.0
1598,48.32000000000016,,,,48.32000000000016,0.0
1600,44.30999999999995,,,,44.30999999999995,0.0
1603,41.36999999999989,,,,41.36999999999989,0.0
1604,43.15999999999985,37.47000000000003,,,40.31499999999994,2.8449999999999096
1606,37.17999999999984,,,,37.17999999999984,0.0
1617,51.70999999999981,,,,51.70999999999981,0.0
1626,22.09000000000015,,,51.05999999999995,36.57500000000005,14.484999999999902
1633,35.30000000000018,,,,35.30000000000018,0.0
1638,55.58999999999992,,,16.95000000000005,36.26999999999998,19.319999999999933
1643,36.82999999999993,12.78999999999996,10.87000000000012,,20.163333333333338,11.8111510399659
1648,58.42999999999984,,,,58.42999999999984,0.0
1652,35.86999999999989,,,,35.86999999999989,0.0
1656,32.21000000000004,,,,32.21000000000004,0.0
1668,22.79999999999995,,,,22.79999999999995,0.0
1669,23.61999999999989,17.05999999999995,,18.03999999999996,19.573333333333267,2.8892598052480594
1674,46.44000000000005,,,,46.44000000000005,0.0
1690,34.01999999999998,,,,34.01999999999998,0.0
1696,21.50999999999999,,,,21.50999999999999,0.0
1698,20.49000000000001,,,,20.49000000000001,0.0
1701,47.53999999999996,,,,47.53999999999996,0.0
1703,37.71000000000004,,40.27999999999997,37.63000000000011,38.54000000000004,1.230799198353064
1710,36.49000000000001,,50.55999999999995,,43.52499999999998,7.034999999999972
1714,25.24000000000001,,,,25.24000000000001,0.0
1716,34.30999999999995,,,,34.30999999999995,0.0
1717,28.51999999999998,,,,28.51999999999998,0.0
1718,54.95000000000005,,26.02999999999997,,40.49000000000001,14.460000000000042
1742,57.73000000000002,,,,57.73000000000002,0.0
