,Dwell_100,Dwell_101,Dwell_102,Dwell_103,mean,std
1000,20.87,7.16,3.99,13.52,11.385000000000002,6.462586556480308
1001,7.870000000000001,7.0,22.55,19.0,14.105,6.794028628141039
1002,4.609999999999999,10.13,23.0,7.23,11.2425,7.06340348203329
1003,8.17,23.81,3.37,2.36,9.427499999999998,8.588953297695825
1004,14.67,7.210000000000001,25.0,18.23,16.2775,6.4167334953229895
1005,8.870000000000001,10.93,9.28,3.16,8.059999999999999,2.9322090648519588
1006,2.77,13.75,6.79,3.78,6.7725,4.2912956959407955
1007,9.29,7.83,2.93,5.08,6.282499999999999,2.455864155445085
1008,19.0,2.87,18.53,16.06,14.115000000000002,6.587649429045235
1009,20.07,2.56,8.690000000000001,3.08,8.6,7.044874023004244
1010,7.79,10.9,15.67,14.02,12.094999999999999,3.018579964155331
1011,45.22,2.97,6.09,41.0,23.82,19.3790337736431
1012,5.69,6.74,17.12,3.37,8.23,5.275495237416105
1013,5.1,2.53,5.41,17.0,7.51,5.591927216979849
1014,6.89,7.2,12.77,2.87,7.4325,3.523268191608467
1015,33.73,10.41,4.25,19.14,16.8825,11.072577330955967
1016,11.53,6.27,26.96,7.0,12.94,8.341477686837028
1017,7.470000000000001,4.27,17.94,13.93,10.9025,5.34939891483146
1018,8.0,12.34,7.34,4.0,7.92,2.968400242554902
1019,5.21,7.13,10.18,13.87,9.0975,3.2761362532715266
1020,30.0,5.63,13.05,2.85,12.882500000000002,10.562749109488497
1021,3.66,7.25,9.27,5.68,6.465,2.0596419591763997
1022,17.13,30.32,12.84,9.56,17.462500000000002,7.893713875610136
1023,8.98,7.0,4.11,12.02,8.0275,2.883135229225296
1024,7.24,3.7,6.0,12.47,7.352500000000001,3.216033076633386
1025,6.81,7.71,12.6,37.95,16.2675,12.710787495273456
1026,3.95,12.33,7.54,26.0,12.455,8.366225253960115
1027,5.550000000000001,3.17,4.0,10.31,5.7575,2.763705619272791
1028,3.44,4.0,5.26,3.5,4.05,0.7316419889536138
1029,9.780000000000001,4.0,7.29,4.56,6.4075,2.310945423414409
1030,29.0,17.04,9.29,16.55,17.97,7.069027514446383
