,Cargo_100,Cargo_101,Cargo_102,Cargo_103,mean,std
1001,7.870000000000001,7.0,22.55,,12.473333333333334,7.134126124169348
1002,4.609999999999999,10.129999999999999,,7.2299999999999995,7.323333333333333,2.2544967410833743
1003,8.17,23.81,3.37,2.36,9.427499999999998,8.588953297695825
1004,14.67,7.210000000000001,,18.23,13.37,4.59184784881497
1005,8.870000000000001,10.93,,3.16,7.653333333333333,3.2866835699362493
1006,2.77,13.75,6.79,3.7800000000000002,6.7725,4.2912956959407955
1007,9.29,,2.9299999999999997,5.08,5.766666666666666,2.641468446821872
1009,20.07,2.56,8.690000000000001,3.08,8.6,7.044874023004244
1010,7.79,10.899999999999999,15.67,14.02,12.094999999999999,3.0185799641553315
1012,5.6899999999999995,6.74,17.119999999999997,3.37,8.229999999999999,5.275495237416104
1013,5.1,2.5300000000000002,5.41,,4.346666666666667,1.2907964810749815
1014,6.89,7.2,,2.87,5.653333333333333,1.9721787162650573
1016,11.53,6.27,26.96,,14.92,8.780208805413837
1017,7.470000000000001,4.27,17.939999999999998,13.93,10.9025,5.349398914831459
1019,5.21,7.13,10.18,13.870000000000001,9.0975,3.2761362532715275
1021,3.66,7.25,9.27,5.68,6.465,2.0596419591763997
1022,17.13,,12.84,9.56,13.176666666666668,3.099594955617409
1023,8.98,,4.11,12.02,8.37,3.257923674162221
1024,7.24,3.6999999999999997,,12.47,7.803333333333334,3.6024281934396543
1025,6.8100000000000005,7.71,12.6,,9.04,2.5439732702998272
1026,3.95,12.33,7.54,,7.94,3.432792837714893
1027,5.550000000000001,3.17,,10.31,6.343333333333334,2.9683815268406604
1028,3.44,,5.26,3.5,4.066666666666666,0.8441695458983474
1029,9.780000000000001,,7.29,4.5600000000000005,7.210000000000001,2.1318067454626375
1032,16.509999999999998,10.2,,4.88,10.53,4.753658240415128
1034,22.82,14.18,,19.259999999999998,18.753333333333334,3.5454133123735456
1035,13.82,3.79,6.4,,8.003333333333332,4.248782832242142
1036,11.149999999999999,14.3,6.880000000000001,5.23,9.39,3.56410577845271
1037,6.09,,3.62,5.35,5.0200000000000005,1.0350201286287461
1038,8.36,10.16,3.62,16.07,9.5525,4.457114397230567
1039,5.86,21.82,10.24,,12.64,6.733023095163122
1040,8.379999999999999,,5.13,,6.754999999999999,1.6249999999999996
1041,6.73,6.53,,17.64,10.3,5.1908059746697015
1042,2.84,9.39,,14.72,8.983333333333334,4.858506857964583
1043,9.379999999999999,,13.21,12.99,11.86,1.755923308879596
1044,16.259999999999998,18.95,11.24,,15.483333333333333,3.1951456235288482
1045,14.43,6.35,6.3,8.469999999999999,8.8875,3.3176676672023677
1046,11.48,5.62,13.62,13.7,11.105,3.2895706406763785
1047,3.97,13.8,7.3,6.59,7.915,3.616977329207359
1049,16.5,13.82,8.120000000000001,13.43,12.9675,3.0379876151821286
1050,17.41,3.5599999999999996,12.190000000000001,11.719999999999999,11.219999999999999,4.954356668630147
1052,5.16,10.73,7.6899999999999995,4.63,7.052499999999999,2.4176680396613595
1055,5.25,5.2700000000000005,,3.6799999999999997,4.733333333333333,0.7448638950991131
1056,8.07,5.96,8.56,3.02,6.402500000000001,2.1836022417097856
1057,2.75,6.8100000000000005,5.609999999999999,11.739999999999998,6.727499999999999,3.248125420915885
1058,3.0599999999999996,22.5,3.4800000000000004,5.8,8.709999999999999,8.029750930134757
1060,5.39,5.640000000000001,19.369999999999997,6.83,9.3075,5.835008033413492
1063,12.780000000000001,,10.59,,11.685,1.0950000000000006
1066,9.45,,3.3600000000000003,4.6899999999999995,5.833333333333333,2.614374792480136
1067,3.9,5.63,10.63,14.42,8.645,4.150183730872646
1068,4.54,7.8100000000000005,8.14,,6.830000000000001,1.624869225507087
1069,8.16,8.8,16.59,14.53,12.02,3.62122216937873
1070,4.3,22.29,13.73,7.53,11.9625,6.858248227499497
1071,18.080000000000002,5.619999999999999,12.19,7.5600000000000005,10.8625,4.802209777800217
1074,6.9,5.75,21.43,,11.36,7.13602597155214
1075,3.09,7.19,4.8,,5.026666666666667,1.681474220901277
1076,15.95,10.51,2.63,3.19,8.07,5.510353890631708
1078,4.6899999999999995,8.040000000000001,4.27,14.17,7.7925,3.961290036086729
1079,7.779999999999999,6.23,21.060000000000002,7.1,10.5425,6.097082806555936
1081,3.13,,,4.98,4.055,0.9250000000000003
1082,5.26,7.07,9.97,,7.433333333333334,1.9399369978315166
1083,4.73,6.98,16.59,10.27,9.6425,4.468866606870248
1084,5.99,,4.5600000000000005,8.41,6.32,1.5889829032014995
1085,3.16,7.0,,8.379999999999999,6.18,2.208528922156103
1086,17.25,5.79,12.100000000000001,7.699999999999999,10.71,4.4150368061885965
1087,18.54,5.95,16.19,9.19,12.4675,5.097844519990778
1088,20.4,9.879999999999999,8.129999999999999,,12.803333333333333,5.418956439102356
1090,4.54,6.09,,19.73,10.12,6.824695353396126
1091,3.5599999999999996,5.92,,,4.74,1.1800000000000002
1092,4.6,2.6900000000000004,12.88,3.34,5.8775,4.100794892456827
1093,10.3,3.21,3.7299999999999995,4.58,5.455,2.839687482805106
1094,21.34,17.62,7.01,7.12,13.272499999999999,6.3454210853181365
1096,10.870000000000001,2.85,,12.1,8.606666666666667,4.101433353786888
1097,7.1,3.48,4.33,,4.97,1.545595893714352
