,Anchorage_100,Anchorage_101,Anchorage_102,Anchorage_103,mean,std
1000,0.0,,,,0.0,0.0
1011,0.0,,,,0.0,0.0
1015,11.0,,,,11.0,0.0
1048,4.94,,,,4.94,0.0
1051,4.34,,,,4.34,0.0
1054,0.0,,,,0.0,0.0
1059,0.0,,,,0.0,0.0
1062,1.0,,10.33,,5.665,4.665
1065,1.0,,,,1.0,0.0
1072,0.0,,,,0.0,0.0
1073,9.0,,,,9.0,0.0
1080,7.53,,,,7.53,0.0
1108,0.0,,0.0,8.92,2.973333333333333,4.204928325456003
1118,5.82,,,,5.82,0.0
1131,0.0,,,,0.0,0.0
1134,2.0,,,,2.0,0.0
1141,0.0,,,,0.0,0.0
1146,8.0,,0.0,,4.0,4.0
1178,5.32,,0.0,,2.66,2.66
1215,9.73,5.27,,,7.5,2.2300000000000004
1217,3.0,,,,3.0,0.0
1220,1.0,,,,1.0,0.0
1226,1.0,,,,1.0,0.0
1235,10.0,,,,10.0,0.0
1237,0.0,11.0,,,5.5,5.5
1239,10.4,,,,10.4,0.0
1248,9.24,,,,9.24,0.0
1269,5.85,,,,5.85,0.0
1294,0.0,11.56,,,5.78,5.78
1296,0.0,,,0.0,0.0,0.0
1340,0.0,,,,0.0,0.0
1387,0.0,,,,0.0,0.0
1391,11.0,,,,11.0,0.0
1399,11.61,,,,11.61,0.0
1407,12.29,,,,12.29,0.0
1418,0.0,,,,0.0,0.0
1421,0.0,,,,0.0,0.0
1432,0.0,,,,0.0,0.0
1454,30.02,,,,30.02,0.0
1472,0.0,,,,0.0,0.0
1483,0.0,,,,0.0,0.0
1488,12.0,,,,12.0,0.0
1489,16.85,,,,16.85,0.0
1494,17.16,,15.3,,16.23,0.9299999999999997
1505,35.15,,0.0,,17.575,17.575
1526,0.0,0.0,,,0.0,0.0
1543,0.0,,,,0.0,0.0
1555,33.99,,,,33.99,0.0
1565,36.61,,,,36.61,0.0
1586,2.0,,,,2.0,0.0
1605,32.63,,0.0,,16.315,16.315
1611,0.0,0.0,,,0.0,0.0
1615,1.0,,,,1.0,0.0
1619,0.0,,,,0.0,0.0
1646,35.22,,,,35.22,0.0
1654,0.0,,,,0.0,0.0
1658,0.0,14.0,,,7.0,7.0
1681,31.95,,0.0,,15.975,15.975
1730,0.0,0.0,,,0.0,0.0
1734,19.92,,,,19.92,0.0
1738,31.45,,,,31.45,0.0
1759,2.0,,,,2.0,0.0
1793,0.0,,,,0.0,0.0
1794,3.0,,,,3.0,0.0
1797,2.0,,,,2.0,0.0
1813,19.24,,,,19.24,0.0
1824,0.0,,,0.02,0.01,0.01
1825,0.0,0.0,,,0.0,0.0
1831,1.0,,,,1.0,0.0
1857,1.0,1.0,,,1.0,0.0
1859,1.0,,,,1.0,0.0
1879,32.75,,,,32.75,0.0
1903,19.13,,,,19.13,0.0
1923,1.0,,1.0,,1.0,0.0
1952,12.0,,,,12.0,0.0
2000,28.34,,,,28.34,0.0
2012,1.0,,,,1.0,0.0
2019,0.0,,,,0.0,0.0
2034,25.02,,,,25.02,0.0
2039,1.0,,,,1.0,0.0
2063,10.4,,,0.0,5.2,5.2
2067,0.0,,,,0.0,0.0
2082,12.0,,,,12.0,0.0
2095,11.62,,,,11.62,0.0
2096,11.88,,,,11.88,0.0
2098,24.69,,,,24.69,0.0
2144,12.0,,,,12.0,0.0
2183,7.0,,,,7.0,0.0
2191,7.98,,,,7.98,0.0
2211,11.0,,,,11.0,0.0
2213,10.0,,,,10.0,0.0
2223,10.84,,,,10.84,0.0
2228,11.93,,,,11.93,0.0
2232,0.0,,,,0.0,0.0
2233,2.0,,0.0,,1.0,1.0
2234,0.0,,,,0.0,0.0
2268,12.0,,,1.0,6.5,5.5
2269,0.0,,,,0.0,0.0
2297,10.0,9.0,,,9.5,0.5
2305,10.4,,,,10.4,0.0
2320,1.0,,,,1.0,0.0
2328,0.0,,,,0.0,0.0
