,Cargo_100,Cargo_101,Cargo_102,Cargo_103,mean,std
1000,20.87,,,,20.87,0.0
1011,45.22,,,,45.22,0.0
1015,33.730000000000004,,,,33.730000000000004,0.0
1048,20.84,,,,20.84,0.0
1051,22.82,,,,22.82,0.0
1054,24.119999999999997,,,,24.119999999999997,0.0
1059,42.53,,,,42.53,0.0
1062,11.1,,7.949999999999999,,9.524999999999999,1.5750000000000002
1065,24.42,,,,24.42,0.0
1072,8.73,,,,8.73,0.0
1073,5.37,,,,5.37,0.0
1080,17.2,,,,17.2,0.0
1108,3.43,,18.11,9.15,10.229999999999999,6.041545056247339
1118,7.77,,,,7.77,0.0
1131,3.23,,,,3.23,0.0
1134,3.78,,,,3.78,0.0
1141,10.18,,,,10.18,0.0
1146,9.81,,9.53,,9.67,0.14000000000000057
1178,22.55,,8.09,,15.32,7.23
1215,8.35,16.98,,,12.665,4.315
1217,15.52,,,,15.52,0.0
1220,43.19,,,,43.19,0.0
1226,22.15,,,,22.15,0.0
1235,40.45,,,,40.45,0.0
1237,18.54,15.05,,,16.795,1.7449999999999992
1239,21.52,,,,21.52,0.0
1248,38.61,,,,38.61,0.0
1269,32.55,,,,32.55,0.0
1294,9.7,4.63,,,7.164999999999999,2.5349999999999997
1296,43.379999999999995,,,4.77,24.074999999999996,19.305
1340,37.78,,,,37.78,0.0
1387,11.0,,,,11.0,0.0
1391,11.03,,,,11.03,0.0
1399,10.98,,,,10.98,0.0
1407,11.03,,,,11.03,0.0
1418,18.479999999999997,,,,18.479999999999997,0.0
1421,14.95,,,,14.95,0.0
1432,20.1,,,,20.1,0.0
1454,16.15,,,,16.15,0.0
1472,14.96,,,,14.96,0.0
1483,4.05,,,,4.05,0.0
1488,9.55,,,,9.55,0.0
1489,9.12,,,,9.12,0.0
1494,18.57,,10.32,,14.445,4.125
1505,37.370000000000005,,21.22,,29.295,8.075000000000003
1526,8.22,22.0,,,15.11,6.89
1543,3.87,,,,3.87,0.0
1555,19.369999999999997,,,,19.369999999999997,0.0
1565,20.88,,,,20.88,0.0
1586,22.62,,,,22.62,0.0
1605,17.990000000000002,,8.05,,13.020000000000001,4.970000000000001
1611,8.7,18.87,,,13.785,5.085000000000001
1615,8.08,,,,8.08,0.0
1619,9.23,,,,9.23,0.0
1646,9.43,,,,9.43,0.0
1654,9.13,,,,9.13,0.0
1658,4.07,7.03,,,5.550000000000001,1.48
1681,19.67,,20.9,,20.285,0.6149999999999984
1730,23.35,7.82,,,15.585,7.765000000000001
1734,20.29,,,,20.29,0.0
1738,10.41,,,,10.41,0.0
1759,39.54,,,,39.54,0.0
1793,44.849999999999994,,,,44.849999999999994,0.0
1794,44.04,,,,44.04,0.0
1797,22.14,,,,22.14,0.0
1813,6.35,,,,6.35,0.0
1824,21.5,,,16.92,19.21,2.289999999999999
1825,22.4,31.4,,,26.9,4.5
1831,16.58,,,,16.58,0.0
1857,21.62,46.01,,,33.815,12.194999999999999
1859,44.65,,,,44.65,0.0
1879,31.6,,,,31.6,0.0
1903,36.1,,,,36.1,0.0
1923,15.38,,9.2,,12.29,3.0900000000000007
1952,22.490000000000002,,,,22.490000000000002,0.0
2000,10.82,,,,10.82,0.0
2012,36.91,,,,36.91,0.0
2019,19.93,,,,19.93,0.0
2034,10.43,,,,10.43,0.0
2039,40.64,,,,40.64,0.0
2063,4.02,,,4.0,4.01,0.009999999999999787
2067,35.87,,,,35.87,0.0
2082,45.370000000000005,,,,45.370000000000005,0.0
2095,15.2,,,,15.2,0.0
2096,4.18,,,,4.18,0.0
2098,4.0,,,,4.0,0.0
2144,10.22,,,,10.22,0.0
2183,20.28,,,,20.28,0.0
2191,37.21,,,,37.21,0.0
2211,11.77,,,,11.77,0.0
2213,10.72,,,,10.72,0.0
2223,40.44,,,,40.44,0.0
2228,38.53,,,,38.53,0.0
2232,41.900000000000006,,,,41.900000000000006,0.0
2233,39.22,,15.0,,27.11,12.11
2234,16.75,,,,16.75,0.0
2268,9.08,,,8.23,8.655000000000001,0.4249999999999998
2269,8.53,,,,8.53,0.0
2297,5.68,21.060000000000002,,,13.370000000000001,7.690000000000001
2305,33.04,,,,33.04,0.0
2320,15.93,,,,15.93,0.0
2328,17.43,,,,17.43,0.0
2338,18.64,,,,18.64,0.0
2346,36.95,,,,36.95,0.0
2377,10.22,,,,10.22,0.0
2395,11.88,,,,11.88,0.0
2428,9.2,,,,9.2,0.0
2435,8.25,,,,8.25,0.0
2437,3.8,,,,3.8,0.0
2450,36.05,,,,36.05,0.0
2472,5.4,7.1,,7.73,6.743333333333333,0.9840844588866456
2483,25.05,,,,25.05,0.0
2485,9.7,,,,9.7,0.0
2488,20.39,,,,20.39,0.0
2538,7.77,,,,7.77,0.0
2545,19.05,,,,19.05,0.0
2552,9.45,,,,9.45,0.0
2556,12.07,,,,12.07,0.0
2562,21.12,,35.629999999999995,,28.375,7.254999999999997
2574,20.080000000000002,,,,20.080000000000002,0.0
2576,7.75,,,,7.75,0.0
2578,11.32,,,,11.32,0.0
2592,10.05,,,,10.05,0.0
2595,5.23,7.33,,,6.28,1.0499999999999998
2601,5.73,24.83,,5.18,11.913333333333332,9.13622217087323
2605,17.42,,10.52,,13.97,3.450000000000001
2628,24.0,,,,24.0,0.0
2650,19.79,,,,19.79,0.0
2651,9.77,,,,9.77,0.0
2683,14.43,,,,14.43,0.0
2684,3.65,,,,3.65,0.0
2696,8.93,,,,8.93,0.0
2698,23.15,,,,23.15,0.0
2702,38.92,,,,38.92,0.0
2703,13.07,,,,13.07,0.0
2704,11.43,,,,11.43,0.0
2730,17.45,,,,17.45,0.0
2753,5.48,,,,5.48,0.0
2759,20.130000000000003,,,,20.130000000000003,0.0
2765,19.21,,,,19.21,0.0
2782,37.96,,,,37.96,0.0
2794,6.23,,,,6.23,0.0
2821,7.37,,,,7.37,0.0
2830,18.509999999999998,,,,18.509999999999998,0.0
2836,18.0,,,,18.0,0.0
2839,10.74,,,,10.74,0.0
2840,18.46,,,,18.46,0.0
2857,10.52,,,,10.52,0.0
2884,9.78,,,,9.78,0.0
2901,10.3,,,17.08,13.69,3.389999999999999
2919,8.8,,,,8.8,0.0
2940,39.83,,,,39.83,0.0
2941,18.36,,,,18.36,0.0
2947,46.57,,,,46.57,0.0
2964,15.67,,,,15.67,0.0
2976,17.5,,,,17.5,0.0
2995,12.07,,,,12.07,0.0
2996,39.730000000000004,,22.27,,31.0,8.730000000000002
2998,16.84,,,,16.84,0.0
3036,9.57,,,,9.57,0.0
3057,10.629999999999999,,,,10.629999999999999,0.0
3064,40.72,,,,40.72,0.0
3066,17.33,,,,17.33,0.0
3084,18.4,,,,18.4,0.0
3085,10.83,,,,10.83,0.0
3092,11.379999999999999,,,,11.379999999999999,0.0
3127,18.35,20.630000000000003,,,19.490000000000002,1.1400000000000006
3134,20.15,,,,20.15,0.0
3139,18.32,,,,18.32,0.0
3149,4.93,,,,4.93,0.0
3160,23.0,,,4.2,13.6,9.399999999999999
3169,9.87,,,,9.87,0.0
3197,9.25,,,7.6,8.425,0.8250000000000002
3199,14.47,,,,14.47,0.0
3218,14.9,,,20.68,17.79,2.8899999999999997
3219,42.06,,,,42.06,0.0
3221,18.36,,,,18.36,0.0
3224,16.59,,,,16.59,0.0
3237,38.52,,,20.560000000000002,29.540000000000003,8.98
3244,19.98,,,,19.98,0.0
3245,4.4,,,,4.4,0.0
3256,40.56,,,,40.56,0.0
3291,21.93,,,,21.93,0.0
3303,16.45,,,5.13,10.79,5.659999999999999
3312,20.189999999999998,,,,20.189999999999998,0.0
3322,4.18,,,24.22,14.2,10.02
3335,15.48,9.6,,42.32,22.46666666666667,14.242184601465542
3336,32.22,,,,32.22,0.0
3337,8.77,,,,8.77,0.0
3342,10.79,,,,10.79,0.0
3358,18.93,,,,18.93,0.0
3362,21.03,,,5.28,13.155000000000001,7.875000000000001
3385,19.3,,,,19.3,0.0
3406,8.52,9.149999999999999,,,8.834999999999999,0.3149999999999995
3407,4.18,,,,4.18,0.0
3424,9.86,,43.42,,26.64,16.78
3426,23.0,,,,23.0,0.0
3433,15.53,,,,15.53,0.0
3441,7.7,,,,7.7,0.0
3470,33.92,,,,33.92,0.0
3477,16.48,,,,16.48,0.0
3485,10.92,6.07,,,8.495000000000001,2.425
3486,16.13,,,,16.13,0.0
3523,21.12,,,,21.12,0.0
3528,19.23,,,3.48,11.355,7.875
3557,11.280000000000001,,,,11.280000000000001,0.0
3562,16.58,,4.07,,10.325,6.254999999999999
3563,4.08,,,,4.08,0.0
3581,5.58,,,,5.58,0.0
3611,4.1,,,,4.1,0.0
3621,16.619999999999997,,,,16.619999999999997,0.0
3639,10.73,,,5.27,8.0,2.7300000000000004
