,Turn_100,Turn_101,Turn_102,Turn_103,mean,std
1000,27.44999999999993,,,,27.44999999999993,0.0
1011,52.68000000000006,,,,52.68000000000006,0.0
1015,65.10000000000002,,,,65.10000000000002,0.0
1048,34.13,,,,34.13,0.0
1051,35.51999999999998,,,,35.51999999999998,0.0
1054,30.81000000000006,,,,30.81000000000006,0.0
1059,51.31999999999994,,,,51.31999999999994,0.0
1062,23.86000000000001,,35.48000000000002,,29.670000000000016,5.810000000000004
1065,31.89999999999998,,,,31.89999999999998,0.0
1072,16.72000000000003,,,,16.72000000000003,0.0
1073,20.90999999999997,,,,20.90999999999997,0.0
1080,40.0,,,,40.0,0.0
1108,17.57000000000005,,34.89999999999998,35.23000000000002,29.23333333333335,8.248322388354
1118,29.32000000000005,,,,29.32000000000005,0.0
1131,9.590000000000032,,,,9.590000000000032,0.0
1134,21.02999999999997,,,,21.02999999999997,0.0
1141,15.92000000000007,,,,15.92000000000007,0.0
1146,35.44999999999993,,16.96000000000004,,26.204999999999984,9.244999999999946
1178,35.21000000000004,,25.40999999999997,,30.31000000000001,4.900000000000036
1215,34.75,40.4799999999999,,,37.61499999999995,2.864999999999949
1217,33.3900000000001,,,,33.3900000000001,0.0
1220,51.78000000000009,,,,51.78000000000009,0.0
1226,30.0200000000001,,,,30.0200000000001,0.0
1235,61.5,,,,61.5,0.0
1237,26.21000000000004,41.33000000000004,,,33.77000000000004,7.5600000000000005
1239,38.38,,,,38.38,0.0
1248,56.02999999999997,,,,56.02999999999997,0.0
1269,56.49000000000001,,,,56.49000000000001,0.0
1294,26.31999999999994,22.59000000000015,,,24.455000000000044,1.8649999999998954
1296,51.05000000000018,,,18.69000000000005,34.87000000000012,16.180000000000064
1340,44.86999999999989,,,,44.86999999999989,0.0
1387,30.65000000000009,,,,30.65000000000009,0.0
1391,40.81999999999994,,,,40.81999999999994,0.0
1399,46.44000000000005,,,,46.44000000000005,0.0
1407,57.24000000000001,,,,57.24000000000001,0.0
1418,55.53999999999996,,,,55.53999999999996,0.0
1421,49.07999999999993,,,,49.07999999999993,0.0
1432,28.23000000000002,,,,28.23000000000002,0.0
1454,88.70000000000005,,,,88.70000000000005,0.0
1472,57.12000000000012,,,,57.12000000000012,0.0
1483,44.11000000000013,,,,44.11000000000013,0.0
1488,27.06999999999994,,,,27.06999999999994,0.0
1489,66.8900000000001,,,,66.8900000000001,0.0
1494,41.28999999999996,,32.93999999999983,,37.114999999999895,4.175000000000065
1505,111.8699999999999,,31.1099999999999,,71.4899999999999,40.38
1526,36.58000000000015,29.84999999999991,,,33.21500000000003,3.3650000000001192
1543,44.98000000000002,,,,44.98000000000002,0.0
1555,62.01999999999998,,,,62.01999999999998,0.0
1565,65.51999999999998,,,,65.51999999999998,0.0
1586,31.86999999999989,,,,31.86999999999989,0.0
1605,57.12999999999988,,32.87999999999988,,45.00499999999988,12.125
1611,35.16000000000008,26.33000000000015,,,30.74500000000012,4.414999999999965
1615,47.52999999999997,,,,47.52999999999997,0.0
1619,47.58999999999992,,,,47.58999999999992,0.0
1646,80.73000000000002,,,,80.73000000000002,0.0
1654,37.41000000000008,,,,37.41000000000008,0.0
1658,33.89999999999986,29.12999999999988,,,31.51499999999987,2.3849999999999874
1681,58.59999999999991,,29.56999999999994,,44.08499999999992,14.514999999999985
1730,47.61000000000013,26.27999999999997,,,36.94500000000005,10.665000000000079
1734,48.68000000000006,,,,48.68000000000006,0.0
1738,68.50999999999999,,,,68.50999999999999,0.0
1759,49.67000000000007,,,,49.67000000000007,0.0
1793,53.3900000000001,,,,53.3900000000001,0.0
1794,56.79999999999995,,,,56.79999999999995,0.0
1797,31.29999999999995,,,,31.29999999999995,0.0
1813,63.95000000000005,,,,63.95000000000005,0.0
1824,30.22000000000003,,,26.1400000000001,28.180000000000064,2.0399999999999654
1825,28.79999999999995,49.47000000000003,,,39.13499999999999,10.335000000000038
1831,24.3900000000001,,,,24.3900000000001,0.0
1857,29.17999999999984,56.49000000000001,,,42.83499999999992,13.655000000000085
1859,53.16000000000008,,,,53.16000000000008,0.0
1879,83.59999999999991,,,,83.59999999999991,0.0
1903,65.15000000000009,,,,65.15000000000009,0.0
1923,22.32999999999993,,34.79999999999995,,28.56499999999994,6.235000000000008
1952,65.70000000000005,,,,65.70000000000005,0.0
2000,57.74000000000001,,,,57.74000000000001,0.0
2012,57.1400000000001,,,,57.1400000000001,0.0
2019,27.42000000000007,,,,27.42000000000007,0.0
2034,54.30999999999995,,,,54.30999999999995,0.0
2039,72.60000000000014,,,,72.60000000000014,0.0
2063,31.18000000000006,,,12.37000000000012,21.77500000000009,9.40499999999997
2067,52.33999999999992,,,,52.33999999999992,0.0
2082,63.83000000000015,,,,63.83000000000015,0.0
2095,32.73000000000002,,,,32.73000000000002,0.0
2096,32.47000000000003,,,,32.47000000000003,0.0
2098,35.25999999999999,,,,35.25999999999999,0.0
2144,39.97000000000003,,,,39.97000000000003,0.0
2183,44.84999999999991,,,,44.84999999999991,0.0
2191,59.15000000000009,,,,59.15000000000009,0.0
2211,39.50999999999999,,,,39.50999999999999,0.0
2213,39.22000000000003,,,,39.22000000000003,0.0
2223,57.8900000000001,,,,57.8900000000001,0.0
2228,58.34999999999991,,,,58.34999999999991,0.0
2232,56.66000000000008,,,,56.66000000000008,0.0
2233,55.23000000000002,,27.34999999999991,,41.289999999999964,13.940000000000055
2234,29.86999999999989,,,,29.86999999999989,0.0
2268,39.52999999999997,,,27.6400000000001,33.585000000000036,5.944999999999936
