,Anchorage_100,Anchorage_101,Anchorage_102,Anchorage_103,mean,std
1008,0.0,,,,0.0,0.0
1018,11.0,,,11.0,11.0,0.0
1020,9.0,,,,9.0,0.0
1030,1.0,,,,1.0,0.0
1031,0.0,,,,0.0,0.0
1033,0.0,,0.0,9.65,3.216666666666667,4.549053625633456
1053,0.0,,9.0,10.29,6.43,4.5770951486723535
1061,0.0,,,,0.0,0.0
1064,0.0,,,,0.0,0.0
1077,3.0,,,,3.0,0.0
1089,4.92,,,,4.92,0.0
1095,0.0,,,,0.0,0.0
1099,1.0,0.0,,,0.5,0.5
1103,0.0,,,,0.0,0.0
1105,0.0,8.0,,,4.0,4.0
1123,7.86,,0.0,,3.93,3.93
1132,1.0,,,,1.0,0.0
1147,7.0,,,,7.0,0.0
1148,8.23,0.0,,5.0,4.41,3.3856855534243975
1152,0.0,,,,0.0,0.0
1157,2.0,,,,2.0,0.0
1173,6.36,,,,6.36,0.0
1182,0.0,,,,0.0,0.0
1188,1.0,,,,1.0,0.0
1189,0.0,,,,0.0,0.0
1191,1.0,,9.0,9.16,6.386666666666667,3.809508571398095
1197,11.0,,,,11.0,0.0
1206,11.0,,,,11.0,0.0
1208,11.49,,,,11.49,0.0
1209,8.99,8.0,,,8.495000000000001,0.4950000000000001
1222,3.32,,7.29,,5.305,1.985
1236,7.0,,,,7.0,0.0
1238,8.42,,,11.0,9.71,1.29
1253,0.0,,,,0.0,0.0
1254,0.0,,,,0.0,0.0
1264,7.0,,,,7.0,0.0
1265,5.0,,,,5.0,0.0
1272,1.0,,,8.59,4.795,3.795
1275,0.0,,,,0.0,0.0
1278,0.0,,11.0,,5.5,5.5
1291,0.0,10.6,,,5.3,5.3
1292,0.0,10.7,10.65,,7.116666666666667,5.032284658968418
1302,11.0,6.74,,,8.870000000000001,2.13
1308,10.0,,,,10.0,0.0
1312,7.0,2.0,,,4.5,2.5
1329,8.35,,,,8.35,0.0
1337,0.0,,11.96,,5.98,5.98
1342,12.0,,,8.9,10.45,1.5499999999999998
1350,4.0,,,0.0,2.0,2.0
1360,1.0,,,,1.0,0.0
1370,0.0,0.0,,,0.0,0.0
1371,0.0,12.0,,,6.0,6.0
1373,0.0,,,,0.0,0.0
1376,0.0,14.0,,0.0,4.666666666666667,6.599663291074443
1395,8.0,,,,8.0,0.0
1412,25.14,,10.0,,17.57,7.57
1416,0.0,,,12.0,6.0,6.0
1428,2.0,,3.0,,2.5,0.5
1429,14.0,,,,14.0,0.0
1430,0.0,,,,0.0,0.0
1436,12.0,14.0,,,13.0,1.0
1441,12.99,,,0.0,6.495,6.495
1442,14.07,,,,14.07,0.0
1448,15.81,,1.0,,8.405000000000001,7.405
1452,11.38,,,1.0,6.19,5.19
1460,7.15,,0.0,,3.575,3.575
1462,7.64,,,,7.64,0.0
1465,6.53,,,,6.53,0.0
1467,6.89,,,0.0,3.445,3.445
1473,3.53,22.31,,,12.92,9.39
1485,14.01,,,,14.01,0.0
1491,16.89,,,,16.89,0.0
1498,15.51,,7.3,,11.405,4.105
1510,10.93,,,,10.93,0.0
1512,10.61,,,,10.61,0.0
1527,2.65,,,16.81,9.729999999999999,7.079999999999999
1537,0.09,,,,0.09,0.0
1540,0.0,,,,0.0,0.0
1541,18.93,,,16.87,17.9,1.0299999999999994
1553,13.87,,0.0,13.09,8.986666666666666,6.362506494211923
1561,9.24,22.23,,,15.735,6.495
1568,6.66,,,23.62,15.14,8.48
1573,4.52,,,,4.52,0.0
1574,4.25,24.96,,,14.605,10.355
1580,3.86,,,,3.86,0.0
1581,2.44,,14.95,,8.695,6.255
1590,12.0,,29.73,,20.865000000000002,8.865
1591,19.11,,,,19.11,0.0
1595,15.86,,,,15.86,0.0
1599,14.06,,,,14.06,0.0
1603,14.76,,,,14.76,0.0
1604,13.04,10.64,3.21,,8.963333333333333,4.184545641072901
1606,10.11,,,,10.11,0.0
1617,3.46,,,,3.46,0.0
1626,10.0,,,,10.0,0.0
1633,33.89,,,,33.89,0.0
1638,8.43,,15.07,,11.75,3.3200000000000003
1643,8.12,4.44,,5.09,5.883333333333333,1.6036694034480903
1648,8.94,,,,8.94,0.0
1652,7.16,,,,7.16,0.0
1656,19.64,,,,19.64,0.0
1668,33.73,,19.03,,26.38,7.349999999999998
1669,14.58,27.65,,,21.115,6.534999999999999
1674,13.45,,,,13.45,0.0
1690,0.7,,,,0.7,0.0
1696,11.0,,,,11.0,0.0
1698,18.25,,,,18.25,0.0
1701,32.89,,,,32.89,0.0
1703,31.38,,13.43,28.26,24.35666666666667,7.830608036558989
1710,6.84,,9.16,28.69,14.896666666666667,9.799239199493444
1714,3.86,,,,3.86,0.0
1716,3.78,,,,3.78,0.0
1717,2.53,,,,2.53,0.0
1718,4.68,,16.39,24.94,15.336666666666668,8.304578389191244
1742,29.61,,,,29.61,0.0
1753,1.0,,29.54,,15.27,14.27
1765,13.0,,,,13.0,0.0
1770,32.92,,,18.22,25.57,7.350000000000001
1774,36.75,10.3,,,23.525,13.225
1778,33.14,,,,33.14,0.0
1780,33.21,,,,33.21,0.0
1790,0.0,,,25.8,12.9,12.9
1815,30.21,,,,30.21,0.0
1823,0.0,1.0,,,0.5,0.5
1839,17.09,11.25,17.44,,15.26,2.83909610028732
1848,34.33,,,,34.33,0.0
1849,0.0,22.75,,,11.375,11.375
1851,0.0,,,,0.0,0.0
1855,3.02,,,14.0,8.51,5.49
1858,2.5,,,,2.5,0.0
1861,1.18,,,10.42,5.8,4.62
1874,34.46,,,,34.46,0.0
1883,30.95,0.0,,,15.475,15.475
1886,1.0,,,,1.0,0.0
1892,3.0,,,,3.0,0.0
1893,0.0,,1.0,,0.5,0.5
1905,31.05,,15.27,,23.16,7.890000000000001
1916,0.0,,,,0.0,0.0
1921,1.0,,,,1.0,0.0
1922,2.0,,1.0,,1.5,0.5
1933,17.64,,,,17.64,0.0
1934,17.71,,,,17.71,0.0
1937,14.1,,,,14.1,0.0
1943,0.58,,,,0.58,0.0
1947,0.0,0.0,,,0.0,0.0
1951,0.0,,,,0.0,0.0
1955,9.59,,0.0,,4.795,4.795
1956,13.77,,,,13.77,0.0
1972,2.0,,,,2.0,0.0
1975,4.890000000000001,,,,4.890000000000001,0.0
1978,2.73,0.0,,,1.365,1.365
1980,0.0,,23.99,,11.995,11.995
1981,2.0,,,22.87,12.435,10.435
1984,0.0,,,,0.0,0.0
1986,10.0,,,,10.0,0.0
1990,15.18,,,,15.18,0.0
1992,14.81,10.0,,,12.405000000000001,2.4050000000000002
1995,13.07,,,14.83,13.95,0.8799999999999999
1997,13.81,,,16.49,15.149999999999999,1.339999999999999
2003,8.309999999999999,,,,8.309999999999999,0.0
2004,8.04,5.83,,,6.935,1.1049999999999995
2008,18.59,,,,18.59,0.0
2015,21.43,0.0,0.0,1.67,5.775,9.064095376815052
2031,15.13,,,,15.13,0.0
2047,0.0,,,,0.0,0.0
2057,12.73,,,,12.73,0.0
2073,0.0,,0.0,13.09,4.363333333333333,6.1706851771546045
2084,11.0,,,,11.0,0.0
2090,11.92,,,,11.92,0.0
2104,1.0,5.89,1.0,,2.63,2.3051681066681446
2108,10.0,,13.0,14.08,12.36,1.7260359208313136
2110,10.0,,,,10.0,0.0
2111,10.33,,,,10.33,0.0
2116,9.83,,9.0,,9.415,0.41500000000000004
2121,12.76,7.0,,,9.879999999999999,2.88
2130,1.0,,,,1.0,0.0
2139,0.0,,,,0.0,0.0
2158,24.79,,,,24.79,0.0
2161,25.58,,,,25.58,0.0
2166,0.0,,,,0.0,0.0
2167,1.0,,,,1.0,0.0
2169,0.0,2.6,,,1.3,1.3
2172,0.0,,,8.0,4.0,4.0
2173,0.0,1.09,,,0.545,0.545
