,Cargo_100,Cargo_101,Cargo_102,Cargo_103,mean,std
1008,19.0,,,,19.0,0.0
1018,8.0,,,4.0,6.0,2.0
1020,30.0,,,,30.0,0.0
1030,29.0,,,,29.0,0.0
1031,24.0,,,,24.0,0.0
1033,28.0,,30.0,22.0,26.666666666666668,3.39934634239519
1053,24.0,,4.0,4.0,10.666666666666666,9.428090415820634
1061,20.0,,,,20.0,0.0
1064,42.0,,,,42.0,0.0
1077,4.0,,,,4.0,0.0
1089,25.0,,,,25.0,0.0
1095,27.0,,,,27.0,0.0
1099,22.0,19.0,,,20.5,1.5
1103,42.0,,,,42.0,0.0
1105,19.0,6.0,,,12.5,6.5
1123,20.0,,42.0,,31.0,11.0
1132,20.0,,,,20.0,0.0
1147,31.0,,,,31.0,0.0
1148,25.0,20.0,,4.0,16.333333333333332,8.956685895029603
1152,30.0,,,,30.0,0.0
1157,42.0,,,,42.0,0.0
1173,23.0,,,,23.0,0.0
1182,24.0,,,,24.0,0.0
1188,43.0,,,,43.0,0.0
1189,42.0,,,,42.0,0.0
1191,17.0,,30.0,21.0,22.666666666666668,5.436502143433364
1197,7.0,,,,7.0,0.0
1206,4.0,,,,4.0,0.0
1208,21.0,,,,21.0,0.0
1209,27.0,6.0,,,16.5,10.5
1222,41.0,,4.0,,22.5,18.5
1236,6.0,,,,6.0,0.0
1238,29.0,,,29.0,29.0,0.0
1253,26.0,,,,26.0,0.0
1254,19.0,,,,19.0,0.0
1264,31.0,,,,31.0,0.0
1265,8.0,,,,8.0,0.0
1272,26.0,,,24.0,25.0,1.0
1275,20.0,,,,20.0,0.0
1278,17.0,,31.0,,24.0,7.0
1291,4.0,23.0,,,13.5,9.5
1292,24.0,24.0,43.0,,30.333333333333332,8.956685895029603
1302,4.0,19.0,,,11.5,7.5
1308,30.0,,,,30.0,0.0
1312,4.0,18.0,,,11.0,7.0
1329,19.0,,,,19.0,0.0
1337,20.0,,42.0,,31.0,11.0
1342,8.0,,,27.0,17.5,9.5
1350,8.0,,,30.0,19.0,11.0
1360,30.0,,,,30.0,0.0
1370,21.0,20.0,,,20.5,0.5
1371,21.0,29.0,,,25.0,4.0
1373,22.0,,,,22.0,0.0
1376,20.0,25.0,,18.0,21.0,2.943920288775949
1395,30.0,,,,30.0,0.0
1412,29.0,,6.0,,17.5,11.5
1416,24.0,,,4.0,14.0,10.0
1428,17.0,,4.0,,10.5,6.5
1429,7.0,,,,7.0,0.0
1430,18.0,,,,18.0,0.0
1436,6.0,19.0,,,12.5,6.5
1441,24.0,,,25.0,24.5,0.5
1442,4.0,,,,4.0,0.0
1448,42.0,,25.0,,33.5,8.5
1452,22.0,,,22.0,22.0,0.0
1460,20.0,,19.0,,19.5,0.5
1462,19.0,,,,19.0,0.0
1465,19.0,,,,19.0,0.0
1467,43.0,,,20.0,31.5,11.5
1473,19.0,22.0,,,20.5,1.5
1485,25.0,,,,25.0,0.0
1491,21.0,,,,21.0,0.0
1498,23.0,,41.0,,32.0,9.0
1510,21.0,,,,21.0,0.0
1512,20.0,,,,20.0,0.0
1527,43.0,,,29.0,36.0,7.0
1537,19.0,,,,19.0,0.0
1540,17.0,,,,17.0,0.0
1541,26.0,,,21.0,23.5,2.5
1553,22.0,,19.0,21.0,20.666666666666668,1.247219128924647
1561,20.0,4.0,,,12.0,8.0
1568,21.0,,,7.0,14.0,7.0
1573,21.0,,,,21.0,0.0
1574,21.0,20.0,,,20.5,0.5
1580,19.0,,,,19.0,0.0
1581,42.0,,18.0,,30.0,12.0
1590,8.0,,26.0,,17.0,9.0
1591,26.0,,,,26.0,0.0
1595,43.0,,,,43.0,0.0
1599,24.0,,,,24.0,0.0
1603,20.0,,,,20.0,0.0
1604,41.0,20.0,43.0,,34.666666666666664,10.402991022884823
1606,21.0,,,,21.0,0.0
1617,43.0,,,,43.0,0.0
1626,4.0,,,,4.0,0.0
1633,25.0,,,,25.0,0.0
1638,26.0,,19.0,,22.5,3.5
1643,21.0,21.0,,19.0,20.333333333333332,0.9428090415820634
1648,42.0,,,,42.0,0.0
1652,19.0,,,,19.0,0.0
1656,6.0,,,,6.0,0.0
1668,4.0,,30.0,,17.0,13.0
1669,24.0,4.0,,,14.0,10.0
1674,25.0,,,,25.0,0.0
1690,26.0,,,,26.0,0.0
1696,4.0,,,,4.0,0.0
1698,18.0,,,,18.0,0.0
1701,30.0,,,,30.0,0.0
1703,4.0,,21.0,21.0,15.333333333333334,8.013876853447538
