,Turn_100,Turn_101,Turn_102,Turn_103,mean,std
1008,25.32999999999993,,,,25.32999999999993,0.0
1018,26.07000000000005,,,21.64999999999998,23.860000000000014,2.2100000000000346
1020,47.06000000000006,,,,47.06000000000006,0.0
1030,38.14999999999998,,,,38.14999999999998,0.0
1031,32.66999999999996,,,,32.66999999999996,0.0
1033,48.46000000000004,,38.18999999999994,38.19999999999993,41.61666666666664,4.838969128050179
1053,31.25,,21.23000000000002,21.39999999999998,24.626666666666665,4.683918112957237
1061,27.10000000000002,,,,27.10000000000002,0.0
1064,48.67999999999995,,,,48.67999999999995,0.0
1077,13.93000000000006,,,,13.93000000000006,0.0
1089,38.45000000000005,,,,38.45000000000005,0.0
1095,34.51999999999998,,,,34.51999999999998,0.0
1099,30.41999999999996,25.95999999999992,,,28.18999999999994,2.23000000000002
1103,52.31999999999994,,,,52.31999999999994,0.0
1105,25.68999999999994,21.37,,,23.529999999999973,2.15999999999997
1123,37.74000000000001,,48.86000000000001,,43.30000000000001,5.559999999999999
1132,28.19999999999993,,,,28.19999999999993,0.0
1147,44.35000000000002,,,,44.35000000000002,0.0
1148,40.41999999999996,27.34000000000003,,16.49000000000001,28.083333333333332,9.783511071639284
1152,37.34000000000003,,,,37.34000000000003,0.0
1157,52.66000000000008,,,,52.66000000000008,0.0
1173,37.05999999999995,,,,37.05999999999995,0.0
1182,30.49000000000001,,,,30.49000000000001,0.0
1188,52.55999999999995,,,,52.55999999999995,0.0
1189,50.28999999999996,,,,50.28999999999996,0.0
1191,24.96999999999991,,46.57000000000005,38.25,36.59666666666666,8.895322116458548
1197,26.59000000000003,,,,26.59000000000003,0.0
1206,22.31999999999994,,,,22.31999999999994,0.0
1208,39.87,,,,39.87,0.0
1209,42.68999999999994,21.61000000000001,,,32.14999999999998,10.539999999999965
1222,52.12,,18.25999999999999,,35.19,16.930000000000003
1236,20.19999999999993,,,,20.19999999999993,0.0
1238,46.05999999999995,,,47.06999999999994,46.56499999999995,0.5049999999999955
1253,32.93999999999994,,,,32.93999999999994,0.0
1254,26.38,,,,26.38,0.0
1264,44.71999999999991,,,,44.71999999999991,0.0
1265,20.69000000000005,,,,20.69000000000005,0.0
1272,35.26999999999998,,,40.0,37.63499999999999,2.365000000000009
1275,27.36000000000001,,,,27.36000000000001,0.0
1278,23.8900000000001,,48.65999999999985,,36.27499999999998,12.384999999999874
1291,11.0,40.01999999999998,,,25.50999999999999,14.509999999999991
1292,31.67000000000007,41.63999999999987,60.8599999999999,,44.72333333333328,12.11457065777491
1302,23.46000000000004,32.41000000000008,,,27.93500000000006,4.475000000000021
1308,48.41000000000008,,,,48.41000000000008,0.0
1312,18.22000000000003,27.77999999999997,,,23.0,4.779999999999969
1329,34.00999999999999,,,,34.00999999999999,0.0
1337,26.24000000000001,,61.13,,43.685,17.444999999999997
1342,27.22000000000003,,,44.45000000000005,35.83500000000004,8.61500000000001
1350,19.79000000000019,,,37.40999999999997,28.60000000000008,8.809999999999889
1360,38.48000000000002,,,,38.48000000000002,0.0
1370,28.66000000000008,26.32000000000016,,,27.49000000000012,1.169999999999959
1371,28.38999999999987,48.77000000000021,,,38.58000000000004,10.19000000000017
1373,29.22000000000003,,,,29.22000000000003,0.0
1376,27.00999999999999,47.47000000000003,,25.43999999999983,33.306666666666615,10.035478176062334
1395,44.75999999999999,,,,44.75999999999999,0.0
1412,61.0300000000002,,23.42000000000007,,42.225000000000136,18.805000000000067
1416,31.78999999999996,,,23.33999999999992,27.56499999999994,4.225000000000019
1428,25.25,,13.41000000000008,,19.33000000000004,5.91999999999996
1429,28.26999999999998,,,,28.26999999999998,0.0
1430,26.14999999999986,,,,26.14999999999986,0.0
1436,24.82000000000016,41.06999999999994,,,32.94500000000005,8.124999999999892
1441,43.8900000000001,,,31.80999999999995,37.85000000000002,6.0400000000000755
1442,37.77999999999997,,,,37.77999999999997,0.0
1448,65.72000000000003,,33.30999999999995,,49.514999999999986,16.205000000000037
1452,40.38999999999987,,,32.68000000000006,36.53499999999997,3.854999999999908
1460,34.52999999999997,,25.66000000000008,,30.095000000000027,4.434999999999947
1462,34.72000000000003,,,,34.72000000000003,0.0
1465,34.75999999999999,,,,34.75999999999999,0.0
1467,58.41999999999985,,,26.43000000000006,42.424999999999955,15.994999999999896
1473,30.93000000000006,54.76999999999998,,,42.85000000000002,11.91999999999996
1485,46.44000000000005,,,,46.44000000000005,0.0
1491,45.56999999999994,,,,45.56999999999994,0.0
1498,46.12999999999988,,54.86000000000013,,50.495000000000005,4.365000000000123
1510,39.49000000000001,,,,39.49000000000001,0.0
1512,38.71000000000004,,,,38.71000000000004,0.0
1527,52.39999999999986,,,52.64999999999986,52.52499999999986,0.125
1537,27.0,,,,27.0,0.0
1540,26.81999999999994,,,,26.81999999999994,0.0
1541,53.79999999999995,,,46.41000000000008,50.10500000000002,3.694999999999933
1553,42.91000000000008,,26.00999999999999,42.44000000000005,37.12000000000004,7.858299222266051
1561,36.47000000000003,34.71000000000004,,,35.59000000000003,0.8799999999999919
1568,35.27999999999997,,,38.23000000000002,36.754999999999995,1.4750000000000227
1573,31.84999999999991,,,,31.84999999999991,0.0
1574,32.27999999999997,51.82999999999993,,,42.05499999999995,9.774999999999977
1580,31.25999999999999,,,,31.25999999999999,0.0
1581,52.08999999999992,,42.18000000000006,,47.13499999999999,4.954999999999931
1590,26.90000000000009,,78.73000000000002,,52.815000000000055,25.914999999999964
1591,52.5,,,,52.5,0.0
1595,66.58000000000015,,,,66.58000000000015,0.0
1599,60.32999999999993,,,,60.32999999999993,0.0
1603,43.22000000000003,,,,43.22000000000003,0.0
1604,60.81999999999994,40.49000000000001,53.35000000000014,,51.55333333333336,8.396357675934368
1606,37.74000000000001,,,,37.74000000000001,0.0
1617,53.09999999999991,,,,53.09999999999991,0.0
1626,22.29000000000019,,,,22.29000000000019,0.0
1633,65.88000000000011,,,,65.88000000000011,0.0
1638,55.42000000000007,,40.84999999999991,,48.13499999999999,7.285000000000082
1643,38.42999999999984,32.86999999999989,,31.31999999999994,34.20666666666656,3.052652762580222
1648,58.7199999999998,,,,58.7199999999998,0.0
1652,34.54999999999995,,,,34.54999999999995,0.0
1656,33.04999999999995,,,,33.04999999999995,0.0
1668,46.04999999999995,,56.62000000000012,,51.335000000000036,5.285000000000085
1669,47.17000000000007,38.44000000000005,,,42.805000000000064,4.365000000000013
1674,46.78999999999996,,,,46.78999999999996,0.0
1690,46.27999999999997,,,,46.27999999999997,0.0
1696,21.81999999999994,,,,21.81999999999994,0.0
1698,43.23000000000002,,,,43.23000000000002,0.0
1701,84.31000000000017,,,,84.31000000000017,0.0
1703,43.17000000000007,,42.56999999999994,57.39999999999986,47.71333333333329,6.853886164473014
1710,36.28999999999996,,58.31999999999994,54.52999999999997,49.71333333333329,9.617013858550665
1714,32.3599999999999,,,,32.3599999999999,0.0
1716,31.28999999999996,,,,31.28999999999996,0.0
