,db_100,db_101,db_102,db_103
0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,1.0
2,1.0,0.0,0.0,2.0
3,1.0,0.0,0.0,2.0
4,1.0,0.0,0.0,3.0
5,1.0,0.0,0.0,3.0
6,1.0,0.0,0.0,3.0
7,1.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,1.0,0.0,0.0,0.0
11,1.0,0.0,0.0,0.0
12,0.0,1.0,0.0,0.0
13,0.0,2.0,0.0,0.0
14,0.0,2.0,1.0,0.0
15,2.0,1.0,1.0,0.0
16,2.0,0.0,1.0,0.0
17,1.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,1.0,0.0,1.0
20,0.0,1.0,0.0,1.0
21,0.0,1.0,0.0,1.0
22,1.0,2.0,0.0,1.0
23,2.0,2.0,0.0,1.0
24,3.0,2.0,0.0,1.0
25,4.0,2.0,0.0,1.0
26,4.0,2.0,0.0,2.0
27,4.0,3.0,0.0,3.0
28,4.0,3.0,0.0,3.0
29,4.0,3.0,0.0,4.0
30,4.0,3.0,0.0,4.0
31,2.0,2.0,0.0,4.0
32,3.0,1.0,0.0,3.0
33,2.0,1.0,0.0,4.0
34,1.0,1.0,0.0,5.0
35,0.0,0.0,0.0,5.0
36,0.0,1.0,0.0,4.0
37,0.0,1.0,0.0,2.0
38,0.0,0.0,0.0,1.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,0.0,0.0,1.0,0.0
42,0.0,0.0,1.0,1.0
43,0.0,0.0,1.0,1.0
44,0.0,0.0,1.0,1.0
45,0.0,0.0,1.0,1.0
46,0.0,0.0,1.0,1.0
47,1.0,0.0,1.0,1.0
48,1.0,2.0,1.0,1.0
49,1.0,3.0,1.0,1.0
50,1.0,3.0,1.0,1.0
51,1.0,3.0,2.0,1.0
52,1.0,3.0,2.0,2.0
53,2.0,3.0,2.0,3.0
54,3.0,3.0,2.0,3.0
55,3.0,3.0,1.0,3.0
56,2.0,3.0,0.0,2.0
57,2.0,3.0,1.0,2.0
58,2.0,3.0,2.0,2.0
59,2.0,1.0,2.0,2.0
60,2.0,1.0,0.0,2.0
61,0.0,1.0,0.0,3.0
62,0.0,0.0,0.0,1.0
63,0.0,0.0,0.0,1.0
64,0.0,1.0,0.0,2.0
65,0.0,1.0,0.0,1.0
66,0.0,0.0,0.0,1.0
67,0.0,0.0,0.0,1.0
68,0.0,0.0,0.0,2.0
69,0.0,0.0,0.0,2.0
70,0.0,0.0,0.0,2.0
71,0.0,0.0,0.0,3.0
72,0.0,1.0,1.0,4.0
73,0.0,1.0,1.0,5.0
74,0.0,2.0,1.0,5.0
75,2.0,2.0,1.0,6.0
76,2.0,3.0,1.0,6.0
77,3.0,3.0,1.0,6.0
78,3.0,3.0,2.0,6.0
79,4.0,3.0,2.0,4.0
80,4.0,2.0,3.0,3.0
81,4.0,2.0,3.0,3.0
82,3.0,2.0,3.0,4.0
83,4.0,3.0,2.0,6.0
84,3.0,3.0,1.0,6.0
85,2.0,3.0,1.0,5.0
86,0.0,3.0,1.0,5.0
87,0.0,2.0,0.0,2.0
88,2.0,2.0,0.0,1.0
89,2.0,0.0,0.0,1.0
90,2.0,0.0,1.0,1.0
91,2.0,0.0,1.0,1.0
92,2.0,0.0,1.0,1.0
93,2.0,0.0,1.0,1.0
94,2.0,0.0,2.0,1.0
95,2.0,0.0,2.0,1.0
96,2.0,1.0,2.0,1.0
97,2.0,1.0,2.0,1.0
98,2.0,1.0,2.0,1.0
99,2.0,1.0,3.0,2.0
100,2.0,1.0,3.0,2.0
101,3.0,1.0,3.0,2.0
102,6.0,2.0,3.0,2.0
103,4.0,2.0,2.0,1.0
104,4.0,2.0,2.0,2.0
105,4.0,2.0,1.0,3.0
