,Dwell_100,Dwell_101,Dwell_102,Dwell_103,mean,std
1001,7.870000000000001,7.0,22.55,,12.473333333333334,7.134126124169348
1002,4.609999999999999,10.13,,7.23,7.323333333333333,2.254496741083375
1003,8.17,23.81,3.37,2.36,9.427499999999998,8.588953297695825
1004,14.67,7.210000000000001,,18.23,13.37,4.59184784881497
1005,8.870000000000001,10.93,,3.16,7.653333333333333,3.2866835699362493
1006,2.77,13.75,6.79,3.78,6.7725,4.2912956959407955
1007,9.29,,2.93,5.08,5.766666666666666,2.641468446821872
1009,20.07,2.56,8.690000000000001,3.08,8.6,7.044874023004244
1010,7.79,10.9,15.67,14.02,12.094999999999999,3.018579964155331
1012,5.69,6.74,17.12,3.37,8.23,5.275495237416105
1013,5.1,2.53,5.41,,4.346666666666667,1.290796481074982
1014,6.89,7.2,,2.87,5.653333333333333,1.9721787162650573
1016,11.53,6.27,26.96,,14.92,8.780208805413837
1017,7.470000000000001,4.27,17.94,13.93,10.9025,5.34939891483146
1019,5.21,7.13,10.18,13.87,9.0975,3.2761362532715266
1021,3.66,7.25,9.27,5.68,6.465,2.0596419591763997
1022,17.13,,12.84,9.56,13.176666666666668,3.099594955617409
1023,8.98,,4.11,12.02,8.37,3.257923674162221
1024,7.24,3.7,,12.47,7.803333333333335,3.6024281934396543
1025,6.81,7.71,12.6,,9.04,2.5439732702998277
1026,3.95,12.33,7.54,,7.94,3.432792837714893
1027,5.550000000000001,3.17,,10.31,6.343333333333334,2.9683815268406604
1028,3.44,,5.26,3.5,4.066666666666666,0.8441695458983474
1029,9.780000000000001,,7.29,4.56,7.21,2.1318067454626375
1032,16.51,10.2,,4.88,10.53,4.75365824041513
1034,22.82,14.18,,19.26,18.753333333333334,3.5454133123735456
1035,13.82,3.79,6.4,,8.003333333333332,4.248782832242142
1036,11.15,14.3,6.880000000000001,5.23,9.39,3.5641057784527104
1037,6.09,,3.62,5.35,5.0200000000000005,1.0350201286287461
1038,8.36,10.16,3.62,16.07,9.5525,4.457114397230567
1039,5.86,21.82,10.24,,12.64,6.733023095163122
1040,8.379999999999999,,5.13,,6.754999999999999,1.6249999999999996
1041,6.73,6.53,,17.64,10.3,5.1908059746697015
1042,2.84,9.39,,14.72,8.983333333333334,4.858506857964583
1043,9.379999999999999,,13.21,12.99,11.86,1.755923308879596
1044,16.26,18.95,11.24,,15.483333333333334,3.1951456235288482
1045,14.43,6.35,6.3,8.469999999999999,8.8875,3.3176676672023677
1046,11.48,5.62,13.62,13.7,11.105,3.2895706406763785
1047,3.97,13.8,7.3,6.59,7.915,3.616977329207359
1049,16.5,13.82,8.120000000000001,13.43,12.9675,3.0379876151821286
1050,17.41,3.56,12.19,11.72,11.219999999999999,4.954356668630146
1052,5.16,10.73,7.69,4.63,7.0525,2.4176680396613595
1055,5.25,5.27,,3.68,4.733333333333333,0.7448638950991128
1056,8.07,5.96,8.56,3.02,6.402500000000001,2.1836022417097856
1057,2.75,6.81,5.609999999999999,11.74,6.727499999999999,3.2481254209158856
1058,3.06,22.5,3.48,5.8,8.709999999999999,8.029750930134757
1060,5.39,5.640000000000001,19.37,6.83,9.307500000000001,5.8350080334134935
1063,12.78,,10.59,,11.684999999999999,1.0949999999999998
1066,9.45,,3.36,4.69,5.833333333333333,2.614374792480136
1067,3.9,5.63,10.63,14.42,8.645,4.150183730872646
1068,4.54,7.81,8.14,,6.830000000000001,1.624869225507087
1069,8.16,8.8,16.59,14.53,12.02,3.62122216937873
1070,4.3,22.29,13.73,7.53,11.9625,6.858248227499497
1071,18.08,5.619999999999999,12.19,7.56,10.862499999999999,4.802209777800216
1074,6.9,5.75,21.43,,11.36,7.13602597155214
1075,3.09,7.19,4.8,,5.026666666666667,1.681474220901277
1076,15.95,10.51,2.63,3.19,8.07,5.510353890631708
1078,4.69,8.040000000000001,4.27,14.17,7.7925,3.961290036086729
1079,7.779999999999999,6.23,21.06,7.1,10.5425,6.097082806555934
1081,3.13,,,4.98,4.055,0.9250000000000003
1082,5.26,7.07,9.97,,7.433333333333334,1.9399369978315166
1083,4.73,6.98,16.59,10.27,9.6425,4.468866606870248
1084,5.99,,4.56,8.41,6.32,1.5889829032015
1085,3.16,7.0,,8.379999999999999,6.18,2.208528922156103
1086,17.25,5.79,12.1,7.699999999999999,10.71,4.4150368061885965
1087,18.54,5.95,16.19,9.19,12.4675,5.097844519990778
1088,20.4,9.879999999999999,8.129999999999999,,12.803333333333333,5.418956439102356
1090,4.54,6.09,,19.73,10.12,6.824695353396126
1091,3.56,5.92,,,4.74,1.18
1092,4.6,2.69,12.88,3.34,5.8775,4.100794892456827
1093,10.3,3.21,3.73,4.58,5.455,2.839687482805106
1094,21.34,17.62,7.01,7.12,13.272499999999999,6.3454210853181365
1096,10.87,2.85,,12.1,8.606666666666667,4.101433353786887
1097,7.1,3.48,4.33,,4.97,1.545595893714352
1098,7.84,12.52,,6.34,8.9,2.631957446464513
1100,6.18,13.43,,10.41,10.006666666666666,2.97350896342277
1101,10.32,7.7,21.28,6.03,11.3325,5.94326246686111
1102,7.59,16.0,7.98,3.46,8.7575,4.541059210140295
1104,3.36,12.32,,,7.84,4.48
1106,6.53,,8.57,3.04,6.046666666666667,2.2833357664220615
1107,8.86,5.94,7.6,,7.466666666666666,1.195807491009968
1109,4.5,6.949999999999999,3.37,5.52,5.085,1.3182279772482448
1110,8.7,4.02,,11.75,8.156666666666666,3.179059958890713
1111,8.33,,4.05,,6.1899999999999995,2.14
1112,15.9,3.57,16.08,6.27,10.454999999999998,5.617074416455598
1113,8.620000000000001,6.06,11.83,8.14,8.6625,2.0664507615716374
1114,19.6,12.25,7.970000000000001,11.47,12.8225,4.231969842756444
1115,15.64,2.63,4.34,8.08,7.672499999999999,5.004484863599849
1116,10.24,,3.47,7.470000000000001,7.06,2.7790046179642576
1117,12.72,8.129999999999999,24.24,,15.030000000000001,6.776680603363271
1119,4.1,17.74,16.18,,12.673333333333332,6.09562320211988
1120,4.609999999999999,,5.66,6.48,5.583333333333333,0.7653466897789237
1121,14.25,6.01,23.96,6.720000000000001,12.735,7.240540380385983
1122,10.81,5.16,6.34,,7.436666666666667,2.433465749821755
1124,4.21,14.36,4.57,7.82,7.74,4.072486955166339
1125,6.34,2.96,3.27,11.66,6.0575,3.4940118417086112
1126,12.28,12.14,20.5,9.23,13.537500000000001,4.200156991113547
1127,4.41,,3.26,3.65,3.7733333333333334,0.4775167245471329
1128,12.54,14.8,8.26,11.52,11.780000000000001,2.353508019956593
1129,9.45,5.710000000000001,10.89,14.73,10.195,3.2295316997979753
1130,3.08,,4.92,3.21,3.736666666666667,0.8384244483288614
1133,13.5,,,,13.5,0.0
1135,3.45,5.01,,3.57,4.010000000000001,0.7088018058667739
1136,7.94,16.1,11.46,23.39,14.7225,5.780771466681588
1137,3.82,9.72,10.97,,8.17,3.1179587339582717
1138,5.68,2.9,12.29,6.789999999999999,6.914999999999999,3.4114403116572327
1139,7.19,13.88,4.859999999999999,,8.643333333333333,3.8231081014739248
1140,16.74,7.720000000000001,,3.79,9.416666666666666,5.421231922317616
1142,4.32,,,5.83,5.075,0.7549999999999999
1143,17.4,12.04,6.699999999999999,,12.046666666666667,4.368259251565649
1144,3.73,4.92,3.94,10.7,5.8225,2.851616865920104
1145,4.06,,11.44,5.06,6.853333333333333,3.268856408932981
1149,7.98,6.99,3.11,5.34,5.855,1.844186812662969
1150,7.0,4.65,,,5.825,1.1749999999999998
1151,16.26,4.35,,4.0,8.203333333333333,5.698715254823281
1153,22.17,13.64,20.5,10.06,16.5925,4.9438819514628385
1154,7.630000000000001,10.79,6.390000000000001,,8.270000000000001,1.852421838207125
1155,3.41,11.71,12.09,,9.07,4.005229914332842
1156,7.380000000000001,3.35,,,5.365,2.0150000000000006
1158,4.640000000000001,12.41,,,8.525,3.885
1159,2.87,5.42,4.84,8.98,5.5275,2.2060300881900954
1160,18.01,,6.56,14.27,12.946666666666667,4.76718179034765
1161,18.89,,18.01,,18.450000000000003,0.4399999999999995
1162,6.7,7.56,,9.85,8.036666666666667,1.3294192549965398
1163,11.83,3.45,,3.42,6.233333333333334,3.957459903636282
1164,16.84,7.22,10.47,2.97,9.375,5.064417538078787
1165,5.35,10.47,,8.5,8.106666666666667,2.1086541257926164
1166,3.67,12.79,,13.88,10.113333333333335,4.577803937357834
1167,3.34,7.970000000000001,,9.05,6.786666666666666,2.4767227449909606
1168,4.37,8.25,13.72,5.02,7.840000000000001,3.699182342085883
1169,15.3,4.24,3.88,2.44,6.465,5.145160347355562
1170,8.19,7.6,6.94,12.0,8.682500000000001,1.965736185249689
1171,13.42,,16.22,,14.82,1.3999999999999995
1172,2.16,2.47,,,2.3150000000000004,0.15500000000000003
1174,13.06,,13.22,15.49,13.923333333333334,1.1097246905827087
1175,5.449999999999999,3.38,,,4.414999999999999,1.0349999999999997
1176,15.02,6.51,13.44,16.97,12.985,3.9418935805016346
1177,4.02,4.42,9.79,9.05,6.819999999999999,2.616954336628746
1179,12.35,,12.02,4.449999999999999,9.606666666666666,3.6488019342731604
1180,7.81,14.13,4.88,9.559999999999999,9.094999999999999,3.3535391752594754
1181,6.98,11.17,12.4,7.13,9.42,2.4052338763621304
1183,3.64,11.94,,8.21,7.93,3.3942402193519925
1184,11.92,8.51,18.81,16.74,13.994999999999997,4.034541485720527
1185,4.2,7.29,5.550000000000001,3.75,5.1975,1.37777674171108
1186,7.66,5.77,3.93,22.41,9.942499999999999,7.317927900027439
1187,8.26,8.62,5.09,5.4,6.842499999999999,1.6063059328782916
1190,7.25,,9.33,6.53,7.703333333333333,1.1871908954427768
1192,9.46,14.56,2.41,7.73,8.540000000000001,4.3393490295204415
1193,16.84,12.59,4.85,14.88,12.290000000000001,4.551214123725669
1194,9.02,6.79,20.32,17.39,13.379999999999999,5.627641601950145
1195,7.699999999999999,8.469999999999999,5.65,10.74,8.14,1.820892638240926
1196,12.45,6.9,10.54,6.68,9.1425,2.4487381954794594
1198,2.99,,15.29,,9.14,6.1499999999999995
1199,4.77,16.87,2.07,12.73,9.11,5.952293675550628
1200,8.09,12.65,5.970000000000001,,8.903333333333334,2.787081308864566
1201,2.5,8.42,14.75,9.309999999999999,8.745000000000001,4.344102323840911
1202,6.02,6.71,3.14,5.42,5.3225,1.3401935494547046
1203,4.52,4.04,7.04,4.21,4.9525,1.2174435305179456
1204,14.2,,10.56,2.88,9.213333333333333,4.718455491177407
1205,16.76,19.37,,4.869999999999999,13.666666666666666,6.310786180993794
1207,10.6,,9.760000000000002,18.53,12.963333333333333,3.9511376702019496
1210,9.98,5.9,,,7.94,2.04
