,liq_100,liq_101,liq_102,liq_103
0,0.0,0.0,1.0,1.0
1,4.0,1.0,1.0,1.0
2,6.0,2.0,3.0,3.0
3,7.0,3.0,5.0,3.0
4,7.0,4.0,7.0,5.0
5,8.0,6.0,9.0,8.0
6,11.0,6.0,9.0,8.0
7,8.0,3.0,4.0,8.0
8,7.0,4.0,2.0,6.0
9,6.0,6.0,1.0,6.0
10,2.0,5.0,2.0,6.0
11,0.0,3.0,1.0,3.0
12,0.0,3.0,1.0,2.0
13,1.0,3.0,2.0,2.0
14,1.0,1.0,4.0,2.0
15,0.0,1.0,3.0,3.0
16,1.0,0.0,3.0,2.0
17,3.0,1.0,1.0,4.0
18,3.0,2.0,2.0,2.0
19,4.0,3.0,2.0,2.0
20,4.0,4.0,5.0,3.0
21,4.0,5.0,7.0,4.0
22,5.0,5.0,8.0,5.0
23,6.0,5.0,11.0,5.0
24,7.0,5.0,11.0,5.0
25,8.0,6.0,12.0,5.0
26,8.0,6.0,13.0,9.0
27,11.0,9.0,13.0,9.0
28,11.0,9.0,16.0,10.0
29,12.0,9.0,16.0,10.0
30,13.0,10.0,16.0,10.0
31,10.0,9.0,10.0,11.0
32,8.0,7.0,7.0,10.0
33,8.0,7.0,4.0,8.0
34,8.0,4.0,5.0,7.0
35,5.0,2.0,5.0,4.0
36,4.0,6.0,4.0,6.0
37,3.0,7.0,1.0,5.0
38,1.0,5.0,1.0,5.0
39,0.0,3.0,3.0,6.0
40,0.0,1.0,5.0,5.0
41,0.0,1.0,3.0,7.0
42,0.0,0.0,2.0,6.0
43,0.0,2.0,4.0,8.0
44,1.0,3.0,5.0,8.0
45,4.0,4.0,6.0,10.0
46,4.0,4.0,7.0,13.0
47,4.0,4.0,7.0,13.0
48,4.0,4.0,8.0,14.0
49,4.0,4.0,10.0,16.0
50,6.0,6.0,11.0,17.0
51,6.0,7.0,13.0,17.0
52,6.0,8.0,14.0,20.0
53,8.0,10.0,15.0,20.0
54,9.0,10.0,15.0,21.0
55,5.0,7.0,11.0,19.0
56,4.0,7.0,8.0,17.0
57,6.0,9.0,9.0,15.0
58,6.0,11.0,9.0,13.0
59,3.0,9.0,6.0,13.0
60,2.0,9.0,4.0,15.0
61,1.0,6.0,3.0,12.0
62,6.0,3.0,2.0,9.0
63,5.0,1.0,2.0,7.0
64,3.0,2.0,1.0,5.0
65,2.0,3.0,1.0,4.0
66,1.0,3.0,1.0,1.0
67,1.0,3.0,2.0,1.0
68,2.0,3.0,3.0,3.0
69,3.0,4.0,3.0,3.0
70,4.0,5.0,5.0,4.0
71,5.0,5.0,5.0,4.0
72,5.0,7.0,5.0,6.0
73,7.0,7.0,6.0,8.0
74,7.0,8.0,8.0,9.0
75,8.0,9.0,11.0,9.0
76,8.0,11.0,11.0,9.0
77,9.0,15.0,12.0,10.0
78,9.0,16.0,12.0,10.0
79,8.0,13.0,9.0,8.0
80,9.0,13.0,8.0,9.0
81,8.0,16.0,8.0,10.0
82,7.0,18.0,7.0,8.0
83,5.0,19.0,8.0,6.0
84,4.0,19.0,8.0,6.0
85,5.0,17.0,7.0,7.0
86,4.0,13.0,6.0,6.0
87,6.0,11.0,5.0,7.0
88,7.0,8.0,6.0,9.0
89,3.0,8.0,6.0,9.0
90,1.0,7.0,5.0,7.0
91,4.0,8.0,5.0,8.0
92,6.0,9.0,7.0,8.0
93,6.0,13.0,7.0,10.0
94,7.0,15.0,9.0,10.0
95,8.0,16.0,9.0,13.0
96,8.0,16.0,9.0,13.0
97,9.0,16.0,11.0,13.0
98,10.0,17.0,14.0,15.0
99,10.0,17.0,16.0,16.0
100,10.0,18.0,17.0,17.0
101,10.0,19.0,17.0,20.0
102,11.0,19.0,19.0,20.0
103,9.0,15.0,16.0,15.0
104,4.0,13.0,16.0,12.0
105,4.0,11.0,13.0,11.0
106,4.0,11.0,10.0,11.0
107,4.0,10.0,8.0,12.0
108,4.0,8.0,5.0,10.0
109,5.0,7.0,4.0,9.0
110,6.0,7.0,5.0,8.0
111,7.0,7.0,3.0,5.0
112,4.0,7.0,4.0,7.0
113,2.0,7.0,4.0,7.0
114,3.0,7.0,2.0,5.0
115,7.0,8.0,2.0,6.0
116,9.0,10.0,3.0,7.0
117,10.0,11.0,6.0,8.0
118,12.0,13.0,7.0,9.0
119,13.0,16.0,9.0,9.0
120,14.0,17.0,12.0,10.0
121,15.0,17.0,13.0,12.0
122,15.0,21.0,15.0,12.0
123,17.0,21.0,16.0,12.0
124,20.0,22.0,18.0,13.0
125,22.0,22.0,18.0,13.0
126,23.0,23.0,18.0,13.0
127,19.0,17.0,14.0,11.0
128,15.0,16.0,13.0,9.0
129,13.0,18.0,13.0,7.0
130,13.0,16.0,14.0,6.0
131,12.0,16.0,13.0,7.0
132,11.0,14.0,13.0,7.0
133,9.0,13.0,11.0,7.0
134,6.0,11.0,8.0,4.0
135,5.0,9.0,5.0,2.0
136,6.0,7.0,4.0,2.0
137,5.0,5.0,4.0,3.0
138,4.0,6.0,2.0,3.0
139,5.0,8.0,3.0,7.0
140,6.0,9.0,3.0,7.0
141,7.0,10.0,5.0,8.0
142,7.0,10.0,7.0,9.0
143,8.0,10.0,9.0,9.0
144,9.0,14.0,10.0,9.0
145,11.0,15.0,10.0,10.0
146,13.0,15.0,10.0,10.0
147,14.0,16.0,11.0,11.0
148,16.0,17.0,13.0,11.0
149,17.0,17.0,13.0,11.0
150,18.0,18.0,14.0,11.0
151,15.0,15.0,12.0,9.0
152,13.0,14.0,14.0,9.0
153,13.0,16.0,13.0,6.0
154,11.0,14.0,11.0,5.0
155,11.0,11.0,9.0,6.0
156,12.0,9.0,10.0,7.0
157,9.0,10.0,10.0,9.0
158,7.0,6.0,9.0,10.0
159,3.0,5.0,8.0,8.0
160,4.0,5.0,6.0,7.0
161,2.0,6.0,4.0,4.0
162,1.0,4.0,3.0,3.0
163,2.0,5.0,3.0,4.0
164,4.0,6.0,3.0,6.0
165,4.0,6.0,4.0,8.0
166,4.0,6.0,6.0,9.0
167,6.0,6.0,7.0,9.0
168,8.0,7.0,8.0,9.0
169,9.0,8.0,9.0,10.0
170,9.0,8.0,9.0,10.0
171,10.0,10.0,11.0,11.0
172,12.0,12.0,12.0,13.0
173,13.0,12.0,13.0,13.0
174,13.0,14.0,15.0,14.0
175,13.0,8.0,10.0,16.0
176,11.0,7.0,8.0,12.0
177,9.0,9.0,9.0,13.0
178,8.0,9.0,9.0,13.0
179,9.0,8.0,7.0,12.0
180,8.0,4.0,7.0,9.0
181,7.0,3.0,9.0,8.0
182,8.0,5.0,8.0,9.0
183,6.0,5.0,5.0,5.0
184,5.0,5.0,4.0,3.0
185,3.0,2.0,3.0,4.0
186,3.0,1.0,7.0,4.0
187,4.0,1.0,7.0,6.0
188,6.0,3.0,8.0,7.0
189,6.0,6.0,8.0,9.0
190,9.0,6.0,8.0,11.0
191,9.0,7.0,8.0,12.0
192,9.0,7.0,9.0,13.0
193,9.0,7.0,10.0,13.0
194,10.0,7.0,10.0,14.0
195,11.0,8.0,12.0,14.0
196,11.0,9.0,12.0,16.0
197,13.0,10.0,12.0,16.0
198,14.0,11.0,13.0,16.0
199,9.0,10.0,7.0,15.0
200,8.0,8.0,5.0,14.0
201,8.0,9.0,6.0,13.0
202,8.0,6.0,7.0,12.0
203,6.0,5.0,6.0,11.0
204,5.0,8.0,3.0,10.0
205,3.0,9.0,2.0,7.0
206,3.0,6.0,1.0,7.0
207,1.0,5.0,2.0,6.0
208,1.0,4.0,3.0,2.0
209,1.0,1.0,2.0,2.0
210,1.0,3.0,2.0,2.0
211,1.0,3.0,4.0,3.0
212,1.0,3.0,4.0,3.0
213,2.0,3.0,5.0,3.0
214,2.0,4.0,7.0,6.0
215,2.0,4.0,9.0,6.0
216,3.0,5.0,11.0,7.0
217,3.0,6.0,12.0,7.0
218,4.0,7.0,12.0,8.0
219,5.0,8.0,13.0,9.0
220,9.0,9.0,13.0,10.0
221,10.0,9.0,13.0,11.0
222,11.0,11.0,15.0,17.0
223,11.0,7.0,13.0,14.0
224,11.0,5.0,11.0,13.0
225,11.0,6.0,11.0,14.0
226,9.0,8.0,8.0,13.0
227,8.0,9.0,7.0,11.0
228,6.0,9.0,5.0,12.0
229,6.0,6.0,3.0,10.0
230,6.0,3.0,1.0,9.0
231,4.0,2.0,1.0,7.0
232,4.0,0.0,2.0,9.0
233,5.0,2.0,2.0,7.0
234,5.0,3.0,0.0,4.0
235,8.0,3.0,1.0,6.0
236,8.0,4.0,3.0,6.0
237,9.0,4.0,5.0,6.0
